dataset,model,train_auc,test_auc
bitcoin-alpha,func_uniform,0.9236,0.9185
bitcoin-alpha,func_conf_power,0.9273,0.9199
bitcoin-alpha,func_conf_exp,0.9272,0.9206
bitcoin-alpha,func_conf_cert,0.9254,0.9189
bitcoin-alpha,func_conf_logit,0.9241,0.9191
bitcoin-alpha,func_logq_power,0.9276,0.92
bitcoin-alpha,func_logit_power,0.9257,0.9188
bitcoin-alpha,func_entropy_power,0.9254,0.9189
bitcoin-alpha,func_entropy_exp,0.9255,0.9186
bitcoin-alpha,func_fisher_power,0.9256,0.9193
bitcoin-alpha,func_maxprob_power,0.9254,0.9188
bitcoin-otc,func_uniform,0.9289,0.936
bitcoin-otc,func_conf_power,0.9292,0.9359
bitcoin-otc,func_conf_exp,0.9292,0.9359
bitcoin-otc,func_conf_cert,0.929,0.9359
bitcoin-otc,func_conf_logit,0.9291,0.936
bitcoin-otc,func_logq_power,0.9297,0.9357
bitcoin-otc,func_logit_power,0.929,0.9358
bitcoin-otc,func_entropy_power,0.929,0.9359
bitcoin-otc,func_entropy_exp,0.929,0.9358
bitcoin-otc,func_fisher_power,0.9293,0.9357
bitcoin-otc,func_maxprob_power,0.929,0.936
epinions,func_uniform,0.9535,0.9527
epinions,func_conf_power,0.9537,0.953
epinions,func_conf_exp,0.9536,0.9527
epinions,func_conf_cert,0.9539,0.9532
epinions,func_conf_logit,0.9536,0.9527
epinions,func_logq_power,0.9538,0.953
epinions,func_logit_power,0.9542,0.9535
epinions,func_entropy_power,0.954,0.9532
epinions,func_entropy_exp,0.9542,0.9535
epinions,func_fisher_power,0.9544,0.9537
epinions,func_maxprob_power,0.954,0.9533
wiki-elec,func_uniform,0.9002,0.9075
wiki-elec,func_conf_power,0.9003,0.9075
wiki-elec,func_conf_exp,0.9002,0.9076
wiki-elec,func_conf_cert,0.9003,0.9075
wiki-elec,func_conf_logit,0.9002,0.9075
wiki-elec,func_logq_power,0.9002,0.9075
wiki-elec,func_logit_power,0.9003,0.9075
wiki-elec,func_entropy_power,0.9003,0.9075
wiki-elec,func_entropy_exp,0.9003,0.9074
wiki-elec,func_fisher_power,0.9003,0.9075
wiki-elec,func_maxprob_power,0.9002,0.9075
wiki-rfa,func_uniform,0.8938,0.8975
wiki-rfa,func_conf_power,0.8938,0.8976
wiki-rfa,func_conf_exp,0.8938,0.8975
wiki-rfa,func_conf_cert,0.8938,0.8976
wiki-rfa,func_conf_logit,0.8938,0.8975
wiki-rfa,func_logq_power,0.8938,0.8976
wiki-rfa,func_logit_power,0.8938,0.8976
wiki-rfa,func_entropy_power,0.8938,0.8976
wiki-rfa,func_entropy_exp,0.8938,0.8976
wiki-rfa,func_fisher_power,0.8939,0.8976
wiki-rfa,func_maxprob_power,0.8938,0.8976
slashdot090221,func_uniform,0.8976,0.898
slashdot090221,func_conf_power,0.8976,0.898
slashdot090221,func_conf_exp,0.8976,0.898
slashdot090221,func_conf_cert,0.8976,0.8981
slashdot090221,func_conf_logit,0.8976,0.898
slashdot090221,func_logq_power,0.8976,0.8981
slashdot090221,func_logit_power,0.8977,0.8981
slashdot090221,func_entropy_power,0.8976,0.8981
slashdot090221,func_entropy_exp,0.8978,0.8982
slashdot090221,func_fisher_power,0.8978,0.8983
slashdot090221,func_maxprob_power,0.8977,0.8981
