dataset,model,train_auc,test_auc
bitcoin-alpha,func_centrality,0.9185,0.9126
bitcoin-alpha,func_conf_cert,0.9199,0.9126
bitcoin-alpha,func_conf_exp,0.9224,0.9136
bitcoin-alpha,func_conf_logit,0.9194,0.9133
bitcoin-alpha,func_conf_power,0.9194,0.9129
bitcoin-alpha,func_de_power,0.9205,0.9139
bitcoin-alpha,func_dist_min,0.9188,0.9127
bitcoin-alpha,func_dist_prod,0.9186,0.9127
bitcoin-alpha,func_ds_de,0.9197,0.9135
bitcoin-alpha,func_inv_len,0.9183,0.9127
bitcoin-alpha,func_invq_exp,0.9226,0.9132
bitcoin-alpha,func_invq_power,0.9228,0.9138
bitcoin-alpha,func_len_cert,0.9204,0.9119
bitcoin-alpha,func_len_conf,0.9216,0.9132
bitcoin-alpha,func_len_exp,0.9186,0.9128
bitcoin-alpha,func_len_harmonic,0.9186,0.9128
bitcoin-alpha,func_len_invq,0.9235,0.9149
bitcoin-alpha,func_len_logq,0.923,0.9144
bitcoin-alpha,func_len_pos,0.9188,0.9131
bitcoin-alpha,func_len_power,0.9185,0.9127
bitcoin-alpha,func_log1mq_power,0.9238,0.9139
bitcoin-alpha,func_log3,0.9185,0.9127
bitcoin-alpha,func_log4,0.9185,0.9127
bitcoin-alpha,func_log5,0.9185,0.9127
bitcoin-alpha,func_log6,0.9185,0.9127
bitcoin-alpha,func_log_both,0.9185,0.9127
bitcoin-alpha,func_logit3,0.9185,0.9127
bitcoin-alpha,func_logit_len,0.9205,0.9124
bitcoin-alpha,func_logit_pos,0.9201,0.9129
bitcoin-alpha,func_logit_power,0.9199,0.9126
bitcoin-alpha,func_logq3,0.9185,0.9127
bitcoin-alpha,func_logq_power,0.923,0.9139
bitcoin-alpha,func_pos_conf,0.9228,0.9142
bitcoin-alpha,func_pos_expde,0.9204,0.914
bitcoin-alpha,func_pos_expds,0.9192,0.9132
bitcoin-alpha,func_pos_exprel,0.9189,0.913
bitcoin-alpha,func_pos_invq,0.9221,0.9136
bitcoin-alpha,func_pos_middle,0.9185,0.9127
bitcoin-alpha,func_pos_power,0.9187,0.9132
bitcoin-alpha,func_rp_sym,0.9184,0.9126
bitcoin-alpha,func_uniform,0.9186,0.9127
bitcoin-otc,func_centrality,0.9297,0.939
bitcoin-otc,func_conf_cert,0.93,0.939
bitcoin-otc,func_conf_exp,0.9301,0.9393
bitcoin-otc,func_conf_logit,0.9299,0.9392
bitcoin-otc,func_conf_power,0.9299,0.9391
bitcoin-otc,func_de_power,0.93,0.9388
bitcoin-otc,func_dist_min,0.9297,0.939
bitcoin-otc,func_dist_prod,0.9297,0.9389
bitcoin-otc,func_ds_de,0.9302,0.9387
bitcoin-otc,func_inv_len,0.9302,0.939
bitcoin-otc,func_invq_exp,0.9301,0.9393
bitcoin-otc,func_invq_power,0.9301,0.9392
bitcoin-otc,func_len_cert,0.9311,0.9391
bitcoin-otc,func_len_conf,0.9314,0.9391
bitcoin-otc,func_len_exp,0.9297,0.9389
bitcoin-otc,func_len_harmonic,0.9297,0.9389
bitcoin-otc,func_len_invq,0.9315,0.94
bitcoin-otc,func_len_logq,0.9315,0.9399
bitcoin-otc,func_len_pos,0.9311,0.939
bitcoin-otc,func_len_power,0.931,0.9392
bitcoin-otc,func_log1mq_power,0.9301,0.9392
bitcoin-otc,func_log3,0.931,0.9392
bitcoin-otc,func_log4,0.931,0.9392
bitcoin-otc,func_log5,0.931,0.9392
bitcoin-otc,func_log6,0.931,0.9392
bitcoin-otc,func_log_both,0.931,0.9392
bitcoin-otc,func_logit3,0.931,0.9392
bitcoin-otc,func_logit_len,0.9311,0.9393
bitcoin-otc,func_logit_pos,0.9298,0.9392
bitcoin-otc,func_logit_power,0.9299,0.939
bitcoin-otc,func_logq3,0.931,0.9392
bitcoin-otc,func_logq_power,0.9302,0.9392
bitcoin-otc,func_pos_conf,0.9299,0.9392
bitcoin-otc,func_pos_expde,0.93,0.9385
bitcoin-otc,func_pos_expds,0.9303,0.9391
bitcoin-otc,func_pos_exprel,0.9296,0.9392
bitcoin-otc,func_pos_invq,0.93,0.9393
bitcoin-otc,func_pos_middle,0.9297,0.939
bitcoin-otc,func_pos_power,0.9306,0.9407
bitcoin-otc,func_rp_sym,0.9296,0.9388
