ablation,dataset,display_name,n_seeds,walk_f1_mean,walk_f1_std,walk_acc_mean,edge_f1_mean,edge_f1_std,edge_acc_mean
DIRFLIP,bitcoin-alpha,Bitcoin-alpha,10,0.698474779561099,0.020688280352855134,0.915649006495501,0.7346096583995365,0.02463003987184911,0.9180653162463829
DIRFLIP,bitcoin-otc,Bitcoin-otc,10,0.7464856974295933,0.011014642968342828,0.9210799490862419,0.7971086375020918,0.01158865237392055,0.9184550561797751
DIRFLIP,epinions,Epinions,10,0.8522596876216006,0.013651008352689063,0.9112282001229929,0.839353937586446,0.005212614885289116,0.9100511417697431
DIRFLIP,wiki-elec,Wiki-elec,10,0.6935361593005231,0.018134746259109935,0.7673533740484626,0.730786824454422,0.007334443876085035,0.7907618129218901
DIRFLIP,wiki-rfa,Wiki-RfA,10,0.6458355034820396,0.09908759139168642,0.7317864294900864,0.7077536918170029,0.010051706853247388,0.7661381333935222
DIRFLIP,slashdot090221,Slashdot,10,0.7432063192233848,0.006490949499769504,0.8322386678679041,0.7555726455390119,0.004778447268774357,0.8074197483658345
MASKNODE,bitcoin-alpha,Bitcoin-alpha,10,0.5196117650744922,0.011873465770551287,0.7899544969053616,0.5921011423066934,0.034957248943696555,0.8460520876395204
MASKNODE,bitcoin-otc,Bitcoin-otc,10,0.5673052896236916,0.006244366155692551,0.7932613539407409,0.5639141496106801,0.04952583660137582,0.6891573033707864
MASKNODE,epinions,Epinions,10,0.6081108738777097,0.013764673760752782,0.7437637150006865,0.6232415292704794,0.007927695148908198,0.7992471455756422
MASKNODE,wiki-elec,Wiki-elec,10,0.4660856752482678,0.08865934825840549,0.5405420396073748,0.4440493739325361,0.11128643806525608,0.48714561234329795
MASKNODE,wiki-rfa,Wiki-RfA,10,0.3977130742699063,0.22484327873874596,0.5068920404781515,0.373966919740112,0.1944615693522265,0.45469472971447916
MASKNODE,slashdot090221,Slashdot,10,0.5827247800294846,0.010367069864223317,0.6750431186861665,0.4863901168739718,0.02634290047421386,0.49609803171828626
MASKEDGE,bitcoin-alpha,Bitcoin-alpha,10,0.7298186787756891,0.025080464845027725,0.9319421821761275,0.7539611014952262,0.01705514630609167,0.9254650682100041
MASKEDGE,bitcoin-otc,Bitcoin-otc,10,0.7647238591910092,0.015979104352638735,0.9286236757954187,0.8152079434938673,0.008256683277797642,0.9258707865168538
MASKEDGE,epinions,Epinions,10,0.8604123072722478,0.010124824400814232,0.9168318742649758,0.8493088605372716,0.0048207887213527565,0.9164724072312083
MASKEDGE,wiki-elec,Wiki-elec,10,0.7528350413099133,0.012843379563125102,0.8179782096443995,0.7759863242829609,0.004962130025692224,0.8284956605593056
MASKEDGE,wiki-rfa,Wiki-RfA,10,0.7126857842219908,0.09313921968063012,0.7870109128316121,0.7593740921043765,0.007033748022042209,0.8108565624647331
MASKEDGE,slashdot090221,Slashdot,10,0.7664706472875259,0.004955815209095469,0.8493372356111124,0.771711878055033,0.005662331760028723,0.8185684892846089
SIGNSCRAMBLE,bitcoin-alpha,Bitcoin-alpha,10,0.7341148750480024,0.020177445029747464,0.9351860980795624,0.7578512761235087,0.014211577473522223,0.9291442744935925
SIGNSCRAMBLE,bitcoin-otc,Bitcoin-otc,10,0.7638174332155858,0.021367633592079667,0.9281020192442334,0.810580563521474,0.016057244011315697,0.9232022471910113
SIGNSCRAMBLE,epinions,Epinions,5,0.8570594607954813,0.0074032540295274115,0.9136814439584569,0.8487623689244591,0.004007063397608046,0.9158824928639391
SIGNSCRAMBLE,wiki-elec,Wiki-elec,10,0.753262127330343,0.009779508140319712,0.8181786632684769,0.7759685388910177,0.0029122603066765247,0.8287078109932497
SIGNSCRAMBLE,wiki-rfa,Wiki-RfA,10,0.710303984757613,0.07704798001362559,0.7881045768725273,0.7598556592806137,0.005985027732665965,0.8120415303013205
