dataset,seed,k,auc,max_occ
bitcoin-alpha,42,1,0.9119707003812964,3314
bitcoin-alpha,42,2,0.9169203864568103,3314
bitcoin-alpha,42,4,0.9179438662882371,3314
bitcoin-alpha,42,8,0.9180872108024425,3314
bitcoin-alpha,42,16,0.9166996359049339,3314
bitcoin-alpha,42,32,0.9179868696424988,3314
bitcoin-alpha,42,64,0.9183423640377282,3314
bitcoin-alpha,42,128,0.9183738998308534,3314
bitcoin-alpha,42,256,0.9184828416616495,3314
bitcoin-alpha,42,512,0.9184742409907973,3314
bitcoin-alpha,42,1024,0.9184713741005133,3314
bitcoin-alpha,43,1,0.902737880221324,1089
bitcoin-alpha,43,2,0.9033055244975776,1089
bitcoin-alpha,43,4,0.9018090077692726,1089
bitcoin-alpha,43,8,0.9063616295404373,1089
bitcoin-alpha,43,16,0.9082337088959607,1089
bitcoin-alpha,43,32,0.9090307043949429,1089
bitcoin-alpha,43,64,0.9091969840314211,1089
bitcoin-alpha,43,128,0.9087956193916459,1089
bitcoin-alpha,43,256,0.9085892032911901,1089
bitcoin-alpha,43,512,0.9085461999369284,1089
bitcoin-alpha,43,1024,0.908563401278633,1089
bitcoin-alpha,44,1,0.9213525988360425,3999
bitcoin-alpha,44,2,0.9121527479143372,3999
bitcoin-alpha,44,4,0.9190074825836416,3999
bitcoin-alpha,44,8,0.9171153349961296,3999
bitcoin-alpha,44,16,0.9228290473323586,3999
bitcoin-alpha,44,32,0.9218457039649093,3999
bitcoin-alpha,44,64,0.9202201771738197,3999
bitcoin-alpha,44,128,0.9202287778446719,3999
bitcoin-alpha,44,256,0.9201714400389898,3999
bitcoin-alpha,44,512,0.9202087096126831,3999
bitcoin-alpha,44,1024,0.9201714400389898,3999
bitcoin-alpha,45,1,0.9313840864383411,4197
bitcoin-alpha,45,2,0.9309139366249588,4197
bitcoin-alpha,45,4,0.9323416921932057,4197
bitcoin-alpha,45,8,0.932785882814438,4197
bitcoin-alpha,45,16,0.9328262637800045,4197
bitcoin-alpha,45,32,0.9338704001753688,4197
bitcoin-alpha,45,64,0.9322176649418227,4197
bitcoin-alpha,45,128,0.933192576824787,4197
bitcoin-alpha,45,256,0.93340313471667,4197
bitcoin-alpha,45,512,0.9333800598792032,4197
bitcoin-alpha,45,1024,0.9333800598792032,4197
bitcoin-alpha,46,1,0.9198697425425009,4089
bitcoin-alpha,46,2,0.9237203560447421,4089
bitcoin-alpha,46,4,0.9271296632804342,4089
bitcoin-alpha,46,8,0.9253327103127218,4089
bitcoin-alpha,46,16,0.9249289006570559,4089
bitcoin-alpha,46,32,0.9258490098010372,4089
bitcoin-alpha,46,64,0.9266768195951519,4089
