direction,recording,sampling,n_anchors,line_dist,n_pairs,mi_bits,nmi,phi
directed,tree,small_nonrandom,1000,1,226192,0.0307233681639952,0.05590727565322778,0.23372632124676923
directed,tree,small_nonrandom,1000,2,5578021,0.001234725848732552,0.002034793888169895,0.042233778291720654
directed,tree,small_nonrandom,1000,3,29438147,2.381146936071901e-06,3.878416344653498e-06,-0.0018155621893334978
directed,tree,small_nonrandom,1000,4,25036185,5.385994827007451e-06,9.265984461796803e-06,-0.0027294178849486678
directed,tree,small_nonrandom,1000,5,5975714,0.00017424734071545302,0.00032621231141572685,-0.015378217252820648
directed,tree,small_nonrandom,1000,6,730725,0.00010363888735827743,0.00020254642548223937,-0.011830876703529506
directed,tree,small_nonrandom,1000,7,69959,6.968837695775151e-06,1.3686370434189661e-05,0.0031202083739037658
directed,tree,small_nonrandom,1000,8,6592,0.0003483537670560368,0.0006680572964101368,-0.021369433736451275
directed,tree,large_random_tree,3000,1,388311,0.09638053467655402,0.11527957039130142,0.3789498315806083
directed,tree,large_random_tree,3000,2,9617801,0.002044446310808643,0.0025499524494122547,0.05395100729515026
directed,tree,large_random_tree,3000,3,67923921,2.8130575581159683e-05,3.452507081600112e-05,0.00625368621881928
directed,tree,large_random_tree,3000,4,85891082,9.403444749282166e-06,1.1867637342407891e-05,-0.0036073579292577075
directed,tree,large_random_tree,3000,5,28667213,0.00022595042830223563,0.0003110814762959559,-0.017577530027368376
directed,tree,large_random_tree,3000,6,5486352,0.00017764275513553656,0.00026538144188535554,-0.015557288691057457
directed,tree,large_random_tree,3000,7,877579,0.0012392641239438685,0.0021518508317205894,-0.04012596469565873
directed,tree,large_random_tree,3000,8,103935,0.00023668204703295196,0.00046054077004283647,-0.01777192975578507
directed,all,small_nonrandom,1000,1,546541,0.01656992226337559,0.024654029897682197,0.16284511847575742
directed,all,small_nonrandom,1000,2,39937003,0.0012637673868251056,0.002347151675722749,0.04316156517277145
directed,all,small_nonrandom,1000,3,261233835,6.618292855930488e-06,1.0602571400619677e-05,-0.003025430797281373
directed,all,small_nonrandom,1000,4,180291522,1.256492164298953e-05,2.201615765200268e-05,-0.004166619396686055
directed,all,small_nonrandom,1000,5,23088821,0.000364944934006242,0.000745391582413973,-0.022156943606598666
directed,all,small_nonrandom,1000,6,1571683,0.00019796257354245386,0.00039541692548345533,-0.016219954302573742
directed,all,small_nonrandom,1000,7,125183,1.0837077377083939e-06,2.175775388873615e-06,0.0012280294050648433
directed,all,small_nonrandom,1000,8,8390,5.8588479900360596e-05,0.00011934942890594938,-0.008891831624264946
directed,all,large_random_all,20000,1,6000222,0.06464243037565742,0.0865726649273347,0.3185336218876301
directed,all,large_random_all,20000,2,367724318,0.0036002601200649763,0.004637102608506695,0.0721699943210038
directed,all,large_random_all,20000,3,3926384983,1.006744925119863e-06,1.2396929097246455e-06,0.001181719346293708
directed,all,large_random_all,20000,4,4568087328,1.4293744657885559e-05,1.8165497163913445e-05,-0.004446604703939155
directed,all,large_random_all,20000,5,943826028,0.00024095228474380146,0.00036523122472086506,-0.01814149987410495
directed,all,large_random_all,20000,6,134416415,0.0011023791850268477,0.0021019444394415774,-0.03806482514516187
directed,all,large_random_all,20000,7,18718336,0.0019434917908419478,0.004918565950879613,-0.04926355773516059
directed,all,large_random_all,20000,8,2224662,0.0024633040150426715,0.009842585063597701,-0.0533149125015368
undirected,tree,small_nonrandom,150,1,68688,0.014024994149260346,0.02508159002619315,0.15124391934062076
undirected,tree,small_nonrandom,150,2,2784788,0.0003234293005383495,0.00047542032795585816,0.021353967904248185
undirected,tree,small_nonrandom,150,3,7591197,6.17937749329057e-06,8.633293020451592e-06,-0.0029240530347862345
undirected,tree,small_nonrandom,150,4,1717254,2.40007910597838e-05,3.318839808787413e-05,-0.005747011248490804
undirected,tree,small_nonrandom,150,5,147446,2.3088715847866762e-06,3.1846184001563333e-06,-0.0017847095972708883
undirected,tree,small_nonrandom,150,6,10813,3.916828203049365e-05,5.420791431494008e-05,-0.007251928839125479
undirected,tree,small_nonrandom,150,7,385,nan,nan,nan
undirected,tree,small_nonrandom,150,8,129,nan,nan,nan
undirected,tree,large_random_tree,300,1,92551,0.0443582797566881,0.06255571139105554,0.26726006046815876
undirected,tree,large_random_tree,300,2,3779396,0.0015235558442858628,0.0020991507632314305,0.04662449878506765
undirected,tree,large_random_tree,300,3,14586125,5.233020450964051e-06,7.199170908734036e-06,0.002695641736774895
undirected,tree,large_random_tree,300,4,5335955,0.00025755074676793313,0.00036510873752000254,-0.018703197740884497
undirected,tree,large_random_tree,300,5,728956,0.00026154819850622004,0.0003551534870862707,0.01927038968301601
