dataset,layer,head,d,mass
bitcoin-alpha,0,0,-4,0.053822517598210995
bitcoin-alpha,0,0,-3,0.16072835051491377
bitcoin-alpha,0,0,-2,0.06531293001571058
bitcoin-alpha,0,0,-1,0.18873770685856509
bitcoin-alpha,0,0,0,0.05915295700972256
bitcoin-alpha,0,0,1,0.18522234973988014
bitcoin-alpha,0,0,2,0.06492324150939816
bitcoin-alpha,0,0,3,0.16287099815015074
bitcoin-alpha,0,0,4,0.059228948851176855
bitcoin-alpha,0,1,-4,0.13266835811435537
bitcoin-alpha,0,1,-3,0.0405392177677836
bitcoin-alpha,0,1,-2,0.1498124961194613
bitcoin-alpha,0,1,-1,0.043960417474633716
bitcoin-alpha,0,1,0,0.19243905000838485
bitcoin-alpha,0,1,1,0.05248786248743357
bitcoin-alpha,0,1,2,0.1715810699277687
bitcoin-alpha,0,1,3,0.04608421296394947
bitcoin-alpha,0,1,4,0.17042731865561575
bitcoin-alpha,0,2,-4,0.1325584191211772
bitcoin-alpha,0,2,-3,0.06079664111996549
bitcoin-alpha,0,2,-2,0.1453558404765959
bitcoin-alpha,0,2,-1,0.06898877044023682
bitcoin-alpha,0,2,0,0.17483781694386152
bitcoin-alpha,0,2,1,0.0721645537179285
bitcoin-alpha,0,2,2,0.1423744540045283
bitcoin-alpha,0,2,3,0.06448148959779154
bitcoin-alpha,0,2,4,0.13844201469928316
bitcoin-alpha,0,3,-4,0.11497930989961475
bitcoin-alpha,0,3,-3,0.06429711448038038
bitcoin-alpha,0,3,-2,0.13969562108465106
bitcoin-alpha,0,3,-1,0.08357899231119405
bitcoin-alpha,0,3,0,0.15655551226679584
bitcoin-alpha,0,3,1,0.0837280544191614
bitcoin-alpha,0,3,2,0.14816191461982584
bitcoin-alpha,0,3,3,0.07152853978231262
bitcoin-alpha,0,3,4,0.1374749432166908
