dataset,model,src_bin_lo,src_bin_hi,tgt_bin_lo,tgt_bin_hi,auc,n
bitcoin-alpha,walk_localattn4,0.0,0.25,0.0,0.25,1.0,1175
bitcoin-alpha,walk_localattn4,0.0,0.25,0.25,0.5,0.9234449760765551,212
bitcoin-alpha,walk_localattn4,0.0,0.25,0.5,0.75,0.8642857142857143,72
bitcoin-alpha,walk_localattn4,0.0,0.25,0.75,1.0,0.6975806451612903,70
bitcoin-alpha,walk_localattn4,0.25,0.5,0.0,0.25,1.0,319
bitcoin-alpha,walk_localattn4,0.25,0.5,0.25,0.5,0.607843137254902,56
bitcoin-alpha,walk_localattn4,0.25,0.5,0.5,0.75,,16
bitcoin-alpha,walk_localattn4,0.25,0.5,0.75,1.0,0.5546875,40
bitcoin-alpha,walk_localattn4,0.5,0.75,0.0,0.25,0.31919191919191925,168
bitcoin-alpha,walk_localattn4,0.5,0.75,0.25,0.5,0.5801282051282051,47
bitcoin-alpha,walk_localattn4,0.5,0.75,0.5,0.75,,18
bitcoin-alpha,walk_localattn4,0.5,0.75,0.75,1.0,0.5,34
bitcoin-alpha,walk_localattn4,0.75,1.0,0.0,0.25,0.8821138211382114,106
bitcoin-alpha,walk_localattn4,0.75,1.0,0.25,0.5,0.5535714285714286,30
bitcoin-alpha,walk_localattn4,0.75,1.0,0.5,0.75,,23
bitcoin-alpha,walk_localattn4,0.75,1.0,0.75,1.0,0.662037037037037,33
bitcoin-otc,walk_localattn4,0.0,0.25,0.0,0.25,0.9036629434954008,1530
bitcoin-otc,walk_localattn4,0.0,0.25,0.25,0.5,0.8596001859600186,248
bitcoin-otc,walk_localattn4,0.0,0.25,0.5,0.75,0.9982028241335045,224
bitcoin-otc,walk_localattn4,0.0,0.25,0.75,1.0,0.8286363636363636,130
bitcoin-otc,walk_localattn4,0.25,0.5,0.0,0.25,0.8078548347004723,456
bitcoin-otc,walk_localattn4,0.25,0.5,0.25,0.5,0.6568627450980392,77
bitcoin-otc,walk_localattn4,0.25,0.5,0.5,0.75,0.6900826446280992,55
bitcoin-otc,walk_localattn4,0.25,0.5,0.75,1.0,0.5746691871455576,46
bitcoin-otc,walk_localattn4,0.5,0.75,0.0,0.25,0.7849206349206349,187
bitcoin-otc,walk_localattn4,0.5,0.75,0.25,0.5,0.901098901098901,33
bitcoin-otc,walk_localattn4,0.5,0.75,0.5,0.75,0.707070707070707,38
bitcoin-otc,walk_localattn4,0.5,0.75,0.75,1.0,0.5670995670995671,43
bitcoin-otc,walk_localattn4,0.75,1.0,0.0,0.25,0.819219512195122,255
bitcoin-otc,walk_localattn4,0.75,1.0,0.25,0.5,0.6362007168458781,49
bitcoin-otc,walk_localattn4,0.75,1.0,0.5,0.75,0.7952941176470588,76
bitcoin-otc,walk_localattn4,0.75,1.0,0.75,1.0,0.6887550200803213,113
epinions,walk_localattn4,0.0,0.25,0.0,0.25,0.9672031909521901,30423
