dataset,node,direction,entropy
bitcoin-alpha,430,out,0.9182958340544896
bitcoin-alpha,430,in,0.9182958340544896
bitcoin-alpha,3134,out,0.0
bitcoin-alpha,3134,in,0.9182958340544896
bitcoin-alpha,3026,out,0.0
bitcoin-alpha,3026,in,0.0
bitcoin-alpha,3010,out,0.0
bitcoin-alpha,3010,in,0.0
bitcoin-alpha,804,out,0.0
bitcoin-alpha,804,in,0.0
bitcoin-alpha,160,out,0.0
bitcoin-alpha,160,in,0.0
bitcoin-alpha,95,out,0.7153220528038851
bitcoin-alpha,95,in,0.4966221117153492
bitcoin-alpha,377,out,0.0
bitcoin-alpha,377,in,0.0
bitcoin-alpha,888,out,0.0
bitcoin-alpha,888,in,0.0
bitcoin-alpha,89,out,0.2580186686648154
bitcoin-alpha,89,in,0.14372616993938186
bitcoin-alpha,1901,out,0.0
bitcoin-alpha,1901,in,0.0
bitcoin-alpha,161,out,0.18312206830137284
bitcoin-alpha,161,in,0.1871762568732082
bitcoin-alpha,256,out,0.21084230031853213
bitcoin-alpha,256,in,0.21084230031853213
bitcoin-alpha,351,out,0.0
bitcoin-alpha,351,in,0.0
bitcoin-alpha,3329,out,0.0
bitcoin-alpha,3329,in,0.0
bitcoin-alpha,3341,out,0.0
bitcoin-alpha,3341,in,0.0
bitcoin-alpha,649,out,0.0
bitcoin-alpha,649,in,0.3712323266408755
bitcoin-alpha,1583,out,0.0
bitcoin-alpha,1583,in,0.0
bitcoin-alpha,87,out,0.5725804656237687
bitcoin-alpha,87,in,0.0
bitcoin-alpha,37,out,0.3095434291503253
bitcoin-alpha,37,in,0.0
bitcoin-alpha,309,out,0.0
bitcoin-alpha,309,in,0.2580186686648154
bitcoin-alpha,821,out,0.0
bitcoin-alpha,821,in,0.0
bitcoin-alpha,1496,out,0.0
bitcoin-alpha,1496,in,0.0
bitcoin-alpha,637,out,0.0
bitcoin-alpha,637,in,0.0
bitcoin-alpha,964,out,0.0
bitcoin-alpha,964,in,0.0
bitcoin-alpha,594,out,0.0
bitcoin-alpha,594,in,0.0
bitcoin-alpha,2249,out,0.0
bitcoin-alpha,2249,in,0.0
bitcoin-alpha,554,out,0.0
bitcoin-alpha,554,in,0.0
bitcoin-alpha,20,out,0.3665780125533459
bitcoin-alpha,20,in,0.0
bitcoin-alpha,2227,out,0.0
bitcoin-alpha,2227,in,0.0
bitcoin-alpha,1315,out,0.0
bitcoin-alpha,1315,in,0.0
bitcoin-alpha,519,out,0.0
bitcoin-alpha,519,in,0.3533593350214213
bitcoin-alpha,1316,out,0.0
bitcoin-alpha,1316,in,0.0
bitcoin-alpha,2149,out,0.0
bitcoin-alpha,2149,in,0.0
bitcoin-alpha,1724,out,0.0
bitcoin-alpha,1724,in,0.0
bitcoin-alpha,18,out,0.0
bitcoin-alpha,18,in,0.0
bitcoin-alpha,57,out,0.0
bitcoin-alpha,57,in,0.0
bitcoin-alpha,118,out,0.2974722489192898
bitcoin-alpha,118,in,0.0
bitcoin-alpha,3254,out,0.0
bitcoin-alpha,3254,in,0.4689955935892811
bitcoin-alpha,1177,out,0.0
bitcoin-alpha,1177,in,0.0
bitcoin-alpha,112,out,0.0
bitcoin-alpha,112,in,0.0
bitcoin-alpha,11,out,0.46429339352149623
bitcoin-alpha,11,in,0.46429339352149623
bitcoin-alpha,586,out,0.0
bitcoin-alpha,586,in,0.0
bitcoin-alpha,35,out,0.9509560484549725
bitcoin-alpha,35,in,0.09501724567107642
bitcoin-alpha,15,out,0.7752580561149531
bitcoin-alpha,15,in,0.40674618256046075
bitcoin-alpha,1445,out,0.0
bitcoin-alpha,1445,in,0.0
bitcoin-alpha,152,out,0.0
bitcoin-alpha,152,in,0.0
bitcoin-alpha,2,out,0.2698284477030738
bitcoin-alpha,2,in,0.0
bitcoin-alpha,113,out,0.2974722489192898
bitcoin-alpha,113,in,0.6690158350565576
bitcoin-alpha,44,out,0.0
bitcoin-alpha,44,in,0.0
bitcoin-alpha,2401,out,0.0
bitcoin-alpha,2401,in,0.0
bitcoin-alpha,10,out,0.33590897715305507
bitcoin-alpha,10,in,0.05363316840061031
bitcoin-alpha,2378,out,0.0
bitcoin-alpha,2378,in,0.0
bitcoin-alpha,126,out,0.41381685030363385
bitcoin-alpha,126,in,0.0
bitcoin-alpha,3245,out,0.0
bitcoin-alpha,3245,in,0.0
bitcoin-alpha,783,out,0.0
bitcoin-alpha,783,in,0.0
bitcoin-alpha,493,out,0.0
bitcoin-alpha,493,in,0.4689955935892811
bitcoin-alpha,1358,out,0.0
bitcoin-alpha,1358,in,0.0
bitcoin-alpha,1180,out,0.0
bitcoin-alpha,1180,in,0.0
bitcoin-alpha,529,out,0.0
bitcoin-alpha,529,in,0.0
bitcoin-alpha,333,out,0.3912435636292555
bitcoin-alpha,333,in,0.0
bitcoin-alpha,1538,out,0.0
bitcoin-alpha,1538,in,0.0
