dataset,line_dist,n_pairs,mi_bits,nmi,phi,se_null,z,p
bitcoin-alpha,1,4187709,0.009135767852014936,0.026032327199565167,0.13375884936393156,0.0004886656411635842,273.72263997409806,0.0
bitcoin-alpha,2,122245173,5.433824300403532e-05,0.00014190935672604807,0.008808564997060024,9.044491231020047e-05,97.39149247941265,0.0
bitcoin-alpha,3,291774309,4.318016082304388e-05,0.00012710093368797936,-0.0076057996870096305,5.85432025133698e-05,-129.91772503857567,0.0
bitcoin-alpha,4,61033052,3.0188892677636403e-05,0.0001128775238261184,-0.006334131281403721,0.0001280022075717325,-49.48454719309486,0.0
bitcoin-alpha,5,4008454,9.861340666365121e-05,0.00048634462828430706,-0.011033361113186544,0.0004994725233704199,-22.090026171477625,3.941673760267224e-108
bitcoin-alpha,6,180672,0.00021788051661498424,0.0012956029341087587,-0.015299011315881328,0.0023526416204147035,-6.502907703037469,7.878213702678582e-11
bitcoin-alpha,7,5455,0.0002660041606948807,0.002363340015045049,-0.013671506770757003,0.01354074106170646,-1.009657204761145,0.31265955242490207
bitcoin-alpha,8,102,nan,nan,nan,nan,nan,nan
bitcoin-otc,1,5268965,0.01939675726733173,0.043122451767883034,0.19086005468073375,0.00043564966494648267,438.1044450112912,0.0
bitcoin-otc,2,167557868,0.0008186498440907698,0.001658037974621218,0.03483365859990382,7.725339753663286e-05,450.9013158079684,0.0
bitcoin-otc,3,436427239,0.00011551352168846633,0.00024234934933184643,-0.012466177783619737,4.786786705435786e-05,-260.4289380486366,0.0
bitcoin-otc,4,96344329,0.000552910989220778,0.0013381456380899236,-0.026445783409449634,0.00010187952795651892,-259.5789746958428,0.0
bitcoin-otc,5,5711186,0.0008274764030049312,0.002459368048698513,-0.031004399758463124,0.00041844355763986387,-74.09458024240216,0.0
bitcoin-otc,6,296071,0.0006907973633201465,0.002332582343920941,-0.02800445090355554,0.0018378192583710983,-15.237869978779377,1.9822798253924064e-52
bitcoin-otc,7,7469,4.185530694267551e-06,2.8737952396591716e-05,-0.0023559540287570496,0.011571718104160847,-0.20359587120515132,0.8386693198692927
bitcoin-otc,8,115,nan,nan,nan,nan,nan,nan
epinions,1,12080537,0.05785688393187829,0.08826392315183908,0.31163525755698684,0.0002877112858962944,1083.1527049283561,0.0
epinions,2,2080174532,0.0008676682772743487,0.0013101081070300356,0.035262617810575436,2.1925530625821024e-05,1608.2902809680572,0.0
epinions,3,11372537041,4.378813200873544e-05,7.192258401120709e-05,-0.007752419673919071,9.377159863604153e-06,-826.7342976639192,0.0
epinions,4,2785480694,0.00028497588819791954,0.0005756452973351823,-0.019451888096694608,1.8947413091526392e-05,-1026.625006945873,0.0
