dataset,d,n_pairs,mi_bits,nmi
bitcoin-alpha,0,1396250,0.02013658,0.0447013
bitcoin-alpha,1,1236208,0.00078178,0.0033174
bitcoin-alpha,2,261042821,0.00000687,0.0000180
bitcoin-alpha,3,215791206,0.00008988,0.0003041
bitcoin-alpha,4,50360066,0.00007987,0.0003628
bitcoin-alpha,5,6728170,0.00009630,0.0005622
bitcoin-alpha,6,706869,0.00015613,0.0012070
bitcoin-alpha,7,51499,0.00013654,0.0016037
bitcoin-alpha,8,2581,0.00008232,0.0018014
bitcoin-alpha,9,94,nan,nan
bitcoin-alpha,10,1,nan,nan
bitcoin-alpha,11,0,nan,nan
bitcoin-alpha,12,0,nan,nan
bitcoin-otc,0,2794766,0.04441462,0.0765992
bitcoin-otc,1,2273658,0.00422282,0.0147609
bitcoin-otc,2,550460630,0.00000059,0.0000012
bitcoin-otc,3,478517495,0.00008641,0.0001963
bitcoin-otc,4,115318080,0.00025659,0.0006201
bitcoin-otc,5,15542180,0.00056071,0.0016076
bitcoin-otc,6,1941588,0.00077765,0.0030593
bitcoin-otc,7,329970,0.00089515,0.0078715
bitcoin-otc,8,46572,0.00011805,0.0045304
bitcoin-otc,9,3580,0.00000000,nan
bitcoin-otc,10,236,nan,nan
bitcoin-otc,11,7,nan,nan
bitcoin-otc,12,0,nan,nan
epinions,0,146789022,0.26585647,0.3403805
epinions,1,95581145,0.00193214,0.0045151
epinions,2,199158981761,0.00011697,0.0001681
epinions,3,297017480245,0.00045378,0.0007935
epinions,4,97507209400,0.00003380,0.0000700
epinions,5,18108976952,0.00000267,0.0000057
epinions,6,2885721122,0.00000328,0.0000071
epinions,7,467437111,0.00000049,0.0000011
epinions,8,84908647,0.00010645,0.0002130
epinions,9,17683208,0.00030252,0.0004736
epinions,10,4242444,0.00042494,0.0008009
epinions,11,632852,0.00000534,0.0000135
epinions,12,62133,0.00000014,0.0000003
wiki-elec,0,14125632,0.01124494,0.0158445
wiki-elec,1,4536951,0.00012842,0.0002093
wiki-elec,2,3174746549,0.00000003,0.0000000
wiki-elec,3,1819934460,0.00000009,0.0000001
wiki-elec,4,289450663,0.00000011,0.0000001
wiki-elec,5,24413600,0.00000012,0.0000001
wiki-elec,6,2168427,0.00003396,0.0000432
wiki-elec,7,185335,0.00000908,0.0000104
wiki-elec,8,54635,0.00248594,0.0050415
wiki-elec,9,11710,0.00000000,nan
wiki-elec,10,0,nan,nan
wiki-elec,11,0,nan,nan
wiki-elec,12,0,nan,nan
wiki-rfa,0,23423844,0.01292320,0.0180258
wiki-rfa,1,9886684,0.00017450,0.0002631
wiki-rfa,2,9173416666,0.00000000,0.0000000
wiki-rfa,3,7583397535,0.00000004,0.0000001
wiki-rfa,4,1612289804,0.00000013,0.0000002
wiki-rfa,5,135945593,0.00000808,0.0000109
wiki-rfa,6,8720086,0.00000842,0.0000111
wiki-rfa,7,382827,0.00108872,0.0012163
wiki-rfa,8,6399,0.00003842,0.0000568
wiki-rfa,9,96,nan,nan
wiki-rfa,10,0,nan,nan
wiki-rfa,11,0,nan,nan
wiki-rfa,12,0,nan,nan
slashdot090221,0,48764066,0.14496315,0.1707968
slashdot090221,1,22541604,0.01824065,0.0249003
slashdot090221,2,45193193768,0.00006324,0.0000778
slashdot090221,3,136805791719,0.00000091,0.0000011
slashdot090221,4,70810682477,0.00003089,0.0000422
slashdot090221,5,15692047393,0.00023588,0.0003773
slashdot090221,6,2780030705,0.00021566,0.0004062
slashdot090221,7,465725784,0.00008587,0.0001877
slashdot090221,8,74574839,0.00005226,0.0001454
slashdot090221,9,11453634,0.00047225,0.0017875
slashdot090221,10,1461836,0.00030030,0.0015969
slashdot090221,11,154589,0.00002425,0.0001730
slashdot090221,12,13674,0.00037932,0.0043054
