dataset,line_dist,n_pairs,mi_bits,nmi
bitcoin-alpha,1,4187709,0.009135767852014936,0.026032327199565167
bitcoin-alpha,2,122245173,5.433824300403532e-05,0.00014190935672604807
bitcoin-alpha,3,291774309,4.318016082304388e-05,0.00012710093368797936
bitcoin-alpha,4,61033052,3.0188892677636403e-05,0.0001128775238261184
bitcoin-alpha,5,4008454,9.861340666365121e-05,0.00048634462828430706
bitcoin-alpha,6,180672,0.00021788051661498424,0.0012956029341087587
bitcoin-alpha,7,5455,0.0002660041606948807,0.002363340015045049
bitcoin-alpha,8,102,nan,nan
bitcoin-otc,1,5268965,0.01939675726733173,0.043122451767883034
bitcoin-otc,2,167557868,0.0008186498440907698,0.001658037974621218
bitcoin-otc,3,436427239,0.00011551352168846633,0.00024234934933184643
bitcoin-otc,4,96344329,0.000552910989220778,0.0013381456380899236
bitcoin-otc,5,5711186,0.0008274764030049312,0.002459368048698513
bitcoin-otc,6,296071,0.0006907973633201465,0.002332582343920941
bitcoin-otc,7,7469,4.185530694267551e-06,2.8737952396591716e-05
bitcoin-otc,8,115,nan,nan
epinions,1,12080537,0.05785688393187829,0.08826392315183908
epinions,2,2080174532,0.0008676682772743487,0.0013101081070300356
epinions,3,11372537041,4.378813200873544e-05,7.192258401120709e-05
epinions,4,2785480694,0.00028497588819791954,0.0005756452973351823
epinions,5,214639748,9.921011580997123e-08,2.0074768180821367e-07
epinions,6,25252947,1.277076625857802e-05,2.5725773053999868e-05
epinions,7,3734822,1.4306963259650275e-05,3.8962658865376026e-05
epinions,8,464181,4.34333329694497e-06,8.679320632625372e-06
wiki-elec,1,6156824,0.00939966468987849,0.013349923150983054
wiki-elec,2,599837984,5.655512415553808e-05,7.899016398465413e-05
wiki-elec,3,1429293207,1.7306301295251904e-05,2.2917722637848612e-05
wiki-elec,4,37165722,0.00190531311374334,0.00208768026595854
wiki-elec,5,60604,0.004438320626454703,0.004637781947041997
wiki-elec,6,26,nan,nan
wiki-elec,7,0,nan,nan
wiki-elec,8,0,nan,nan
wiki-rfa,1,6844398,0.00896498843245782,0.012704460225988484
wiki-rfa,2,773388415,5.630206270159591e-05,7.851873395781069e-05
wiki-rfa,3,2624224472,5.666691269340146e-06,7.583308082441038e-06
wiki-rfa,4,139532598,0.0005369823595656187,0.0006244271947345181
wiki-rfa,5,210000,0.007069085016953778,0.007938078436929634
wiki-rfa,6,117,nan,nan
wiki-rfa,7,0,nan,nan
wiki-rfa,8,0,nan,nan
slashdot,1,6485912,0.06491432573371926,0.0887687037003347
slashdot,2,663822571,0.0025769572669878827,0.0034067368020807326
slashdot,3,7742055109,9.730972816035413e-07,1.2214179356613316e-06
slashdot,4,2404804884,0.0003699372591523097,0.0005055534947246385
slashdot,5,154000889,0.006136706039974566,0.011939644821820096
slashdot,6,12113888,0.008103683781775364,0.018389187761533754
slashdot,7,674828,0.0037776363880377382,0.008069197744404774
slashdot,8,58008,0.0010081773682358857,0.0016671873361760762
synthetic-fog,1,1703916,2.3741939282765148e-05,2.395353695998637e-05
synthetic-fog,2,50446020,1.5210375589772444e-11,1.530714277100725e-11
synthetic-fog,3,120428936,4.1084421285988776e-07,4.154066729181909e-07
synthetic-fog,4,25035154,1.695367157033027e-05,1.741905070743777e-05
synthetic-fog,5,1655250,0.0004546335067048112,0.0004880284121255562
synthetic-fog,6,87898,0.013712331791857123,0.01694045893031401
