dataset,line_dist,n_pairs,mi_bits,nmi
bitcoin-alpha,1,5031655,0.009040992700980287,0.025803317702809723
bitcoin-alpha,2,132874504,5.402030092150679e-05,0.0001467197655430554
bitcoin-alpha,3,344487285,2.025070079484303e-05,5.849101139178758e-05
bitcoin-alpha,4,91488658,4.3279990387053526e-05,0.00014885765205998737
bitcoin-alpha,5,8410452,8.822729375334128e-05,0.00037331684070715526
bitcoin-alpha,6,702849,3.6175280986535754e-08,1.8198736045438993e-07
bitcoin-alpha,7,33050,1.416109492180003e-08,9.305529408053672e-08
bitcoin-alpha,8,717,nan,nan
bitcoin-otc,1,9378317,0.01909934643292595,0.04238991143913087
bitcoin-otc,2,266244756,0.0006236051262095525,0.001324606379389294
bitcoin-otc,3,746523808,4.6517213515140723e-05,9.759685681998567e-05
bitcoin-otc,4,214607417,0.0002601425275666064,0.0005672149663544921
bitcoin-otc,5,20561435,0.0005862462773359558,0.0015266463414639487
bitcoin-otc,6,2175199,0.00016744084557209589,0.000549196295886978
bitcoin-otc,7,375608,0.00026430384067956233,0.002904445053914304
bitcoin-otc,8,21723,7.061274879224673e-07,1.893347002336313e-05
epinions,1,485634213,0.05692179579370168,0.08798151595084217
epinions,2,54787299077,0.0011523628367537952,0.0018206236355269019
epinions,3,350497641727,8.413748412187992e-06,1.3318493330985311e-05
epinions,4,197035207519,0.0003546815389789096,0.0006370269457286674
epinions,5,24743567829,0.00018046236338592763,0.00036538785864756603
epinions,6,2824884197,3.527988282052213e-05,7.562010429970776e-05
epinions,7,410907768,2.315796182198425e-05,4.945999284282087e-05
epinions,8,58091867,0.0004426709013413601,0.0008154477090613757
wiki-elec,1,25872305,0.00885749170220464,0.012756089354774373
wiki-elec,2,1250249446,4.3018389682156905e-05,6.1725813507188e-05
wiki-elec,3,3689676962,8.853922331727234e-06,1.1904062322210126e-05
wiki-elec,4,889949350,7.828563848043322e-08,9.837318385317336e-08
wiki-elec,5,61352907,7.057081767792282e-06,8.41053838262159e-06
wiki-elec,6,3459206,6.607364321061437e-07,8.017807250920461e-07
wiki-elec,7,243418,3.153698534797702e-05,3.526979722351425e-05
wiki-elec,8,41132,0.0007816006121543679,0.004275637796765437
wiki-rfa,1,50578637,0.00859839479471287,0.01211325921577421
wiki-rfa,2,2993459535,4.9254712946287605e-05,6.951860059895319e-05
wiki-rfa,3,12114808606,3.305959585797537e-06,4.426921959319266e-06
wiki-rfa,4,4312077861,1.0769885671916223e-07,1.369591306534525e-07
wiki-rfa,5,327826221,1.0507862589762733e-05,1.289601130758337e-05
wiki-rfa,6,9405604,2.1924856304358356e-05,2.5027726594122003e-05
wiki-rfa,7,263674,0.0026672758461471456,0.002714984419069021
wiki-rfa,8,7667,0.010617693315456336,0.026686814796142776
slashdot,1,164281489,0.06288333820675358,0.0856257010364064
slashdot,2,10037671290,0.0033871141727202306,0.004397947469462041
slashdot,3,107357676701,1.2776410841638312e-06,1.583061013200977e-06
slashdot,4,125731173744,1.3637854969051873e-05,1.751709245661737e-05
slashdot,5,26367735697,0.00021206417497919051,0.00032401621200825383
slashdot,6,3742301769,0.0009223050723886203,0.0017250524650954068
slashdot,7,545333091,0.0006397790100765004,0.001385232525557684
slashdot,8,66995407,0.0005388127026324939,0.0014435788844852793
