dataset,line_dist,n_pairs,mi_bits,nmi
bitcoin-alpha,1,2395754,0.007586518441869092,0.030246436669744473
bitcoin-alpha,2,73703108,0.00010451566040341762,0.00039416889074180114
bitcoin-alpha,3,300042569,9.635371901414068e-07,3.0862053221738965e-06
bitcoin-alpha,4,159359612,2.9268104030090415e-06,8.506957311423885e-06
bitcoin-alpha,5,24708687,1.4424955571572685e-05,3.967845736294762e-05
bitcoin-alpha,6,2758899,2.081281274948039e-05,5.432066344707376e-05
bitcoin-alpha,7,230514,6.197341784607848e-05,0.00014421123074250078
bitcoin-alpha,8,9108,6.296828758695116e-06,1.4244770934409242e-05
bitcoin-otc,1,4288670,0.010307962169479223,0.034449287247822265
bitcoin-otc,2,142322101,0.0005947644119238212,0.0018323670473967526
bitcoin-otc,3,620194498,5.291228693317282e-07,1.3172988278207209e-06
bitcoin-otc,4,354678914,5.085157354406053e-05,0.0001104286463958116
bitcoin-otc,5,59045677,4.1474704861223536e-05,7.824837998710446e-05
bitcoin-otc,6,7972616,8.884710209200171e-07,1.1536734759069284e-06
bitcoin-otc,7,1501316,0.00011880380665523676,0.00012064618687997365
bitcoin-otc,8,433689,2.1009811446324415e-06,2.1685527047104136e-06
