dataset,model,src_bin_lo,src_bin_hi,tgt_bin_lo,tgt_bin_hi,auc,n
bitcoin-alpha,SiGAT,0.0,0.25,0.0,0.25,0.9974424552429667,1175
bitcoin-alpha,SiGAT,0.0,0.25,0.25,0.5,0.8165869218500796,212
bitcoin-alpha,SiGAT,0.0,0.25,0.5,0.75,0.9071428571428571,72
bitcoin-alpha,SiGAT,0.0,0.25,0.75,1.0,0.6209677419354839,70
bitcoin-alpha,SiGAT,0.25,0.5,0.0,0.25,0.9905660377358491,319
bitcoin-alpha,SiGAT,0.25,0.5,0.25,0.5,0.6941176470588235,56
bitcoin-alpha,SiGAT,0.25,0.5,0.5,0.75,nan,16
bitcoin-alpha,SiGAT,0.25,0.5,0.75,1.0,0.46614583333333337,40
bitcoin-alpha,SiGAT,0.5,0.75,0.0,0.25,0.4606060606060607,168
bitcoin-alpha,SiGAT,0.5,0.75,0.25,0.5,0.6314102564102564,47
bitcoin-alpha,SiGAT,0.5,0.75,0.5,0.75,nan,18
bitcoin-alpha,SiGAT,0.5,0.75,0.75,1.0,0.5035714285714286,34
bitcoin-alpha,SiGAT,0.75,1.0,0.0,0.25,0.7802337398373983,106
bitcoin-alpha,SiGAT,0.75,1.0,0.25,0.5,0.6964285714285715,30
bitcoin-alpha,SiGAT,0.75,1.0,0.5,0.75,nan,23
bitcoin-alpha,SiGAT,0.75,1.0,0.75,1.0,0.7129629629629629,33
bitcoin-alpha,GINEConv,0.0,0.25,0.0,0.25,1.0,1175
bitcoin-alpha,GINEConv,0.0,0.25,0.25,0.5,0.8261562998405104,212
bitcoin-alpha,GINEConv,0.0,0.25,0.5,0.75,0.9571428571428572,72
bitcoin-alpha,GINEConv,0.0,0.25,0.75,1.0,0.502016129032258,70
bitcoin-alpha,GINEConv,0.25,0.5,0.0,0.25,1.0,319
bitcoin-alpha,GINEConv,0.25,0.5,0.25,0.5,0.42745098039215684,56
bitcoin-alpha,GINEConv,0.25,0.5,0.5,0.75,nan,16
bitcoin-alpha,GINEConv,0.25,0.5,0.75,1.0,0.4947916666666667,40
bitcoin-alpha,GINEConv,0.5,0.75,0.0,0.25,0.8404040404040404,168
bitcoin-alpha,GINEConv,0.5,0.75,0.25,0.5,0.48717948717948717,47
bitcoin-alpha,GINEConv,0.5,0.75,0.5,0.75,nan,18
bitcoin-alpha,GINEConv,0.5,0.75,0.75,1.0,0.47857142857142854,34
bitcoin-alpha,GINEConv,0.75,1.0,0.0,0.25,0.8404471544715447,106
bitcoin-alpha,GINEConv,0.75,1.0,0.25,0.5,0.39285714285714285,30
bitcoin-alpha,GINEConv,0.75,1.0,0.5,0.75,nan,23
bitcoin-alpha,GINEConv,0.75,1.0,0.75,1.0,0.5324074074074074,33
bitcoin-otc,SiGAT,0.0,0.25,0.0,0.25,0.8855124835742444,1530
bitcoin-otc,SiGAT,0.0,0.25,0.25,0.5,0.8052068805206881,248
bitcoin-otc,SiGAT,0.0,0.25,0.5,0.75,0.958408215661104,224
bitcoin-otc,SiGAT,0.0,0.25,0.75,1.0,0.6418181818181818,130
bitcoin-otc,SiGAT,0.25,0.5,0.0,0.25,0.9080288342033308,456
bitcoin-otc,SiGAT,0.25,0.5,0.25,0.5,0.6209150326797386,77
bitcoin-otc,SiGAT,0.25,0.5,0.5,0.75,0.731404958677686,55
bitcoin-otc,SiGAT,0.25,0.5,0.75,1.0,0.6616257088846882,46
bitcoin-otc,SiGAT,0.5,0.75,0.0,0.25,0.6956349206349206,187
bitcoin-otc,SiGAT,0.5,0.75,0.25,0.5,0.5879120879120879,33
bitcoin-otc,SiGAT,0.5,0.75,0.5,0.75,0.65993265993266,38
bitcoin-otc,SiGAT,0.5,0.75,0.75,1.0,0.5021645021645021,43
bitcoin-otc,SiGAT,0.75,1.0,0.0,0.25,0.7986829268292683,255
bitcoin-otc,SiGAT,0.75,1.0,0.25,0.5,0.5609318996415771,49
bitcoin-otc,SiGAT,0.75,1.0,0.5,0.75,0.5647058823529413,76
bitcoin-otc,SiGAT,0.75,1.0,0.75,1.0,0.27389558232931727,113
bitcoin-otc,GINEConv,0.0,0.25,0.0,0.25,0.9811925098554534,1530
bitcoin-otc,GINEConv,0.0,0.25,0.25,0.5,0.8358902835890284,248
bitcoin-otc,GINEConv,0.0,0.25,0.5,0.75,0.9848523748395378,224
bitcoin-otc,GINEConv,0.0,0.25,0.75,1.0,0.7977272727272727,130
bitcoin-otc,GINEConv,0.25,0.5,0.0,0.25,0.9756400695998011,456
bitcoin-otc,GINEConv,0.25,0.5,0.25,0.5,0.6062091503267975,77
bitcoin-otc,GINEConv,0.25,0.5,0.5,0.75,0.615702479338843,55
bitcoin-otc,GINEConv,0.25,0.5,0.75,1.0,0.6030245746691871,46
bitcoin-otc,GINEConv,0.5,0.75,0.0,0.25,0.8253968253968255,187
bitcoin-otc,GINEConv,0.5,0.75,0.25,0.5,0.4945054945054945,33
bitcoin-otc,GINEConv,0.5,0.75,0.5,0.75,0.6161616161616161,38
bitcoin-otc,GINEConv,0.5,0.75,0.75,1.0,0.4285714285714285,43
bitcoin-otc,GINEConv,0.75,1.0,0.0,0.25,0.8793658536585366,255
bitcoin-otc,GINEConv,0.75,1.0,0.25,0.5,0.456989247311828,49
bitcoin-otc,GINEConv,0.75,1.0,0.5,0.75,0.7325490196078431,76
bitcoin-otc,GINEConv,0.75,1.0,0.75,1.0,0.6084337349397589,113
epinions,SiGAT,0.0,0.25,0.0,0.25,0.9396337961770046,30423
epinions,SiGAT,0.0,0.25,0.25,0.5,0.902741680299225,13173
epinions,SiGAT,0.0,0.25,0.5,0.75,0.8891416966267265,5339
epinions,SiGAT,0.0,0.25,0.75,1.0,0.8265283452979998,3558
epinions,SiGAT,0.25,0.5,0.0,0.25,0.9479986588503072,4069
epinions,SiGAT,0.25,0.5,0.25,0.5,0.8723256992059565,2557
epinions,SiGAT,0.25,0.5,0.5,0.75,0.8755006257822278,1079
epinions,SiGAT,0.25,0.5,0.75,1.0,0.8465706120504882,860
epinions,SiGAT,0.5,0.75,0.0,0.25,0.922381726024365,3816
epinions,SiGAT,0.5,0.75,0.25,0.5,0.7888150429567191,2424
epinions,SiGAT,0.5,0.75,0.5,0.75,0.7879646773963822,1093
epinions,SiGAT,0.5,0.75,0.75,1.0,0.7826101383187494,963
epinions,SiGAT,0.75,1.0,0.0,0.25,0.9021955372497484,6496
epinions,SiGAT,0.75,1.0,0.25,0.5,0.7312402180725771,3968
epinions,SiGAT,0.75,1.0,0.5,0.75,0.7269532393999544,2115
epinions,SiGAT,0.75,1.0,0.75,1.0,0.6615761763479109,2147
epinions,GINEConv,0.0,0.25,0.0,0.25,0.8463709793898412,30423
epinions,GINEConv,0.0,0.25,0.25,0.5,0.674626832715068,13173
epinions,GINEConv,0.0,0.25,0.5,0.75,0.6105439470708932,5339
epinions,GINEConv,0.0,0.25,0.75,1.0,0.4919171596852209,3558
epinions,GINEConv,0.25,0.5,0.0,0.25,0.9234691590460822,4069
epinions,GINEConv,0.25,0.5,0.25,0.5,0.7941016646638864,2557
epinions,GINEConv,0.25,0.5,0.5,0.75,0.7710933309494011,1079
epinions,GINEConv,0.25,0.5,0.75,1.0,0.7368962307042802,860
epinions,GINEConv,0.5,0.75,0.0,0.25,0.9250848509144726,3816
epinions,GINEConv,0.5,0.75,0.25,0.5,0.7326986314058773,2424
epinions,GINEConv,0.5,0.75,0.5,0.75,0.7141076769690926,1093
epinions,GINEConv,0.5,0.75,0.75,1.0,0.6887922943468492,963
epinions,GINEConv,0.75,1.0,0.0,0.25,0.9379345967259277,6496
epinions,GINEConv,0.75,1.0,0.25,0.5,0.7525913394103021,3968
epinions,GINEConv,0.75,1.0,0.5,0.75,0.7158144689220801,2115
epinions,GINEConv,0.75,1.0,0.75,1.0,0.6843476276295183,2147
wiki-elec,SiGAT,0.0,0.25,0.0,0.25,0.9827462772050402,794
wiki-elec,SiGAT,0.0,0.25,0.25,0.5,0.9209569957601453,267
wiki-elec,SiGAT,0.0,0.25,0.5,0.75,0.8699752628324057,316
wiki-elec,SiGAT,0.0,0.25,0.75,1.0,0.8544264689360745,457
wiki-elec,SiGAT,0.25,0.5,0.0,0.25,0.9664880952380953,860
wiki-elec,SiGAT,0.25,0.5,0.25,0.5,0.7995198079231691,311
