dataset,src_bin_lo,src_bin_hi,tgt_bin_lo,tgt_bin_hi,mean_auc,std_auc,n_splits_valid
bitcoin-alpha,0.0,0.25,0.0,0.25,0.8167551453489201,0.26633425172570413,8
bitcoin-alpha,0.0,0.25,0.25,0.5,0.7066324558825444,0.17183778398699048,10
bitcoin-alpha,0.0,0.25,0.5,0.75,0.7492225935150602,0.25842597498255254,8
bitcoin-alpha,0.0,0.25,0.75,1.0,0.5627180100038686,0.0992188816275512,10
bitcoin-alpha,0.25,0.5,0.0,0.25,0.9063763276147256,0.13096812653008655,10
bitcoin-alpha,0.25,0.5,0.25,0.5,0.7504369688571588,0.11773286541938766,10
bitcoin-alpha,0.25,0.5,0.5,0.75,0.7389846743295019,0.09414544308901351,2
bitcoin-alpha,0.25,0.5,0.75,1.0,0.6114300641754288,0.14544396966894355,3
bitcoin-alpha,0.5,0.75,0.0,0.25,0.7503117129630797,0.1328494516757764,10
bitcoin-alpha,0.5,0.75,0.25,0.5,0.6809063408532363,0.07828696914290731,9
bitcoin-alpha,0.5,0.75,0.5,0.75,nan,nan,0
bitcoin-alpha,0.5,0.75,0.75,1.0,0.49615473869859833,0.13733351983243472,3
bitcoin-alpha,0.75,1.0,0.0,0.25,0.7494697188701032,0.07547005441980993,10
bitcoin-alpha,0.75,1.0,0.25,0.5,0.5469609712638888,0.16008547258077502,9
bitcoin-alpha,0.75,1.0,0.5,0.75,nan,nan,0
bitcoin-alpha,0.75,1.0,0.75,1.0,0.5097097426838806,0.11936005849550833,8
bitcoin-otc,0.0,0.25,0.0,0.25,0.8989282666862387,0.08386659181621195,10
bitcoin-otc,0.0,0.25,0.25,0.5,0.9201720635094695,0.053896315767065654,10
bitcoin-otc,0.0,0.25,0.5,0.75,0.8862847535327708,0.04652941510317271,10
bitcoin-otc,0.0,0.25,0.75,1.0,0.732099155367204,0.06513636531400184,10
bitcoin-otc,0.25,0.5,0.0,0.25,0.8521678890217925,0.10399828100959886,10
bitcoin-otc,0.25,0.5,0.25,0.5,0.7227334338434284,0.12833091440046496,10
bitcoin-otc,0.25,0.5,0.5,0.75,0.6804528480722476,0.08082972084200352,10
bitcoin-otc,0.25,0.5,0.75,1.0,0.6519581465646209,0.05655058228806486,10
bitcoin-otc,0.5,0.75,0.0,0.25,0.7930552811978098,0.09442135868178707,10
bitcoin-otc,0.5,0.75,0.25,0.5,0.6369053296112118,0.15652430607324733,10
bitcoin-otc,0.5,0.75,0.5,0.75,0.7119359475824938,0.06698856630866434,9
bitcoin-otc,0.5,0.75,0.75,1.0,0.47873922735630237,0.08588692094928177,10
bitcoin-otc,0.75,1.0,0.0,0.25,0.8403451510730647,0.0554208981983434,10
bitcoin-otc,0.75,1.0,0.25,0.5,0.5351141164762784,0.0960826644784377,10
bitcoin-otc,0.75,1.0,0.5,0.75,0.5032267626549125,0.0840406091470735,10
bitcoin-otc,0.75,1.0,0.75,1.0,0.4294902223254408,0.06611410925396032,10
epinions,0.0,0.25,0.0,0.25,0.926264773696707,0.025101393457050536,10
epinions,0.0,0.25,0.25,0.5,0.8609462688025937,0.04573756558395102,10
epinions,0.0,0.25,0.5,0.75,0.8460938260232131,0.034455004227372604,10
epinions,0.0,0.25,0.75,1.0,0.7763536522980277,0.04275177761734203,10
epinions,0.25,0.5,0.0,0.25,0.956761634405032,0.005960396002080142,10
epinions,0.25,0.5,0.25,0.5,0.8694259448617077,0.015158499773112856,10
epinions,0.25,0.5,0.5,0.75,0.8787347078632296,0.006833006579024694,10
epinions,0.25,0.5,0.75,1.0,0.8413262724945116,0.01051361238343203,10
epinions,0.5,0.75,0.0,0.25,0.9294152366356452,0.008937855347303122,10
epinions,0.5,0.75,0.25,0.5,0.8063353297311979,0.021507352490593743,10
epinions,0.5,0.75,0.5,0.75,0.8087860179875198,0.015338886764378449,10
epinions,0.5,0.75,0.75,1.0,0.7588381435248748,0.017939883298649758,10
epinions,0.75,1.0,0.0,0.25,0.8967797374537689,0.012509461918159596,10
epinions,0.75,1.0,0.25,0.5,0.7365623299433902,0.01870851837646884,10
epinions,0.75,1.0,0.5,0.75,0.7348589814595643,0.011109061441782265,10
epinions,0.75,1.0,0.75,1.0,0.6603622264830517,0.01983048775526875,10
wiki-elec,0.0,0.25,0.0,0.25,0.9723176714027263,0.024261062899666206,10
wiki-elec,0.0,0.25,0.25,0.5,0.8496776510036603,0.0892475822891549,10
wiki-elec,0.0,0.25,0.5,0.75,0.8507632508994764,0.029502845525175007,10
wiki-elec,0.0,0.25,0.75,1.0,0.7958339921626043,0.04362806285249119,10
wiki-elec,0.25,0.5,0.0,0.25,0.9518382154012872,0.040447765671462105,10
wiki-elec,0.25,0.5,0.25,0.5,0.8497881533002584,0.058218734428140066,10
wiki-elec,0.25,0.5,0.5,0.75,0.8136112227784261,0.040341634407136305,10
