dataset,bucket,mean_auc,std_auc,n_seeds
bitcoin-alpha,in_same,0.963461525365527,0.01535012953280396,10
bitcoin-alpha,in_diff,0.6193025583861415,0.07454877330623927,10
bitcoin-alpha,out_same,0.894285883372411,0.03734278914583201,10
bitcoin-alpha,out_diff,0.7760510456801001,0.0282892359326462,10
bitcoin-otc,in_same,0.9482220692969239,0.014038781751796868,10
bitcoin-otc,in_diff,0.6384198092820856,0.05380378613031789,10
bitcoin-otc,out_same,0.948935981545952,0.006705031276041008,10
bitcoin-otc,out_diff,0.8266312814737742,0.027245367535727316,10
epinions,in_same,0.943965207857824,0.0035257507161252795,10
epinions,in_diff,0.7470134173098552,0.009542069178410533,10
epinions,out_same,0.9918755032680984,0.0011363899235518789,10
epinions,out_diff,0.817143934514396,0.01156520607206889,10
wiki-elec,in_same,0.9105361458829438,0.0050614959426379166,10
wiki-elec,in_diff,0.6555554839071189,0.012029116585087447,10
wiki-elec,out_same,0.9344835879938893,0.004808789798196318,10
wiki-elec,out_diff,0.8802944218124236,0.005212789833036689,10
wiki-rfa,in_same,0.8903914208116059,0.005446323037511633,10
wiki-rfa,in_diff,0.6580028092446103,0.00642467189751701,10
wiki-rfa,out_same,0.9262949383606663,0.0036561978881349743,10
wiki-rfa,out_diff,0.8621431461836974,0.004268831432433898,10
slashdot090221,in_same,0.9208589474596158,0.007906010684369417,10
slashdot090221,in_diff,0.7504124352526671,0.008602382068835934,10
slashdot090221,out_same,0.9521706344057852,0.003351255465884538,10
slashdot090221,out_diff,0.5999055340001357,0.008736357547273955,10
