dataset,term,display_term,mean_beta,std_beta,n_seeds,n_seeds_significant,frac_seeds_significant,robust
bitcoin-alpha,src_out,H_out(-1),-0.9823011529859933,0.08835384560310629,10,10,1.0,True
bitcoin-alpha,src_in,H_in(-1),-0.20320805803790454,0.13241104529026693,10,5,0.5,False
bitcoin-alpha,tgt_out,H_out(1),0.043096130698506964,0.07773874099729011,10,0,0.0,False
bitcoin-alpha,tgt_in,H_in(1),-1.1143740097083448,0.10614853988323986,10,10,1.0,True
bitcoin-otc,src_out,H_out(-1),-0.7335436983703107,0.07526045998143198,10,10,1.0,True
bitcoin-otc,src_in,H_in(-1),-0.45733074267355356,0.06076863620738048,10,10,1.0,True
bitcoin-otc,tgt_out,H_out(1),0.07193488883280545,0.07220121815327958,10,1,0.1,False
bitcoin-otc,tgt_in,H_in(1),-1.185773907630042,0.07289323356351408,10,10,1.0,True
epinions,src_out,H_out(-1),-0.943414773513077,0.034407374891581466,10,10,1.0,True
epinions,src_in,H_in(-1),-0.23550231541177982,0.022004764831057417,10,10,1.0,True
epinions,tgt_out,H_out(1),0.049934137039533685,0.026381588711939463,10,6,0.6,False
epinions,tgt_in,H_in(1),-0.6536401694060148,0.03090561983349503,10,10,1.0,True
slashdot090221,src_out,H_out(-1),-1.0996614045132485,0.03657294161778641,10,10,1.0,True
slashdot090221,src_in,H_in(-1),-0.0959925261634813,0.018965970016666167,10,10,1.0,True
slashdot090221,tgt_out,H_out(1),-0.04215092581897255,0.015156322957067621,10,7,0.7,False
slashdot090221,tgt_in,H_in(1),-0.64043442040547,0.027194824790908585,10,10,1.0,True
wiki-elec,src_out,H_out(-1),-0.6972321586704034,0.05415667414394245,10,10,1.0,True
wiki-elec,src_in,H_in(-1),-0.028511602069054877,0.04477763228691395,10,0,0.0,False
wiki-elec,tgt_out,H_out(1),-0.034888808849317464,0.04699847480128094,10,0,0.0,False
wiki-elec,tgt_in,H_in(1),-1.2309111562666657,0.08144651039667418,10,10,1.0,True
wiki-rfa,src_out,H_out(-1),-0.6856522012158389,0.03733331507973563,10,10,1.0,True
wiki-rfa,src_in,H_in(-1),-0.0018088210490845905,0.03525315381454991,10,0,0.0,False
wiki-rfa,tgt_out,H_out(1),0.006161804467506392,0.024696872231865268,10,0,0.0,False
wiki-rfa,tgt_in,H_in(1),-1.3811873137259252,0.06037907703004214,10,10,1.0,True
