dataset,direction,n_seeds,mean_auc_same,mean_auc_diff,mean_delta,p_value
bitcoin-alpha,in,10,0.963461525365527,0.6193025583861415,0.3441589669793855,0.0009765625
bitcoin-alpha,out,10,0.894285883372411,0.7760510456801001,0.11823483769231084,0.0009765625
bitcoin-otc,in,10,0.9482220692969239,0.6384198092820856,0.3098022600148382,0.0009765625
bitcoin-otc,out,10,0.948935981545952,0.8266312814737742,0.12230470007217815,0.0009765625
epinions,in,10,0.943965207857824,0.7470134173098552,0.19695179054796902,0.0009765625
epinions,out,10,0.9918755032680984,0.817143934514396,0.17473156875370227,0.0009765625
wiki-elec,in,10,0.9105361458829438,0.6555554839071189,0.2549806619758249,0.0009765625
wiki-elec,out,10,0.9344835879938893,0.8802944218124236,0.05418916618146594,0.0009765625
wiki-rfa,in,10,0.8903914208116059,0.6580028092446103,0.2323886115669956,0.0009765625
wiki-rfa,out,10,0.9262949383606663,0.8621431461836974,0.06415179217696901,0.0009765625
slashdot090221,in,10,0.9208589474596158,0.7504124352526671,0.1704465122069486,0.0009765625
slashdot090221,out,10,0.9521706344057852,0.5999055340001357,0.3522651004056495,0.0009765625
