dataset,src_bin_lo,src_bin_hi,tgt_bin_lo,tgt_bin_hi,pewter_mean_auc,sigat_mean_auc,delta,n_splits_valid_pewter,n_splits_valid_sigat
bitcoin-alpha,0.0,0.25,0.0,0.25,0.8391023887229241,0.8167551453489201,0.022347243374003956,8,8
bitcoin-alpha,0.0,0.25,0.25,0.5,0.8619530549180029,0.7066324558825444,0.15532059903545847,10,10
bitcoin-alpha,0.0,0.25,0.5,0.75,0.8992806417438771,0.7492225935150602,0.15005804822881696,8,8
bitcoin-alpha,0.0,0.25,0.75,1.0,0.61924637611694,0.5627180100038686,0.05652836611307144,10,10
bitcoin-alpha,0.25,0.5,0.0,0.25,0.8356233200293449,0.9063763276147256,-0.07075300758538072,10,10
bitcoin-alpha,0.25,0.5,0.25,0.5,0.6891127080801044,0.7504369688571588,-0.06132426077705444,10,10
bitcoin-alpha,0.25,0.5,0.5,0.75,0.7636494252873564,0.7389846743295019,0.024664750957854475,2,2
bitcoin-alpha,0.25,0.5,0.75,1.0,0.5734058267026617,0.6114300641754288,-0.038024237472767064,3,3
bitcoin-alpha,0.5,0.75,0.0,0.25,0.6314488125082216,0.7503117129630797,-0.11886290045485814,10,10
bitcoin-alpha,0.5,0.75,0.25,0.5,0.6392526617608315,0.6809063408532363,-0.041653679092404805,9,9
bitcoin-alpha,0.5,0.75,0.5,0.75,nan,nan,nan,0,0
bitcoin-alpha,0.5,0.75,0.75,1.0,0.4759584145549058,0.49615473869859833,-0.020196324143692546,3,3
bitcoin-alpha,0.75,1.0,0.0,0.25,0.782722715778982,0.7494697188701032,0.03325299690887884,10,10
bitcoin-alpha,0.75,1.0,0.25,0.5,0.5763275138853201,0.5469609712638888,0.029366542621431346,9,9
bitcoin-alpha,0.75,1.0,0.5,0.75,nan,nan,nan,0,0
bitcoin-alpha,0.75,1.0,0.75,1.0,0.5388858218330201,0.5097097426838806,0.029176079149139555,8,8
bitcoin-otc,0.0,0.25,0.0,0.25,0.8943421578756865,0.8989282666862387,-0.004586108810552214,10,10
bitcoin-otc,0.0,0.25,0.25,0.5,0.9658605736563508,0.9201720635094695,0.045688510146881356,10,10
bitcoin-otc,0.0,0.25,0.5,0.75,0.982918058966965,0.8862847535327708,0.09663330543419424,10,10
bitcoin-otc,0.0,0.25,0.75,1.0,0.8491899513731365,0.732099155367204,0.11709079600593242,10,10
bitcoin-otc,0.25,0.5,0.0,0.25,0.8142837881749043,0.8521678890217925,-0.0378841008468882,10,10
bitcoin-otc,0.25,0.5,0.25,0.5,0.6956879896708397,0.7227334338434284,-0.027045444172588695,10,10
bitcoin-otc,0.25,0.5,0.5,0.75,0.6757166689054646,0.6804528480722476,-0.004736179166783039,10,10
bitcoin-otc,0.25,0.5,0.75,1.0,0.5553580847507218,0.6519581465646209,-0.09660006181389913,10,10
bitcoin-otc,0.5,0.75,0.0,0.25,0.7852181837463255,0.7930552811978098,-0.00783709745148431,10,10
bitcoin-otc,0.5,0.75,0.25,0.5,0.6952560238207296,0.6369053296112118,0.05835069420951777,10,10
bitcoin-otc,0.5,0.75,0.5,0.75,0.7334157265786126,0.7119359475824938,0.02147977899611886,9,9
bitcoin-otc,0.5,0.75,0.75,1.0,0.6021061259205214,0.47873922735630237,0.12336689856421901,10,10
bitcoin-otc,0.75,1.0,0.0,0.25,0.8747597509053776,0.8403451510730647,0.034414599832312875,10,10
bitcoin-otc,0.75,1.0,0.25,0.5,0.6142619268066186,0.5351141164762784,0.07914781033034024,10,10
bitcoin-otc,0.75,1.0,0.5,0.75,0.7374845551003057,0.5032267626549125,0.23425779244539324,10,10
bitcoin-otc,0.75,1.0,0.75,1.0,0.6864270666921103,0.4294902223254408,0.25693684436666947,10,10
epinions,0.0,0.25,0.0,0.25,0.9667806112504032,0.926264773696707,0.040515837553696143,10,10
epinions,0.0,0.25,0.25,0.5,0.9177998491319885,0.8609462688025937,0.056853580329394804,10,10
epinions,0.0,0.25,0.5,0.75,0.8850387375261455,0.8460938260232131,0.03894491150293233,10,10
epinions,0.0,0.25,0.75,1.0,0.8240627772300592,0.7763536522980277,0.0477091249320315,10,10
epinions,0.25,0.5,0.0,0.25,0.9772093317243102,0.956761634405032,0.020447697319278202,10,10
epinions,0.25,0.5,0.25,0.5,0.9171974002462655,0.8694259448617077,0.04777145538455785,10,10
epinions,0.25,0.5,0.5,0.75,0.9153616994667203,0.8787347078632296,0.0366269916034907,10,10
epinions,0.25,0.5,0.75,1.0,0.8683348029618868,0.8413262724945116,0.02700853046737517,10,10
epinions,0.5,0.75,0.0,0.25,0.9696339203660456,0.9294152366356452,0.040218683730400384,10,10
epinions,0.5,0.75,0.25,0.5,0.8818184423423358,0.8063353297311979,0.07548311261113783,10,10
epinions,0.5,0.75,0.5,0.75,0.862627100842348,0.8087860179875198,0.05384108285482814,10,10
epinions,0.5,0.75,0.75,1.0,0.8067236581774967,0.7588381435248748,0.04788551465262192,10,10
epinions,0.75,1.0,0.0,0.25,0.9572050853171741,0.8967797374537689,0.06042534786340514,10,10
epinions,0.75,1.0,0.25,0.5,0.8514883679100611,0.7365623299433902,0.11492603796667089,10,10
epinions,0.75,1.0,0.5,0.75,0.8194380685115389,0.7348589814595643,0.08457908705197459,10,10
epinions,0.75,1.0,0.75,1.0,0.7373396412695523,0.6603622264830517,0.07697741478650066,10,10
wiki-elec,0.0,0.25,0.0,0.25,0.9705443751602184,0.9723176714027263,-0.0017732962425078824,10,10
wiki-elec,0.0,0.25,0.25,0.5,0.8892502503247636,0.8496776510036603,0.03957259932110324,10,10
wiki-elec,0.0,0.25,0.5,0.75,0.858026553624762,0.8507632508994764,0.007263302725285636,10,10
wiki-elec,0.0,0.25,0.75,1.0,0.8072911150504488,0.7958339921626043,0.011457122887844506,10,10
wiki-elec,0.25,0.5,0.0,0.25,0.9460421724918762,0.9518382154012872,-0.005796042909411048,10,10
wiki-elec,0.25,0.5,0.25,0.5,0.8551614765965129,0.8497881533002584,0.005373323296254506,10,10
wiki-elec,0.25,0.5,0.5,0.75,0.8116475297360543,0.8136112227784261,-0.0019636930423718724,10,10
wiki-elec,0.25,0.5,0.75,1.0,0.611940761586596,0.5947265006447566,0.01721426094183942,10,10
wiki-elec,0.5,0.75,0.0,0.25,0.9672134485913608,0.9691090066256673,-0.0018955580343065215,10,10
wiki-elec,0.5,0.75,0.25,0.5,0.8823270819655946,0.8777785021246347,0.00454857984095991,10,10
wiki-elec,0.5,0.75,0.5,0.75,0.8051019964598704,0.8039340220724615,0.0011679743874088988,10,10
wiki-elec,0.5,0.75,0.75,1.0,0.636083100843545,0.6392789183113844,-0.003195817467839368,10,10
