dataset,model,src_ent,tgt_ent,auc,n_eff
bitcoin-alpha,Pewter (full attn),0.0,0.0,0.9998397302805133,1151.8395783398134
bitcoin-alpha,Pewter (full attn),0.0,0.041666666666666664,0.9997542600121134,1196.050006609464
bitcoin-alpha,Pewter (full attn),0.0,0.08333333333333333,0.9995675737525329,1244.1076815520214
bitcoin-alpha,Pewter (full attn),0.0,0.125,0.9991698630930704,1280.0568395161242
bitcoin-alpha,Pewter (full attn),0.0,0.16666666666666666,0.9983626668161022,1268.4015848342012
bitcoin-alpha,Pewter (full attn),0.0,0.20833333333333331,0.996826547302905,1166.561368099627
bitcoin-alpha,Pewter (full attn),0.0,0.25,0.9941090065477726,976.7276017507014
bitcoin-alpha,Pewter (full attn),0.0,0.29166666666666663,0.9896530516279103,764.9062747151778
bitcoin-alpha,Pewter (full attn),0.0,0.3333333333333333,0.9828554331611639,591.9199046361139
bitcoin-alpha,Pewter (full attn),0.0,0.375,0.9730981592244489,471.50576010479176
bitcoin-alpha,Pewter (full attn),0.0,0.41666666666666663,0.9597550565432451,391.6948937768826
bitcoin-alpha,Pewter (full attn),0.0,0.4583333333333333,0.9423162623995616,337.9330027405314
bitcoin-alpha,Pewter (full attn),0.0,0.5,0.9206756800822307,299.9863055650365
bitcoin-alpha,Pewter (full attn),0.0,0.5416666666666666,0.8952020084416934,271.07255949007737
bitcoin-alpha,Pewter (full attn),0.0,0.5833333333333333,0.8662440027227409,245.43191730708148
bitcoin-alpha,Pewter (full attn),0.0,0.625,0.8336754530760212,218.14860372729407
bitcoin-alpha,Pewter (full attn),0.0,0.6666666666666666,0.797413082438104,188.82323988311288
bitcoin-alpha,Pewter (full attn),0.0,0.7083333333333333,0.7584849341060775,162.344927775797
bitcoin-alpha,Pewter (full attn),0.0,0.75,0.7191359843506775,142.65435354965575
bitcoin-alpha,Pewter (full attn),0.0,0.7916666666666666,0.6816475810285599,129.23678476619068
bitcoin-alpha,Pewter (full attn),0.0,0.8333333333333333,0.6472567518051597,119.15350109117436
bitcoin-alpha,Pewter (full attn),0.0,0.875,0.6161044734157961,109.67807339736989
bitcoin-alpha,Pewter (full attn),0.0,0.9166666666666666,0.5877840158491967,99.59507274135902
bitcoin-alpha,Pewter (full attn),0.0,0.9583333333333333,0.5618119768204886,89.12765571025207
bitcoin-alpha,Pewter (full attn),0.0,1.0,0.5378185040114158,79.07000213618872
bitcoin-alpha,Pewter (full attn),0.041666666666666664,0.0,0.9996346863575215,1216.964594219799
bitcoin-alpha,Pewter (full attn),0.041666666666666664,0.041666666666666664,0.9994791898572407,1264.1111908896
bitcoin-alpha,Pewter (full attn),0.041666666666666664,0.08333333333333333,0.9991481929426984,1315.531974885487
bitcoin-alpha,Pewter (full attn),0.041666666666666664,0.125,0.9984633292849211,1354.5641043943729
bitcoin-alpha,Pewter (full attn),0.041666666666666664,0.16666666666666666,0.9971210004259047,1343.9603807172753
bitcoin-alpha,Pewter (full attn),0.041666666666666664,0.20833333333333331,0.9946710216695627,1238.552952725573
bitcoin-alpha,Pewter (full attn),0.041666666666666664,0.25,0.9905421726260698,1039.5069265908296
bitcoin-alpha,Pewter (full attn),0.041666666666666664,0.29166666666666663,0.9841332523239708,815.6467019951986
bitcoin-alpha,Pewter (full attn),0.041666666666666664,0.3333333333333333,0.9749304184919306,631.7280791931804
bitcoin-alpha,Pewter (full attn),0.041666666666666664,0.375,0.9625408606728058,503.113541679632
bitcoin-alpha,Pewter (full attn),0.041666666666666664,0.41666666666666663,0.9466189367068376,417.5663323357521
bitcoin-alpha,Pewter (full attn),0.041666666666666664,0.4583333333333333,0.9268729734577272,359.8136348039173
bitcoin-alpha,Pewter (full attn),0.041666666666666664,0.5,0.9033131530079744,319.05691158523007
bitcoin-alpha,Pewter (full attn),0.041666666666666664,0.5416666666666666,0.8764832502786408,288.1350521887402
bitcoin-alpha,Pewter (full attn),0.041666666666666664,0.5833333333333333,0.847205324582108,260.9769793178261
bitcoin-alpha,Pewter (full attn),0.041666666666666664,0.625,0.8161037545627653,232.34520170302616
bitcoin-alpha,Pewter (full attn),0.041666666666666664,0.6666666666666666,0.7837975910641511,201.58588493293564
bitcoin-alpha,Pewter (full attn),0.041666666666666664,0.7083333333333333,0.7515477190691969,173.60500082535847
bitcoin-alpha,Pewter (full attn),0.041666666666666664,0.75,0.7210800372520909,152.55568704557012
bitcoin-alpha,Pewter (full attn),0.041666666666666664,0.7916666666666666,0.6935450184446221,138.02855621856816
bitcoin-alpha,Pewter (full attn),0.041666666666666664,0.8333333333333333,0.6689452712869633,127.03397744242248
bitcoin-alpha,Pewter (full attn),0.041666666666666664,0.875,0.6465340420474377,116.76123066274546
bitcoin-alpha,Pewter (full attn),0.041666666666666664,0.9166666666666666,0.6254997401236556,105.94995715677167
bitcoin-alpha,Pewter (full attn),0.041666666666666664,0.9583333333333333,0.605334807613623,94.8158664558013
bitcoin-alpha,Pewter (full attn),0.041666666666666664,1.0,0.5858543114410738,84.15921701212183
bitcoin-alpha,Pewter (full attn),0.08333333333333333,0.0,0.9991420471372023,1285.4302133369501
bitcoin-alpha,Pewter (full attn),0.08333333333333333,0.041666666666666664,0.9988548746074734,1335.6374396014103
bitcoin-alpha,Pewter (full attn),0.08333333333333333,0.08333333333333333,0.9982618890538124,1390.4136564113994
bitcoin-alpha,Pewter (full attn),0.08333333333333333,0.125,0.9970792886818617,1432.2641441661144
bitcoin-alpha,Pewter (full attn),0.08333333333333333,0.16666666666666666,0.9948621834640234,1422.1711173561703
bitcoin-alpha,Pewter (full attn),0.08333333333333333,0.20833333333333331,0.9910185202981278,1312.6863166034682
bitcoin-alpha,Pewter (full attn),0.08333333333333333,0.25,0.9848975781062113,1104.2769300223022
bitcoin-alpha,Pewter (full attn),0.08333333333333333,0.29166666666666663,0.975953117003099,868.3346472481669
bitcoin-alpha,Pewter (full attn),0.08333333333333333,0.3333333333333333,0.963899829884806,673.2015040232142
bitcoin-alpha,Pewter (full attn),0.08333333333333333,0.375,0.948700537685875,535.8860457030554
bitcoin-alpha,Pewter (full attn),0.08333333333333333,0.41666666666666663,0.9303673832879418,444.0347420684652
bitcoin-alpha,Pewter (full attn),0.08333333333333333,0.4583333333333333,0.9088448322784023,381.7625917283118
bitcoin-alpha,Pewter (full attn),0.08333333333333333,0.5,0.8842316310249089,337.7622797754234
