dataset,src_ent,tgt_ent,y,p
bitcoin-alpha,0.9182958340544896,0.0,1,0.36732451284251827
bitcoin-alpha,0.0,0.0,1,0.994405323073625
bitcoin-alpha,0.7153220528038851,0.0,1,0.7753692510720326
bitcoin-alpha,0.0,0.0,1,0.9950929139370424
bitcoin-alpha,0.0,0.0,1,0.9947509963696953
bitcoin-alpha,0.0,0.0,1,0.9967032259475319
bitcoin-alpha,0.0,0.0,1,0.9975757535312354
bitcoin-alpha,0.0,0.0,1,0.9968791639155155
bitcoin-alpha,0.0,0.0,1,0.9968656258008372
bitcoin-alpha,0.0,0.0,1,0.9978184611675228
bitcoin-alpha,0.0,0.0,1,0.9962685058146127
bitcoin-alpha,0.3712323266408755,0.0,1,0.930239498056311
bitcoin-alpha,0.0,0.0,1,0.9954344152136865
bitcoin-alpha,0.0,0.0,1,0.9980078903827726
bitcoin-alpha,0.0,0.0,1,0.9971244128644823
bitcoin-alpha,0.0,0.0,1,0.9967748384617775
bitcoin-alpha,0.0,0.0,1,0.9968915060561359
bitcoin-alpha,0.0,0.0,1,0.9970888180210736
bitcoin-alpha,0.0,0.0,1,0.9947406529579073
bitcoin-alpha,0.0,0.0,1,0.993425365871578
bitcoin-alpha,0.0,0.0,1,0.9970726966695421
bitcoin-alpha,0.0,0.0,1,0.9953825714446748
bitcoin-alpha,0.0,0.0,1,0.9917331826304031
bitcoin-alpha,0.5665095065529052,0.0,1,0.7718791863591843
bitcoin-alpha,0.3372900666170139,0.0,1,0.948872747906702
bitcoin-alpha,0.0,0.0,1,0.9887020637528925
bitcoin-alpha,0.0,0.0,1,0.9978023315573656
bitcoin-alpha,0.0,0.0,1,0.9947931454659895
bitcoin-alpha,0.6840384356390417,0.0,1,0.8558623152365898
bitcoin-alpha,0.0,0.0,1,0.9960118317295987
bitcoin-alpha,0.0,0.0,1,0.9972303232568015
bitcoin-alpha,0.0,0.0,1,0.997599312414942
bitcoin-alpha,0.0,0.0,1,0.9900729219780031
bitcoin-alpha,0.0,0.0,1,0.9966475563838757
bitcoin-alpha,0.7219280948873623,0.0,1,0.8551330304143022
bitcoin-alpha,0.0,0.0,1,0.9967321086479458
bitcoin-alpha,0.0,0.0,1,0.9973337022772607
bitcoin-alpha,0.2863969571159563,0.0,1,0.9328880703526631
bitcoin-alpha,0.0,0.0,1,0.9977829234466591
bitcoin-alpha,0.0,0.0,1,0.9848099093961887
bitcoin-alpha,0.0,0.0,1,0.9971644038181853
bitcoin-alpha,0.0,0.0,1,0.9978245425303305
bitcoin-alpha,0.0,0.0,1,0.9659209495816656
bitcoin-alpha,0.4394969869215134,0.0,1,0.9248335590790108
bitcoin-alpha,0.06835451705887757,0.0,1,0.9954480178535038
bitcoin-alpha,0.06835451705887757,0.0,1,0.9969959780723827
bitcoin-alpha,0.06835451705887757,0.0,1,0.9950288061663025
bitcoin-alpha,0.06835451705887757,0.0,1,0.9951354488363521
bitcoin-alpha,0.06835451705887757,0.0,1,0.9874212610885015
bitcoin-alpha,0.06835451705887757,0.34781691357106315,1,0.989163468104394
bitcoin-alpha,0.06835451705887757,0.0,1,0.9828226109431313
bitcoin-alpha,0.06835451705887757,0.0,1,0.9958252065414378
bitcoin-alpha,0.06835451705887757,0.0,1,0.9960037824756776
bitcoin-alpha,0.06835451705887757,0.0,1,0.9970019662107615
bitcoin-alpha,0.06835451705887757,0.0,1,0.9938272790201436
bitcoin-alpha,0.06835451705887757,0.4689955935892811,1,0.9380670343797461
bitcoin-alpha,0.06835451705887757,0.0,1,0.9322771339958279
bitcoin-alpha,0.06835451705887757,0.0,1,0.9897677173842206
bitcoin-alpha,0.06835451705887757,0.0,1,0.9966504517656343
bitcoin-alpha,0.06835451705887757,0.0,1,0.9966106098305683
bitcoin-alpha,0.06835451705887757,0.0,1,0.9971207241835942
bitcoin-alpha,0.06835451705887757,0.0,1,0.9918267907597734
bitcoin-alpha,0.06835451705887757,0.0,1,0.9959748944920988
bitcoin-alpha,0.06835451705887757,0.0,1,0.9955499760527033
bitcoin-alpha,0.06835451705887757,0.0,1,0.9940142386271102
bitcoin-alpha,0.06835451705887757,0.0,1,0.9965090556676828
bitcoin-alpha,0.06835451705887757,0.7219280948873623,1,0.8091552048160454
bitcoin-alpha,0.06835451705887757,0.0,1,0.9961302183859043
bitcoin-alpha,0.06835451705887757,0.9182958340544896,1,0.8020819689745757
bitcoin-alpha,0.06835451705887757,0.0,1,0.9879778223452537
bitcoin-alpha,0.06835451705887757,0.0,1,0.9965392341405365
bitcoin-alpha,0.06835451705887757,0.0,1,0.9925193444151046
bitcoin-alpha,0.06835451705887757,0.0,1,0.9971687566102517
bitcoin-alpha,0.06835451705887757,0.0,1,0.9906275593601633
bitcoin-alpha,0.06835451705887757,0.0,1,0.9954353457446273
bitcoin-alpha,0.06835451705887757,0.0,1,0.9969283775553145
bitcoin-alpha,0.06835451705887757,0.0,1,0.9907747950299831
bitcoin-alpha,0.06835451705887757,0.0,1,0.996165027736913
bitcoin-alpha,0.06835451705887757,0.0,1,0.9943091133802621
bitcoin-alpha,0.06835451705887757,0.0,1,0.9968671158552673
bitcoin-alpha,0.06835451705887757,0.0,1,0.996542356659177
bitcoin-alpha,0.06835451705887757,0.0,1,0.9931375048277866
bitcoin-alpha,0.06835451705887757,0.0,1,0.9957170609747868
bitcoin-alpha,0.06835451705887757,0.0,1,0.9933369443864338
bitcoin-alpha,0.06835451705887757,0.0,1,0.9971794807988541
bitcoin-alpha,0.06835451705887757,0.0,1,0.9965107340944327
bitcoin-alpha,0.06835451705887757,0.0,1,0.9967749755409234
bitcoin-alpha,0.06835451705887757,0.0,1,0.9934141175860508
bitcoin-alpha,0.06835451705887757,0.0,1,0.9967233142030756
bitcoin-alpha,0.06835451705887757,0.0,1,0.9961997539552094
bitcoin-alpha,0.06835451705887757,0.0,1,0.9949868589328884
bitcoin-alpha,0.06835451705887757,0.0,1,0.9940281150368621
bitcoin-alpha,0.06835451705887757,0.0,1,0.9957852845497172
bitcoin-alpha,0.06835451705887757,0.0,1,0.9925002509578957
bitcoin-alpha,0.06835451705887757,0.0,1,0.997420997076982
bitcoin-alpha,0.06835451705887757,0.0,1,0.9962738960586746
bitcoin-alpha,0.06835451705887757,0.0,1,0.9899244585898147
bitcoin-alpha,0.06835451705887757,0.0,0,0.020948377278442742
bitcoin-alpha,0.2974722489192898,0.0,1,0.9467089928748543
bitcoin-alpha,0.0,0.0,1,0.9951676716545468
bitcoin-alpha,0.0,0.0,1,0.9962463513695563
bitcoin-alpha,0.6631968402398287,0.0,1,0.8948653154722965
bitcoin-alpha,0.0,0.0,1,0.9970334944298613
bitcoin-alpha,0.0,0.0,1,0.995517368061905
bitcoin-alpha,0.3013786435930859,0.0,1,0.9657777018636525
bitcoin-alpha,0.4394969869215134,0.0,1,0.9737284466466445
bitcoin-alpha,0.0,0.0,1,0.9376181011914415
bitcoin-alpha,0.0,0.0,1,0.9970832490765009
bitcoin-alpha,0.3372900666170139,0.0,1,0.9444586792882825
bitcoin-alpha,0.0,0.0,1,0.9959008479824161
bitcoin-alpha,0.0,0.0,1,0.9969588463855318
