dataset,model,seed,val_auc,tst_auc,tst_macro_f1
bitcoin-alpha,CSG,42,0.7814,0.8069,0.91
bitcoin-otc,CSG,42,0.8318,0.8143,0.9147
epinions,CSG,42,0.7501,0.7481,0.8831
slashdot090221,CSG,42,0.6784,0.681,0.8347
wiki-elec,CSG,42,0.7233,0.7131,0.851
wiki-rfa,CSG,42,0.6854,0.6773,0.8367
bitcoin-alpha,CSG-GSGNN,42,0.8704,0.871,0.7504
bitcoin-otc,CSG-GSGNN,42,0.9028,0.8758,0.8124
epinions,CSG-GSGNN,42,0.9125,0.9113,0.8164
slashdot090221,CSG-GSGNN,42,0.8802,0.8799,0.7821
wiki-elec,CSG-GSGNN,42,0.8885,0.884,0.7643
wiki-rfa,CSG-GSGNN,42,0.8728,0.8673,0.7495
bitcoin-alpha,CopulaLSP,42,0.8677,0.8666,0.7103
bitcoin-otc,CopulaLSP,42,0.8866,0.8847,0.7728
epinions,CopulaLSP,42,0.8937,0.8898,0.8054
slashdot090221,CopulaLSP,42,0.8835,0.883,0.7718
wiki-elec,CopulaLSP,42,0.8767,0.8705,0.762
wiki-rfa,CopulaLSP,42,0.8666,0.861,0.7496
bitcoin-alpha,GINEConv,42,0.8693,0.8659,0.7278
bitcoin-otc,GINEConv,42,0.8976,0.9013,0.8154
epinions,GINEConv,42,0.8808,0.8779,0.7899
slashdot090221,GINEConv,42,0.8726,0.8736,0.7797
wiki-elec,GINEConv,42,0.8723,0.8672,0.7583
wiki-rfa,GINEConv,42,0.8537,0.8499,0.7457
bitcoin-alpha,GSGNN+SGA,42,,0.8804,0.7297
bitcoin-otc,GSGNN+SGA,42,,0.9086,0.8032
epinions,GSGNN+SGA,42,,0.8665,0.5619
slashdot090221,GSGNN+SGA,42,,0.7262,0.5008
wiki-elec,GSGNN+SGA,42,,0.8366,0.7275
bitcoin-alpha,SE-SGformer,42,,0.6072,0.6188
bitcoin-otc,SE-SGformer,42,,0.7202,0.7032
wiki-elec,SE-SGformer,42,,0.5731,0.5765
wiki-rfa,SE-SGformer,42,,0.5481,0.5497
bitcoin-alpha,SNEA,42,0.8537,0.8718,0.6229
bitcoin-otc,SNEA,42,0.8872,0.8857,0.7502
epinions,SNEA,42,0.8964,0.8925,0.8081
slashdot090221,SNEA,42,0.884,0.8845,0.7701
wiki-elec,SNEA,42,0.8709,0.8652,0.7496
wiki-rfa,SNEA,42,0.8619,0.8568,0.7322
bitcoin-alpha,SiGAT+SGA,42,,0.8483,0.6387
bitcoin-otc,SiGAT+SGA,42,,0.8899,0.7546
epinions,SiGAT+SGA,42,,0.9081,0.7985
slashdot090221,SiGAT+SGA,42,,0.8003,0.7065
wiki-elec,SiGAT+SGA,42,,0.8463,0.7326
wiki-rfa,SiGAT+SGA,42,,0.8676,0.7562
