model_type,coefficient,model,dataset,beta,ci_low,ci_high,p_fdr,sig,odds_ratio,baseline_accuracy,n
atomic,src_out,walk_full,,-1.002,-1.034,-0.97,0.0e+00,yes,0.367,,125212
atomic,src_in,walk_full,,0.002,-0.031,0.035,9.1e-01,no,1.002,,125212
atomic,tgt_out,walk_full,,-0.043,-0.07,-0.015,3.0e-03,yes,0.958,,125212
atomic,tgt_in,walk_full,,-0.629,-0.662,-0.596,0.0e+00,yes,0.533,,125212
atomic,twohop_in,walk_full,,-0.108,-0.15,-0.066,9.7e-07,yes,0.898,,125212
atomic,twohop_out,walk_full,,-0.037,-0.068,-0.006,2.4e-02,yes,0.964,,125212
atomic,src_out,walk_localattn4,,-1.015,-1.047,-0.983,0.0e+00,yes,0.363,,125212
atomic,src_in,walk_localattn4,,-0.003,-0.035,0.029,9.0e-01,no,0.997,,125212
atomic,tgt_out,walk_localattn4,,-0.047,-0.075,-0.019,1.5e-03,yes,0.954,,125212
atomic,tgt_in,walk_localattn4,,-0.638,-0.672,-0.605,0.0e+00,yes,0.528,,125212
atomic,twohop_in,walk_localattn4,,-0.123,-0.166,-0.08,4.6e-08,yes,0.884,,125212
atomic,twohop_out,walk_localattn4,,-0.045,-0.076,-0.013,6.6e-03,yes,0.956,,125212
atomic,src_out,GINEConv,,-0.499,-0.54,-0.457,0.0e+00,yes,0.607,,125212
atomic,src_in,GINEConv,,-0.22,-0.262,-0.177,0.0e+00,yes,0.803,,125212
atomic,tgt_out,GINEConv,,0.012,-0.014,0.038,4.1e-01,no,1.012,,125212
atomic,tgt_in,GINEConv,,-1.148,-1.194,-1.103,0.0e+00,yes,0.317,,125212
atomic,twohop_in,GINEConv,,-0.2,-0.251,-0.15,2.0e-14,yes,0.819,,125212
atomic,twohop_out,GINEConv,,0.054,0.022,0.086,1.5e-03,yes,1.055,,125212
atomic,src_out,SiGAT,,-1.013,-1.047,-0.978,0.0e+00,yes,0.363,,125212
atomic,src_in,SiGAT,,-0.094,-0.129,-0.059,3.4e-07,yes,0.91,,125212
atomic,tgt_out,SiGAT,,-0.007,-0.034,0.02,6.7e-01,no,0.993,,125212
atomic,tgt_in,SiGAT,,-0.826,-0.861,-0.79,0.0e+00,yes,0.438,,125212
atomic,twohop_in,SiGAT,,-0.096,-0.143,-0.049,9.7e-05,yes,0.908,,125212
atomic,twohop_out,SiGAT,,0.026,-0.007,0.06,1.5e-01,no,1.027,,125212
atomic,intercept,walk_full,bitcoin-alpha,2.544,2.296,2.792,,,12.73,0.893,125212
atomic,intercept,walk_full,bitcoin-otc,2.81,2.611,3.009,,,16.611,0.893,125212
atomic,intercept,walk_full,epinions,3.109,3.055,3.162,,,22.398,0.893,125212
atomic,intercept,walk_full,wiki-elec,2.998,2.892,3.105,,,20.051,0.893,125212
atomic,intercept,walk_full,wiki-rfa,2.829,2.744,2.915,,,16.934,0.893,125212
atomic,intercept,walk_full,slashdot090221,2.549,2.496,2.602,,,12.797,0.893,125212
atomic,intercept,walk_localattn4,bitcoin-alpha,2.581,2.37,2.791,,,13.206,0.894,125212
atomic,intercept,walk_localattn4,bitcoin-otc,2.801,2.609,2.993,,,16.464,0.894,125212
atomic,intercept,walk_localattn4,epinions,3.106,3.051,3.161,,,22.326,0.894,125212
atomic,intercept,walk_localattn4,wiki-elec,3.036,2.919,3.153,,,20.818,0.894,125212
atomic,intercept,walk_localattn4,wiki-rfa,2.989,2.906,3.072,,,19.866,0.894,125212
atomic,intercept,walk_localattn4,slashdot090221,2.6,2.546,2.653,,,13.459,0.894,125212
atomic,intercept,GINEConv,bitcoin-alpha,2.549,2.292,2.805,,,12.79,0.879,125212
atomic,intercept,GINEConv,bitcoin-otc,2.691,2.501,2.881,,,14.746,0.879,125212
atomic,intercept,GINEConv,epinions,2.69,2.611,2.768,,,14.725,0.879,125212
atomic,intercept,GINEConv,wiki-elec,2.957,2.825,3.089,,,19.242,0.879,125212
atomic,intercept,GINEConv,wiki-rfa,3.248,3.146,3.35,,,25.746,0.879,125212
atomic,intercept,GINEConv,slashdot090221,2.792,2.726,2.858,,,16.32,0.879,125212
atomic,intercept,SiGAT,bitcoin-alpha,2.558,2.363,2.753,,,12.912,0.899,125212
atomic,intercept,SiGAT,bitcoin-otc,2.406,2.225,2.587,,,11.089,0.899,125212
atomic,intercept,SiGAT,epinions,3.044,2.984,3.105,,,20.99,0.899,125212
atomic,intercept,SiGAT,wiki-elec,3.271,3.15,3.392,,,26.326,0.899,125212
atomic,intercept,SiGAT,wiki-rfa,3.322,3.235,3.409,,,27.717,0.899,125212
atomic,intercept,SiGAT,slashdot090221,3.006,2.942,3.07,,,20.202,0.899,125212
composite,node_entropy,walk_full,,-1.034,-1.062,-1.007,0.0e+00,yes,0.356,,167917
composite,path_entropy,walk_full,,0.055,0.028,0.081,5.9e-05,yes,1.056,,167917
composite,node_entropy,walk_localattn4,,-1.035,-1.063,-1.007,0.0e+00,yes,0.355,,167917
composite,path_entropy,walk_localattn4,,0.05,0.023,0.077,2.5e-04,yes,1.051,,167917
composite,node_entropy,GINEConv,,-1.284,-1.328,-1.24,0.0e+00,yes,0.277,,167917
composite,path_entropy,GINEConv,,0.065,0.033,0.096,5.9e-05,yes,1.067,,167917
composite,node_entropy,SiGAT,,-1.382,-1.415,-1.349,0.0e+00,yes,0.251,,167917
composite,path_entropy,SiGAT,,0.181,0.153,0.209,0.0e+00,yes,1.198,,167917
composite,intercept,walk_full,bitcoin-alpha,2.484,2.235,2.733,,,11.99,0.875,167917
composite,intercept,walk_full,bitcoin-otc,2.609,2.408,2.811,,,13.588,0.875,167917
composite,intercept,walk_full,epinions,2.739,2.691,2.788,,,15.475,0.875,167917
composite,intercept,walk_full,wiki-elec,2.31,2.225,2.394,,,10.071,0.875,167917
composite,intercept,walk_full,wiki-rfa,2.091,2.023,2.158,,,8.09,0.875,167917
composite,intercept,walk_full,slashdot090221,1.989,1.952,2.027,,,7.312,0.875,167917
composite,intercept,walk_localattn4,bitcoin-alpha,2.542,2.322,2.761,,,12.701,0.877,167917
composite,intercept,walk_localattn4,bitcoin-otc,2.622,2.415,2.829,,,13.765,0.877,167917
composite,intercept,walk_localattn4,epinions,2.724,2.674,2.773,,,15.234,0.877,167917
composite,intercept,walk_localattn4,wiki-elec,2.272,2.186,2.358,,,9.697,0.877,167917
composite,intercept,walk_localattn4,wiki-rfa,2.17,2.106,2.234,,,8.757,0.877,167917
composite,intercept,walk_localattn4,slashdot090221,2.017,1.98,2.054,,,7.517,0.877,167917
composite,intercept,GINEConv,bitcoin-alpha,2.479,2.239,2.72,,,11.934,0.866,167917
composite,intercept,GINEConv,bitcoin-otc,2.62,2.422,2.817,,,13.732,0.866,167917
composite,intercept,GINEConv,epinions,2.689,2.618,2.761,,,14.723,0.866,167917
composite,intercept,GINEConv,wiki-elec,2.493,2.395,2.591,,,12.097,0.866,167917
composite,intercept,GINEConv,wiki-rfa,2.543,2.472,2.615,,,12.72,0.866,167917
composite,intercept,GINEConv,slashdot090221,2.053,2.002,2.103,,,7.787,0.866,167917
composite,intercept,SiGAT,bitcoin-alpha,2.53,2.326,2.733,,,12.55,0.884,167917
composite,intercept,SiGAT,bitcoin-otc,2.411,2.224,2.598,,,11.148,0.884,167917
composite,intercept,SiGAT,epinions,2.862,2.811,2.913,,,17.496,0.884,167917
composite,intercept,SiGAT,wiki-elec,2.669,2.584,2.753,,,14.422,0.884,167917
composite,intercept,SiGAT,wiki-rfa,2.597,2.533,2.661,,,13.427,0.884,167917
composite,intercept,SiGAT,slashdot090221,2.433,2.391,2.476,,,11.398,0.884,167917
atomic_degree,src_out,walk_full,,-1.063,-1.094,-1.032,0.0e+00,yes,0.345,,125212
atomic_degree,src_in,walk_full,,-0.033,-0.065,-0.002,4.2e-02,yes,0.967,,125212
atomic_degree,tgt_out,walk_full,,-0.059,-0.086,-0.031,4.3e-05,yes,0.943,,125212
atomic_degree,tgt_in,walk_full,,-0.633,-0.666,-0.601,0.0e+00,yes,0.531,,125212
atomic_degree,twohop_in,walk_full,,-0.114,-0.154,-0.075,1.8e-08,yes,0.892,,125212
atomic_degree,twohop_out,walk_full,,-0.064,-0.095,-0.032,9.5e-05,yes,0.938,,125212
atomic_degree,log_outdeg_u,walk_full,,0.383,0.347,0.418,0.0e+00,yes,1.466,,125212
atomic_degree,log_indeg_v,walk_full,,0.144,0.11,0.178,0.0e+00,yes,1.155,,125212
atomic_degree,src_out,walk_localattn4,,-1.072,-1.103,-1.041,0.0e+00,yes,0.342,,125212
atomic_degree,src_in,walk_localattn4,,-0.039,-0.069,-0.008,1.6e-02,yes,0.962,,125212
atomic_degree,tgt_out,walk_localattn4,,-0.059,-0.088,-0.031,6.9e-05,yes,0.942,,125212
atomic_degree,tgt_in,walk_localattn4,,-0.642,-0.675,-0.61,0.0e+00,yes,0.526,,125212
