  k     s1   mean_AUC  concat_AUC      gap
  1   0.00     0.8377      0.9144   0.0767
  1   1.00     0.7885      0.9144   0.1258
  1   2.00     0.7115      0.9143   0.2028
  1   4.00     0.6724      0.9143   0.2419
  1   8.00     0.6720      0.9143   0.2423
  1  16.00     0.6720      0.9144   0.2424
  2   0.00     0.7843      0.9153   0.1310
  2   1.00     0.7303      0.9154   0.1851
  2   2.00     0.6594      0.9154   0.2560
  2   4.00     0.6105      0.9155   0.3049
  2   8.00     0.6086      0.9154   0.3069
  2  16.00     0.6086      0.9155   0.3069
  4   0.00     0.7395      0.9266   0.1871
  4   1.00     0.6756      0.9266   0.2510
  4   2.00     0.6092      0.9266   0.3174
  4   4.00     0.5578      0.9265   0.3687
  4   8.00     0.5515      0.9265   0.3750
  4  16.00     0.5190      0.9265   0.4075
  8   0.00     0.6947      0.9235   0.2288
  8   1.00     0.6456      0.9227   0.2772
  8   2.00     0.5953      0.9224   0.3271
  8   4.00     0.5524      0.9223   0.3699
  8   8.00     0.5385      0.9223   0.3838
  8  16.00     0.5384      0.9224   0.3840
 16   0.00     0.6410      0.9239   0.2829
 16   1.00     0.5968      0.9238   0.3270
 16   2.00     0.5577      0.9237   0.3660
 16   4.00     0.5276      0.9236   0.3960
 16   8.00     0.4852      0.9235   0.4383
 16  16.00     0.4847      0.9235   0.4388

Sanity: s2=0,k=4,s1=4 -> mean_AUC=0.5125, concat_AUC=0.5189 (expect ~0.5 both)
Sanity: s1=0,k=0 -> mean_AUC=0.9233, concat_AUC=0.9233 (expect identical)
Sanity: s1=0,k=4 -> mean_AUC=0.7395, concat_AUC=0.9266 (expect mean < concat from dilution-by-count alone, distinct from swamping)
