LEAD 4: NODE SIGN-ENTROPY HETEROGENEITY vs. AUC -- raw per-cell data (canonical, shared edges)
Same numbers as the PNGs / report.md tables, in plain text.

=== bitcoin-alpha | variant=out_out | binning=fixed | n_buckets=2 | model=walk_full ===
src_entropy_range	tgt_entropy_range	auc	n	note
0.0000-0.5000	0.0000-0.5000	0.9169	1616	
0.5000-1.0000	0.0000-0.5000	0.8001	320	
0.0000-0.5000	0.5000-1.0000	0.9388	298	
0.5000-1.0000	0.5000-1.0000	0.8813	109	

=== bitcoin-alpha | variant=out_out | binning=fixed | n_buckets=2 | model=walk_localattn4 ===
src_entropy_range	tgt_entropy_range	auc	n	note
0.0000-0.5000	0.0000-0.5000	0.9278	1616	
0.5000-1.0000	0.0000-0.5000	0.8043	320	
0.0000-0.5000	0.5000-1.0000	0.9744	298	
0.5000-1.0000	0.5000-1.0000	0.8868	109	

=== bitcoin-alpha | variant=out_out | binning=fixed | n_buckets=2 | model=GINEConv ===
src_entropy_range	tgt_entropy_range	auc	n	note
0.0000-0.5000	0.0000-0.5000	0.8725	1616	
0.5000-1.0000	0.0000-0.5000	0.7746	320	
0.0000-0.5000	0.5000-1.0000	0.9397	298	
0.5000-1.0000	0.5000-1.0000	0.8037	109	

=== bitcoin-alpha | variant=out_out | binning=fixed | n_buckets=2 | model=SiGAT ===
src_entropy_range	tgt_entropy_range	auc	n	note
0.0000-0.5000	0.0000-0.5000	0.9232	1616	
0.5000-1.0000	0.0000-0.5000	0.7380	320	
0.0000-0.5000	0.5000-1.0000	0.8817	298	
0.5000-1.0000	0.5000-1.0000	0.7370	109	

=== bitcoin-alpha | variant=out_out | binning=fixed | n_buckets=4 | model=walk_full ===
src_entropy_range	tgt_entropy_range	auc	n	note
0.0000-0.2500	0.0000-0.2500	0.9873	1041	
0.2500-0.5000	0.0000-0.2500	0.8557	268	
0.5000-0.7500	0.0000-0.2500	0.9032	138	
0.7500-1.0000	0.0000-0.2500	0.7746	91	
0.0000-0.2500	0.2500-0.5000	0.9286	226	
0.2500-0.5000	0.2500-0.5000	0.8734	81	
0.5000-0.7500	0.2500-0.5000	0.4491	58	
0.7500-1.0000	0.2500-0.5000	0.7659	33	
0.0000-0.2500	0.5000-0.7500	1.0000	147	
0.2500-0.5000	0.5000-0.7500	0.8468	40	
0.5000-0.7500	0.5000-0.7500	0.8819	30	
0.7500-1.0000	0.5000-0.7500	0.6264	20	
0.0000-0.2500	0.7500-1.0000	0.9017	81	
0.2500-0.5000	0.7500-1.0000	0.9440	30	
0.5000-0.7500	0.7500-1.0000	0.9280	35	
0.7500-1.0000	0.7500-1.0000	0.9407	24	

=== bitcoin-alpha | variant=out_out | binning=fixed | n_buckets=4 | model=walk_localattn4 ===
src_entropy_range	tgt_entropy_range	auc	n	note
0.0000-0.2500	0.0000-0.2500	0.9946	1041	
0.2500-0.5000	0.0000-0.2500	0.8681	268	
0.5000-0.7500	0.0000-0.2500	0.8162	138	
0.7500-1.0000	0.0000-0.2500	0.8237	91	
0.0000-0.2500	0.2500-0.5000	0.9643	226	
0.2500-0.5000	0.2500-0.5000	0.8797	81	
0.5000-0.7500	0.2500-0.5000	0.4676	58	
0.7500-1.0000	0.2500-0.5000	0.7897	33	
0.0000-0.2500	0.5000-0.7500	1.0000	147	
0.2500-0.5000	0.5000-0.7500	0.8468	40	
0.5000-0.7500	0.5000-0.7500	0.8681	30	
0.7500-1.0000	0.5000-0.7500	0.5824	20	
0.0000-0.2500	0.7500-1.0000	0.9915	81	
0.2500-0.5000	0.7500-1.0000	0.9200	30	
0.5000-0.7500	0.7500-1.0000	0.9659	35	
0.7500-1.0000	0.7500-1.0000	0.9333	24	

=== bitcoin-alpha | variant=out_out | binning=fixed | n_buckets=4 | model=GINEConv ===
src_entropy_range	tgt_entropy_range	auc	n	note
0.0000-0.2500	0.0000-0.2500	0.9654	1041	
0.2500-0.5000	0.0000-0.2500	0.8737	268	
0.5000-0.7500	0.0000-0.2500	0.8646	138	
0.7500-1.0000	0.0000-0.2500	0.7568	91	
0.0000-0.2500	0.2500-0.5000	0.8951	226	
0.2500-0.5000	0.2500-0.5000	0.4715	81	
0.5000-0.7500	0.2500-0.5000	0.6713	58	
0.7500-1.0000	0.2500-0.5000	0.6667	33	
0.0000-0.2500	0.5000-0.7500	0.9247	147	
0.2500-0.5000	0.5000-0.7500	0.8198	40	
0.5000-0.7500	0.5000-0.7500	0.6250	30	
0.7500-1.0000	0.5000-0.7500	0.7473	20	
0.0000-0.2500	0.7500-1.0000	1.0000	81	
0.2500-0.5000	0.7500-1.0000	0.9200	30	
0.5000-0.7500	0.7500-1.0000	0.9280	35	
0.7500-1.0000	0.7500-1.0000	0.7852	24	

