node_variant,model,beta,ci95,p_fdr,sig,pseudo_r2,odds_ratio,n
in_in,GINEConv,-3.078155071144689,"[-3.183, -2.974]",0.0,***,0.19711162374611013,0.046044126473125314,151427
in_in,SiGAT,-2.248090767707647,"[-2.331, -2.165]",0.0,***,0.12258550498602039,0.10560064838623646,151427
in_in,walk_full,-1.9389297309833216,"[-2.018, -1.860]",0.0,***,0.12438537168215147,0.143857833996791,151427
in_in,walk_localattn4,-1.971595762903692,"[-2.050, -1.893]",0.0,***,0.1228843698776445,0.1392344936034273,151427
inout_inout,GINEConv,-2.3913798006669604,"[-2.493, -2.290]",0.0,***,0.18653359180857576,0.09150334036305498,167917
inout_inout,SiGAT,-1.9075933265799088,"[-1.989, -1.826]",0.0,***,0.18908896658020913,0.14843719691665389,167917
inout_inout,walk_full,-1.6212529975301115,"[-1.698, -1.544]",0.0,***,0.15721885898130772,0.1976508877883431,167917
inout_inout,walk_localattn4,-1.6495889650681437,"[-1.726, -1.573]",0.0,***,0.15870675761233377,0.19212886406746876,167917
out_in,GINEConv,-3.0686691579113408,"[-3.166, -2.971]",0.0,***,0.21571858352825168,0.04648297521155993,167917
out_in,SiGAT,-2.175897805518427,"[-2.254, -2.098]",0.0,***,0.20848913098593802,0.11350620141695612,167917
out_in,walk_full,-1.8429129157611592,"[-1.918, -1.768]",0.0,***,0.18610336945589712,0.15835547745865544,167917
out_in,walk_localattn4,-1.8747409979167586,"[-1.949, -1.801]",0.0,***,0.187594546717177,0.1533946912449458,167917
out_out,GINEConv,0.03181350662961667,"[-0.048, +0.111]",0.43583040409510776,n.s.,0.10422636924405548,1.0323249655898226,143617
out_out,SiGAT,-0.0636535576588495,"[-0.134, +0.007]",0.07892357623919223,n.s.,0.15115356054691276,0.9383300204760355,143617
out_out,walk_full,-0.20809671780739278,"[-0.276, -0.140]",2.8135053938789813e-09,***,0.15253941227312706,0.8121284856269049,143617
out_out,walk_localattn4,-0.20314013114852883,"[-0.270, -0.136]",3.526042637356743e-09,***,0.15344044242700228,0.8161638634322668,143617
