dataset,model,term,spearman_rho,spearman_p,mi_bits,n
bitcoin-alpha,walk_full,src_out,-0.2494923083975152,1.2016318919336118e-35,0.04981259189943271,2419
bitcoin-alpha,walk_full,src_in,-0.12508901771105116,6.904370768499636e-10,0.012061680560016561,2415
bitcoin-alpha,walk_full,tgt_out,-0.040685784648380297,0.0489368680342473,0.0043016270565551865,2343
bitcoin-alpha,walk_full,tgt_in,-0.25238155909212245,1.8308129875415563e-36,0.049668704747123954,2419
bitcoin-alpha,walk_full,twohop_in,-0.11089918728151804,4.6573534250225915e-08,0.013638447044595096,2415
bitcoin-alpha,walk_full,twohop_out,-0.07748904633237544,0.00017651462537280496,0.008353543885626268,2338
bitcoin-alpha,walk_localattn4,src_out,-0.23339009761073617,2.7682605501661838e-31,0.039008333340221066,2419
bitcoin-alpha,walk_localattn4,src_in,-0.10336959100034356,3.5642799585262294e-07,0.007746359314587958,2415
bitcoin-alpha,walk_localattn4,tgt_out,-0.06521930103407432,0.0015853485311897357,0.003987615596310543,2343
bitcoin-alpha,walk_localattn4,tgt_in,-0.2623623235582702,2.2815419836149825e-39,0.05233447734506902,2419
bitcoin-alpha,walk_localattn4,twohop_in,-0.10433444326692427,2.7672509987045656e-07,0.012734046314315257,2415
bitcoin-alpha,walk_localattn4,twohop_out,-0.08024793923751473,0.00010257921268724914,0.005959716301402548,2338
bitcoin-alpha,GINEConv,src_out,-0.27003830421018044,1.0897847749111285e-41,0.05465611839113553,2419
bitcoin-alpha,GINEConv,src_in,-0.11927480783094045,4.11645414094183e-09,0.011189141026364677,2415
bitcoin-alpha,GINEConv,tgt_out,-0.07362204936384441,0.00036166923330622466,0.005737394719949383,2343
bitcoin-alpha,GINEConv,tgt_in,-0.3215478353443586,2.6371218852875566e-59,0.07406867046169119,2419
bitcoin-alpha,GINEConv,twohop_in,-0.11198653975549332,3.4321089918155305e-08,0.02017289779689569,2415
bitcoin-alpha,GINEConv,twohop_out,-0.06531527859492577,0.0015784138022416892,0.013554864420729357,2338
bitcoin-alpha,SiGAT,src_out,-0.2689813172916486,2.2986322935031017e-41,0.05438062925614227,2419
bitcoin-alpha,SiGAT,src_in,-0.16466889853788313,3.8329154013516326e-16,0.019998741762755734,2415
bitcoin-alpha,SiGAT,tgt_out,-0.07278597299209592,0.0004219360272778487,0.00836111380241273,2343
bitcoin-alpha,SiGAT,tgt_in,-0.3123181266406083,7.0337447325769195e-56,0.07291559933271013,2419
bitcoin-alpha,SiGAT,twohop_in,-0.12062272005110747,2.7414720157965353e-09,0.018103079191706423,2415
bitcoin-alpha,SiGAT,twohop_out,-0.11088496940321324,7.644573532083115e-08,0.016085805571653233,2338
bitcoin-otc,walk_full,src_out,-0.21589063729404073,8.184553561940547e-39,0.03488983119141122,3560
bitcoin-otc,walk_full,src_in,-0.13928242368242635,7.070758815975553e-17,0.013633173764610167,3558
bitcoin-otc,walk_full,tgt_out,-0.034960804814061885,0.042325507553573546,0.005444716008428922,3373
bitcoin-otc,walk_full,tgt_in,-0.26707540769831695,3.34320175430882e-59,0.05223919753732424,3560
bitcoin-otc,walk_full,twohop_in,-0.1232329030920631,1.627935469797852e-13,0.012334169864688346,3558
bitcoin-otc,walk_full,twohop_out,-0.07744621591532748,6.8282696068564735e-06,0.0045562718350171125,3367
bitcoin-otc,walk_localattn4,src_out,-0.23653413189562883,1.852636025949013e-46,0.04198015269583033,3560
bitcoin-otc,walk_localattn4,src_in,-0.12790951552375324,1.8816609064610877e-14,0.011900654477626343,3558
bitcoin-otc,walk_localattn4,tgt_out,-0.017402949007290867,0.31229302937608017,0.005139226407517857,3373
bitcoin-otc,walk_localattn4,tgt_in,-0.2651115650384518,2.4908847030525077e-58,0.05119190544996892,3560
bitcoin-otc,walk_localattn4,twohop_in,-0.09590171111891488,9.94624003793592e-09,0.00810154516447646,3558
bitcoin-otc,walk_localattn4,twohop_out,-0.07203434834713224,2.867540996500589e-05,0.005350566935159549,3367
bitcoin-otc,GINEConv,src_out,-0.25076858822377485,3.50654560477106e-52,0.0483635758686224,3560
bitcoin-otc,GINEConv,src_in,-0.19385789962102978,1.8092237974695392e-31,0.025663488693232185,3558
bitcoin-otc,GINEConv,tgt_out,-0.058101645955919906,0.0007354747359589011,0.009047594254014578,3373
bitcoin-otc,GINEConv,tgt_in,-0.3199775435884949,1.4684989847032845e-85,0.07678166402451762,3560
bitcoin-otc,GINEConv,twohop_in,-0.1503569243238225,1.936861431150402e-19,0.020272734955135034,3558
bitcoin-otc,GINEConv,twohop_out,-0.06350992182796718,0.00022640389474088012,0.006216571870612317,3367
bitcoin-otc,SiGAT,src_out,-0.3020887061577895,5.14216277018644e-76,0.07592371735525877,3560
bitcoin-otc,SiGAT,src_in,-0.24601583643249408,3.34594752871366e-50,0.04295078226916941,3558
bitcoin-otc,SiGAT,tgt_out,-0.06456098138883194,0.00017538225071331824,0.01454142318772833,3373
bitcoin-otc,SiGAT,tgt_in,-0.3571134289211161,1.4716784608743016e-107,0.09905654511457418,3560
bitcoin-otc,SiGAT,twohop_in,-0.1818787383470561,7.720312507615248e-28,0.03206634867622049,3558
bitcoin-otc,SiGAT,twohop_out,-0.0892319179895372,2.1464703949207298e-07,0.01463311361220022,3367
epinions,walk_full,src_out,-0.14354588827309722,0.0,0.020556926212463984,84080
epinions,walk_full,src_in,-0.06590009212687199,3.70132002138808e-75,0.004848269269479916,77317
epinions,walk_full,tgt_out,-0.048817740684016064,1.725498038964334e-41,0.0017417279488220116,76303
epinions,walk_full,tgt_in,-0.14327318413927864,0.0,0.02215688102801866,84080
epinions,walk_full,twohop_in,-0.07733454455155431,2.235139171875894e-102,0.004935048333053804,76942
epinions,walk_full,twohop_out,-0.05193194116822065,1.5098668948943022e-46,0.0027088276219606583,75997
epinions,walk_localattn4,src_out,-0.14733047374606387,0.0,0.02148642854201386,84080
epinions,walk_localattn4,src_in,-0.06855111753297279,3.467987363105929e-81,0.004919513362453134,77317
epinions,walk_localattn4,tgt_out,-0.052488074370144584,1.0696882078685242e-47,0.0019699233632079443,76303
epinions,walk_localattn4,tgt_in,-0.14753529079164315,0.0,0.022605948945053002,84080
epinions,walk_localattn4,twohop_in,-0.08326321178908815,2.025039887775745e-118,0.005427573460085561,76942
epinions,walk_localattn4,twohop_out,-0.055001104229736066,5.281771316530499e-52,0.0027989192576398027,75997
epinions,GINEConv,src_out,-0.20438081060734192,0.0,0.029602909213199306,84080
epinions,GINEConv,src_in,-0.1362615982313604,0.0,0.014163664762621112,77317
epinions,GINEConv,tgt_out,-0.006173551558398017,0.08813693768961058,0.00013542927283533208,76303
epinions,GINEConv,tgt_in,-0.23550437453512962,0.0,0.05116840576871434,84080
epinions,GINEConv,twohop_in,-0.1352695493812502,0.0,0.014053463770811968,76942
epinions,GINEConv,twohop_out,0.00018254566554481053,0.959865357015373,0.00036781194934182147,75997
epinions,SiGAT,src_out,-0.21431395611940599,0.0,0.037393419911730605,84080
epinions,SiGAT,src_in,-0.08018263245379625,1.8420789236838247e-110,0.005317795180735689,77317
epinions,SiGAT,tgt_out,-0.01887840344435792,1.8365841565841532e-07,0.0003708603396191032,76303
epinions,SiGAT,tgt_in,-0.1627782624549062,0.0,0.028091847395730736,84080
epinions,SiGAT,twohop_in,-0.0738959224201759,1.279869092271967e-93,0.005208573475521585,76942
epinions,SiGAT,twohop_out,-0.015943665776114616,1.1052537299761242e-05,0.00032779652834507883,75997
wiki-elec,walk_full,src_out,-0.1958408992791202,3.571787524004432e-90,0.030490383776106446,10370
wiki-elec,walk_full,src_in,-0.054930582242011576,2.8435488732726203e-05,0.0031114608103784266,5800
wiki-elec,walk_full,tgt_out,-0.04548304246159641,9.739322717587308e-05,0.005137773117419635,7336
wiki-elec,walk_full,tgt_in,-0.3752402332616661,0.0,0.11448956152770862,10370
wiki-elec,walk_full,twohop_in,-0.0577051046447643,1.1504364578679048e-05,0.0036041743325790744,5772
wiki-elec,walk_full,twohop_out,-0.04388559064635421,0.00020352641067242536,0.0030881290571882613,7160
wiki-elec,walk_localattn4,src_out,-0.1975514644163355,9.400362916922423e-92,0.03116135222747375,10370
wiki-elec,walk_localattn4,src_in,-0.06255457815445402,1.8638040713870213e-06,0.004494752482237386,5800
wiki-elec,walk_localattn4,tgt_out,-0.035101994678035334,0.0026391269046590706,0.004758440332970356,7336
wiki-elec,walk_localattn4,tgt_in,-0.37073627468498777,0.0,0.11235188276882338,10370
wiki-elec,walk_localattn4,twohop_in,-0.05573230004327414,2.269665817845313e-05,0.0034761725635798213,5772
wiki-elec,walk_localattn4,twohop_out,-0.04520245921873845,0.00013015002359923305,0.0021230719215659865,7160
wiki-elec,GINEConv,src_out,-0.11973737574525906,2.0009520661862055e-34,0.013265477104692924,10370
wiki-elec,GINEConv,src_in,-0.021225745081055777,0.1060212020699143,0.0008137937372729974,5800
wiki-elec,GINEConv,tgt_out,-0.009209575183420832,0.43029520866108373,0.004802374159829488,7336
wiki-elec,GINEConv,tgt_in,-0.4320245653059249,0.0,0.15509905049428951,10370
wiki-elec,GINEConv,twohop_in,-0.033904934253361205,0.009993177107549652,0.0023233035940510016,5772
wiki-elec,GINEConv,twohop_out,-0.035875360171589536,0.002396560179140552,0.003421807087436401,7160
wiki-elec,SiGAT,src_out,-0.19673172208240222,5.395564427303784e-91,0.029505959263939927,10370
wiki-elec,SiGAT,src_in,-0.029795986976470196,0.023255591691310435,0.0019256192167809427,5800
wiki-elec,SiGAT,tgt_out,-0.027509690071925007,0.018459903282824774,0.002046760496209299,7336
wiki-elec,SiGAT,tgt_in,-0.3504333706819991,2.3085289865109547e-297,0.10054989081078974,10370
wiki-elec,SiGAT,twohop_in,-0.04360298622914815,0.0009212369608013721,0.0033064355673252457,5772
wiki-elec,SiGAT,twohop_out,-0.035933702102173774,0.0023575823054694306,0.0030455000809900294,7160
wiki-rfa,walk_full,src_out,-0.20394160867989666,1.0086098511367205e-165,0.03196153858427589,17722
wiki-rfa,walk_full,src_in,-0.044596794167306456,2.3802375728522096e-06,0.0017758165478910135,11184
wiki-rfa,walk_full,tgt_out,-0.06281364616949907,3.754551777039622e-15,0.0038591574007596358,15641
wiki-rfa,walk_full,tgt_in,-0.3709812909671727,0.0,0.11593051602597843,17722
wiki-rfa,walk_full,twohop_in,-0.04469868217608318,2.3143131636719326e-06,0.0028793973576169,11160
wiki-rfa,walk_full,twohop_out,-0.06301879893885401,3.687960957070329e-15,0.003012262902663019,15548
wiki-rfa,walk_localattn4,src_out,-0.20478772260227618,4.104145268562761e-167,0.03152700450453491,17722
wiki-rfa,walk_localattn4,src_in,-0.05381959051934432,1.2326229318868108e-08,0.002289295020692518,11184
wiki-rfa,walk_localattn4,tgt_out,-0.0550985242032514,5.366498188355765e-12,0.002909072073487052,15641
wiki-rfa,walk_localattn4,tgt_in,-0.3670098068246265,0.0,0.11176031241956552,17722
wiki-rfa,walk_localattn4,twohop_in,-0.05227813351179655,3.278584859486473e-08,0.003333593498024719,11160
wiki-rfa,walk_localattn4,twohop_out,-0.06285106851533337,4.359757033257785e-15,0.0029803314846483953,15548
wiki-rfa,GINEConv,src_out,-0.18264614506086282,9.177305840028e-133,0.027039649670618626,17722
wiki-rfa,GINEConv,src_in,-0.03895798012455315,3.770956082924962e-05,0.00125837969756459,11184
wiki-rfa,GINEConv,tgt_out,-0.03731511287621088,3.041025069390053e-06,0.0027397553666251785,15641
wiki-rfa,GINEConv,tgt_in,-0.409983037837403,0.0,0.1369167275345181,17722
wiki-rfa,GINEConv,twohop_in,-0.02788414089672615,0.0032196591107177793,0.0013908068054526836,11160
wiki-rfa,GINEConv,twohop_out,-0.04359277347462242,5.394206481575495e-08,0.0019620416977210488,15548
wiki-rfa,SiGAT,src_out,-0.20437536507919407,1.9573544238608854e-166,0.03180920336430418,17722
wiki-rfa,SiGAT,src_in,-0.04704422461090083,6.446572666739009e-07,0.002072083125350478,11184
wiki-rfa,SiGAT,tgt_out,-0.048694563580507784,1.1076987759811181e-09,0.0031659421833238697,15641
wiki-rfa,SiGAT,tgt_in,-0.36137654118237256,0.0,0.10440726493152658,17722
wiki-rfa,SiGAT,twohop_in,-0.03800439242700694,5.923965369121209e-05,0.0016039045822451438,11160
wiki-rfa,SiGAT,twohop_out,-0.0504326394627685,3.1334946262633875e-10,0.002094869719028298,15548
slashdot090221,walk_full,src_out,-0.3680219206444584,0.0,0.10768569716412271,54921
slashdot090221,walk_full,src_in,-0.13639806942503957,2.006261565753457e-211,0.01559048961432108,51280
slashdot090221,walk_full,tgt_out,-0.08825246405753605,4.179741513416382e-68,0.006328171350322001,38897
slashdot090221,walk_full,tgt_in,-0.1956175569949178,0.0,0.03163284718195499,54921
slashdot090221,walk_full,twohop_in,-0.13393090506575306,1.805236186406128e-203,0.015538985463895531,51183
slashdot090221,walk_full,twohop_out,-0.09489133494324722,4.10406599400102e-76,0.007542692335586404,37689
slashdot090221,walk_localattn4,src_out,-0.3706460799942911,0.0,0.10886288248570622,54921
slashdot090221,walk_localattn4,src_in,-0.14146287036268423,2.0315936928343537e-227,0.017052828041203227,51280
slashdot090221,walk_localattn4,tgt_out,-0.08750449958387711,5.54327269910198e-67,0.006195425356162156,38897
slashdot090221,walk_localattn4,tgt_in,-0.1978506255038102,0.0,0.0325919498300633,54921
slashdot090221,walk_localattn4,twohop_in,-0.13567610592660767,8.41165071022907e-209,0.015979621379173442,51183
slashdot090221,walk_localattn4,twohop_out,-0.0962928574690172,2.476654284904622e-78,0.007412796238977939,37689
slashdot090221,GINEConv,src_out,-0.2485759017840843,0.0,0.04430507293210197,54921
slashdot090221,GINEConv,src_in,-0.22553653426833317,0.0,0.040440558599141904,51280
slashdot090221,GINEConv,tgt_out,-0.0974777812574353,9.562525123239185e-83,0.0077542012851607185,38897
slashdot090221,GINEConv,tgt_in,-0.36100767241217513,0.0,0.10529403717323169,54921
slashdot090221,GINEConv,twohop_in,-0.22372930532412144,0.0,0.03716066398703439,51183
slashdot090221,GINEConv,twohop_out,-0.09577887958416921,1.6277583169263312e-77,0.007899643216416648,37689
slashdot090221,SiGAT,src_out,-0.3794202610673924,0.0,0.11237672537294938,54921
slashdot090221,SiGAT,src_in,-0.16928643423257464,0.0,0.023271755011465545,51280
slashdot090221,SiGAT,tgt_out,-0.08205611618483616,4.272306437692972e-59,0.005192292574735566,38897
slashdot090221,SiGAT,tgt_in,-0.2420854395649399,0.0,0.047719701063166406,54921
slashdot090221,SiGAT,twohop_in,-0.1737565453836354,0.0,0.02273043354048621,51183
slashdot090221,SiGAT,twohop_out,-0.0960607445056063,5.803628530222812e-78,0.00788643178766782,37689
POOLED,walk_full,src_out,-0.2698418804039439,0.0,0.05726329293679316,173072
POOLED,walk_full,src_in,-0.13358956553651222,0.0,0.01755287857810836,151554
POOLED,walk_full,tgt_out,-0.0674426541566567,1.1180348287935967e-144,0.0039039461226286452,143893
POOLED,walk_full,tgt_in,-0.24807018038708745,0.0,0.05513938744957955,173072
POOLED,walk_full,twohop_in,-0.15536290660339325,0.0,0.019398092212806767,151030
POOLED,walk_full,twohop_out,-0.04040859012380068,1.9626539472519416e-52,0.002293679378029838,142099
POOLED,walk_localattn4,src_out,-0.27029230593880305,0.0,0.057229516422043214,173072
POOLED,walk_localattn4,src_in,-0.13556633872197676,0.0,0.01789467055992901,151554
POOLED,walk_localattn4,tgt_out,-0.06665737370698696,2.2841896334681265e-141,0.0037080028818472993,143893
POOLED,walk_localattn4,tgt_in,-0.24798954645128585,0.0,0.05406442572598253,173072
POOLED,walk_localattn4,twohop_in,-0.15573891675760548,0.0,0.0192901199071199,151030
POOLED,walk_localattn4,twohop_out,-0.04177257716506762,6.5151112481917325e-56,0.0023617026093791715,142099
POOLED,GINEConv,src_out,-0.23474415729492867,0.0,0.038413558849248,173072
POOLED,GINEConv,src_in,-0.19072288874367282,0.0,0.03142546714695364,151554
POOLED,GINEConv,tgt_out,-0.04123275525542791,3.458854194182127e-55,0.0016303499448333467,143893
POOLED,GINEConv,tgt_in,-0.34404731574537073,0.0,0.10246671454836466,173072
POOLED,GINEConv,twohop_in,-0.20321508038150396,0.0,0.031167930686817006,151030
POOLED,GINEConv,twohop_out,-0.01299017708003897,9.733886022442807e-07,0.0009772028897676835,142099
POOLED,SiGAT,src_out,-0.29335237745672604,0.0,0.06652063155941967,173072
POOLED,SiGAT,src_in,-0.14256878547031254,0.0,0.01833147216524956,151554
POOLED,SiGAT,tgt_out,-0.047075323411377816,2.1337876282897993e-71,0.0020329217747352074,143893
POOLED,SiGAT,tgt_in,-0.25873657757533486,0.0,0.059004589584581685,173072
POOLED,SiGAT,twohop_in,-0.1489933822353432,0.0,0.01696649361690416,151030
POOLED,SiGAT,twohop_out,-0.02635654395227486,2.87330473839069e-23,0.0010383185115504139,142099
