term,n,beta,beta_std,se_naive,se_robust,z,p,odds_ratio,cov_method,pseudo_r2,base_rate,dataset,model,spec,node_variant,twohop_variant,pooled,pooled_spec,p_fdr
const,2338,4.308607483464506,,0.2601371471372148,0.33812396972385056,12.742685728501861,0.0,74.33690146895805,"cluster_2way(u,v)",0.17331286159877834,0.9491017964071856,bitcoin-alpha,walk_full,marginal3,out_out,out,False,,
b_src,2338,-3.77484590394946,-1.0627474986471246,0.32879969828870087,0.4481674105343813,-8.422847835920171,0.0,0.022940625429349118,"cluster_2way(u,v)",0.17331286159877834,0.9491017964071856,bitcoin-alpha,walk_full,marginal3,out_out,out,False,,0.0
b_tgt,2338,-0.45104192031436835,-0.12607103752474857,0.40292459624167953,0.5111009012517769,-0.8824909508272957,0.3775113711838194,0.636964139881317,"cluster_2way(u,v)",0.17331286159877834,0.9491017964071856,bitcoin-alpha,walk_full,marginal3,out_out,out,False,,0.42140804225170536
b_2hop,2338,0.37009408876035044,0.08928905084739558,0.5562176744197354,0.6819995192270224,0.5426603367401412,0.5873636877890496,1.447870836626912,"cluster_2way(u,v)",0.17331286159877834,0.9491017964071856,bitcoin-alpha,walk_full,marginal3,out_out,out,False,,0.6265212669749862
const,2339,4.634749405908148,,0.24808277783985366,0.3036459030436991,15.263665208224923,0.0,103.00210304235632,"cluster_2way(u,v)",0.17521637993871997,0.9491235570756734,bitcoin-alpha,walk_full,marginal3,out_out,in,False,,
b_src,2339,-3.60034075562167,-1.0150298895963044,0.3184871327422616,0.47005935600762155,-7.659332187748848,1.865174681370263e-14,0.027314413321422253,"cluster_2way(u,v)",0.17521637993871997,0.9491235570756734,bitcoin-alpha,walk_full,marginal3,out_out,in,False,,3.654219783909087e-14
b_tgt,2339,-0.272733693065869,-0.07603209567986066,0.3180761401220512,0.35865096097144894,-0.7604432240391528,0.44698969463079363,0.7612954989063083,"cluster_2way(u,v)",0.17521637993871997,0.9491235570756734,bitcoin-alpha,walk_full,marginal3,out_out,in,False,,0.49072312091614445
b_2hop,2339,-0.6870948183010157,-0.16912640574038829,0.396171881956381,0.41759014867715855,-1.6453808129276843,0.09989130381295053,0.5030353574050669,"cluster_2way(u,v)",0.17521637993871997,0.9491235570756734,bitcoin-alpha,walk_full,marginal3,out_out,in,False,,0.12294314315440066
const,2343,4.378720574380411,,0.2711316544564074,0.3443859615841754,12.714573364832576,0.0,79.73595189650217,"cluster_2way(u,v)",0.1724037216811528,0.9492104139991464,bitcoin-alpha,walk_full,marginal3,out_out,inout,False,,
b_src,2343,-3.7097110214610987,-1.0455459612347315,0.3181106037075094,0.45613427376084237,-8.13293636295823,4.440892098500626e-16,0.02448459777270389,"cluster_2way(u,v)",0.1724037216811528,0.9492104139991464,bitcoin-alpha,walk_full,marginal3,out_out,inout,False,,9.092253016835404e-16
b_tgt,2343,-0.33519322864572754,-0.09364921264635397,0.36154692003813094,0.3957281509381375,-0.8470290219462473,0.3969789451978367,0.7151998758964363,"cluster_2way(u,v)",0.1724037216811528,0.9492104139991464,bitcoin-alpha,walk_full,marginal3,out_out,inout,False,,0.4397305239114499
b_2hop,2343,0.11198029813833334,0.024242067948325598,0.5277180349178887,0.631755778086643,0.17725251121165947,0.8593100506273772,1.1184908240764737,"cluster_2way(u,v)",0.1724037216811528,0.9492104139991464,bitcoin-alpha,walk_full,marginal3,out_out,inout,False,,0.8714130090869178
const,2334,4.362605951301214,,0.24353499436515041,0.26183077712195774,16.661929507504624,0.0,78.46133465673567,"cluster_2way(u,v)",0.20225005538222884,0.9490145672664952,bitcoin-alpha,walk_full,marginal3,in_in,out,False,,
b_src,2334,-1.352780157974322,-0.3272226255139271,0.3411202218903942,0.4356670074321553,-3.105078270552734,0.0019022867873217386,0.2585205327102527,"cluster_2way(u,v)",0.20225005538222884,0.9490145672664952,bitcoin-alpha,walk_full,marginal3,in_in,out,False,,0.0027999587465860004
b_tgt,2334,-3.5161090913060757,-0.938173308979782,0.28509413014985463,0.4511145649246072,-7.794270823185919,6.439293542825908e-15,0.02971482821384531,"cluster_2way(u,v)",0.20225005538222884,0.9490145672664952,bitcoin-alpha,walk_full,marginal3,in_in,out,False,,1.2819238758068167e-14
b_2hop,2334,-0.07788054369735811,-0.018765524647643146,0.3955604869470258,0.5179465179736967,-0.1503640646181797,0.8804773911745674,0.9250749259738047,"cluster_2way(u,v)",0.20225005538222884,0.9490145672664952,bitcoin-alpha,walk_full,marginal3,in_in,out,False,,0.8887061518397503
const,2415,4.14921555516917,,0.21611760590904766,0.3446899258095166,12.03753067463341,0.0,63.38425933656137,"cluster_2way(u,v)",0.19078148122769112,0.9461697722567288,bitcoin-alpha,walk_full,marginal3,in_in,in,False,,
b_src,2415,-1.5240378615464452,-0.3685437164456137,0.4617095176371677,0.5291636860513255,-2.880087771931166,0.003975644742596929,0.2178305392116966,"cluster_2way(u,v)",0.19078148122769112,0.9461697722567288,bitcoin-alpha,walk_full,marginal3,in_in,in,False,,0.0057440753471634555
b_tgt,2415,-3.3355908869526454,-0.9077445638249092,0.2636867465791899,0.3725010737243954,-8.954580596512773,0.0,0.03559354823320122,"cluster_2way(u,v)",0.19078148122769112,0.9461697722567288,bitcoin-alpha,walk_full,marginal3,in_in,in,False,,0.0
b_2hop,2415,0.21986465878334396,0.05392194013078293,0.5365383823677118,0.609164020268712,0.36092850442210644,0.7181528943978643,1.245908096458448,"cluster_2way(u,v)",0.19078148122769112,0.9461697722567288,bitcoin-alpha,walk_full,marginal3,in_in,in,False,,0.7448788724606901
const,2415,3.928096529312977,,0.24756806823323665,0.4022602025063406,9.765063769267757,0.0,50.81016989405381,"cluster_2way(u,v)",0.19287572853010393,0.9461697722567288,bitcoin-alpha,walk_full,marginal3,in_in,inout,False,,
b_src,2415,-1.733793116699176,-0.419266853467646,0.3978450209170675,0.4883445734426286,-3.5503478711284675,0.00038472241559106557,0.1766132232634076,"cluster_2way(u,v)",0.19287572853010393,0.9461697722567288,bitcoin-alpha,walk_full,marginal3,in_in,inout,False,,0.0005914593720118872
