dataset,model,term,spearman_rho,spearman_p,mi_bits,n
bitcoin-alpha,walk_full,src_out,-0.3252543531931156,1.0255585493707459e-60,0.08324409137686034,2419
bitcoin-alpha,walk_full,src_in,-0.1500014965070955,1.2666867266897353e-13,0.018835390558450113,2415
bitcoin-alpha,walk_full,tgt_out,-0.13589368433055096,3.9745648120891245e-11,0.017982455579346853,2343
bitcoin-alpha,walk_full,tgt_in,-0.38000912061470676,5.948206882020426e-84,0.10229490342465333,2419
bitcoin-alpha,walk_full,twohop_in,-0.15447126079910906,2.292580277486786e-14,0.027364887847492254,2415
bitcoin-alpha,walk_full,twohop_out,-0.1668724029994449,4.606425839322537e-16,0.022200817049767653,2338
bitcoin-alpha,walk_localattn4,src_out,-0.2886180156157043,1.2571386727241885e-47,0.06290105061511951,2419
bitcoin-alpha,walk_localattn4,src_in,-0.08662811821338226,2.017485275993517e-05,0.006219679883331405,2415
bitcoin-alpha,walk_localattn4,tgt_out,-0.0855946322119,3.3455351142203514e-05,0.009202950115478701,2343
bitcoin-alpha,walk_localattn4,tgt_in,-0.3453036148531826,1.082316298496765e-68,0.08368818464166425,2419
bitcoin-alpha,walk_localattn4,twohop_in,-0.113602323386955,2.1688996670356206e-08,0.019438403613183136,2415
bitcoin-alpha,walk_localattn4,twohop_out,-0.11538013766124501,2.2104101547084042e-08,0.0158861891135761,2338
bitcoin-alpha,GINEConv,src_out,-0.27003830421018044,1.0897847749111285e-41,0.05465611839113553,2419
bitcoin-alpha,GINEConv,src_in,-0.11927480783094045,4.11645414094183e-09,0.011189141026364677,2415
bitcoin-alpha,GINEConv,tgt_out,-0.07362204936384441,0.00036166923330622466,0.005737394719949383,2343
bitcoin-alpha,GINEConv,tgt_in,-0.3215478353443586,2.6371218852875566e-59,0.07406867046169119,2419
bitcoin-alpha,GINEConv,twohop_in,-0.11198653975549332,3.4321089918155305e-08,0.02017289779689569,2415
bitcoin-alpha,GINEConv,twohop_out,-0.06531527859492577,0.0015784138022416892,0.013554864420729357,2338
bitcoin-alpha,SiGAT,src_out,-0.2689813172916486,2.2986322935031017e-41,0.05438062925614227,2419
bitcoin-alpha,SiGAT,src_in,-0.16466889853788313,3.8329154013516326e-16,0.019998741762755734,2415
bitcoin-alpha,SiGAT,tgt_out,-0.07278597299209592,0.0004219360272778487,0.00836111380241273,2343
bitcoin-alpha,SiGAT,tgt_in,-0.3123181266406083,7.0337447325769195e-56,0.07291559933271013,2419
bitcoin-alpha,SiGAT,twohop_in,-0.12062272005110747,2.7414720157965353e-09,0.018103079191706423,2415
bitcoin-alpha,SiGAT,twohop_out,-0.11088496940321324,7.644573532083115e-08,0.016085805571653233,2338
bitcoin-otc,walk_full,src_out,-0.2884490031790801,3.540319246389702e-69,0.06893216034906247,3560
bitcoin-otc,walk_full,src_in,-0.2449767127129059,8.822115091629135e-50,0.04040424129791245,3558
bitcoin-otc,walk_full,tgt_out,-0.13239802026267625,1.158655111776897e-14,0.02177914366066014,3373
bitcoin-otc,walk_full,tgt_in,-0.3180732555859454,1.6389588971086909e-84,0.07668997276613532,3560
bitcoin-otc,walk_full,twohop_in,-0.19603667414679057,3.7225071483537747e-32,0.030674302561202328,3558
bitcoin-otc,walk_full,twohop_out,-0.1605909877680418,6.859988070216838e-21,0.024508893886102237,3367
bitcoin-otc,walk_localattn4,src_out,-0.25674397277087374,1.0726439019743737e-54,0.050691466044170325,3560
bitcoin-otc,walk_localattn4,src_in,-0.15597687142588032,8.132308544900097e-21,0.01699786126921305,3558
bitcoin-otc,walk_localattn4,tgt_out,-0.030557757624788722,0.07598448519790932,0.00585036852457033,3373
bitcoin-otc,walk_localattn4,tgt_in,-0.30355817500723115,8.954119175168037e-77,0.06831541790026574,3560
bitcoin-otc,walk_localattn4,twohop_in,-0.12492252245809794,7.535206218863473e-14,0.013457378410857748,3558
bitcoin-otc,walk_localattn4,twohop_out,-0.0871716162207272,4.0631503326945816e-07,0.007900492518129404,3367
bitcoin-otc,GINEConv,src_out,-0.25076858822377485,3.50654560477106e-52,0.0483635758686224,3560
bitcoin-otc,GINEConv,src_in,-0.19385789962102978,1.8092237974695392e-31,0.025663488693232185,3558
bitcoin-otc,GINEConv,tgt_out,-0.058101645955919906,0.0007354747359589011,0.009047594254014578,3373
bitcoin-otc,GINEConv,tgt_in,-0.3199775435884949,1.4684989847032845e-85,0.07678166402451762,3560
bitcoin-otc,GINEConv,twohop_in,-0.1503569243238225,1.936861431150402e-19,0.020272734955135034,3558
bitcoin-otc,GINEConv,twohop_out,-0.06350992182796718,0.00022640389474088012,0.006216571870612317,3367
bitcoin-otc,SiGAT,src_out,-0.3020887061577895,5.14216277018644e-76,0.07592371735525877,3560
bitcoin-otc,SiGAT,src_in,-0.24601583643249408,3.34594752871366e-50,0.04295078226916941,3558
bitcoin-otc,SiGAT,tgt_out,-0.06456098138883194,0.00017538225071331824,0.01454142318772833,3373
