term,n,beta,beta_std,se_naive,se_robust,z,p,odds_ratio,cov_method,pseudo_r2,base_rate,dataset,model,spec,node_variant,twohop_variant,pooled,pooled_spec,p_fdr
const,2338,4.00442532468402,,0.20965052620069466,0.29467785503242244,13.58916272905348,0.0,54.84029997506687,"cluster_2way(u,v)",0.2073184509627526,0.9037639007698888,bitcoin-alpha,walk_full,marginal3,out_out,out,False,,
b_src,2338,-3.636727367292894,-1.0238624333799593,0.2528231796092221,0.31859214941255354,-11.41499366509373,0.0,0.026338398981613154,"cluster_2way(u,v)",0.2073184509627526,0.9037639007698888,bitcoin-alpha,walk_full,marginal3,out_out,out,False,,0.0
b_tgt,2338,-1.0685501545153684,-0.2986711889952271,0.31345329214137857,0.3813887291414169,-2.8017350091097097,0.005082860522584776,0.3435061874540258,"cluster_2way(u,v)",0.2073184509627526,0.9037639007698888,bitcoin-alpha,walk_full,marginal3,out_out,out,False,,0.007152429139272388
b_2hop,2338,-0.3647461766512442,-0.08799881139008127,0.43874652317691143,0.503485475972308,-0.7244423008367087,0.4687942381557484,0.6943728765607501,"cluster_2way(u,v)",0.2073184509627526,0.9037639007698888,bitcoin-alpha,walk_full,marginal3,out_out,out,False,,0.5114118961699073
const,2339,4.190359352816021,,0.19321712973425673,0.21820390116340393,19.20387000632969,0.0,66.04652069968205,"cluster_2way(u,v)",0.21214304683741725,0.903805044890979,bitcoin-alpha,walk_full,marginal3,out_out,in,False,,
b_src,2339,-3.5554775330752233,-1.002381777953774,0.24853027467946825,0.3511658558175967,-10.124781422149473,0.0,0.028567729622722127,"cluster_2way(u,v)",0.21214304683741725,0.903805044890979,bitcoin-alpha,walk_full,marginal3,out_out,in,False,,0.0
b_tgt,2339,-1.2203201755651418,-0.3401981592579569,0.24028108830122358,0.32013993287719544,-3.811833670975537,0.00013793968876552043,0.2951356565692329,"cluster_2way(u,v)",0.21214304683741725,0.903805044890979,bitcoin-alpha,walk_full,marginal3,out_out,in,False,,0.0002116871955477969
b_2hop,2339,-0.9175144272922972,-0.2258435272246728,0.3071058094558481,0.3630172062247634,-2.527468151810454,0.01148882435704901,0.3995108211967159,"cluster_2way(u,v)",0.21214304683741725,0.903805044890979,bitcoin-alpha,walk_full,marginal3,out_out,in,False,,0.015582957997630055
const,2343,3.973990378602123,,0.21339121250786147,0.2838532074144865,14.000160205338972,0.0,53.196381579000516,"cluster_2way(u,v)",0.20670563145952658,0.9039692701664532,bitcoin-alpha,walk_full,marginal3,out_out,inout,False,,
b_src,2343,-3.657832565804322,-1.0309245232107869,0.2469045968814062,0.3290292119127901,-11.11704503238405,0.0,0.02578834674080192,"cluster_2way(u,v)",0.20670563145952658,0.9039692701664532,bitcoin-alpha,walk_full,marginal3,out_out,inout,False,,0.0
b_tgt,2343,-1.168949243610489,-0.32659125224565794,0.27476607119037144,0.34148056830685425,-3.4231793902839933,0.00061893216522102,0.3106932327085008,"cluster_2way(u,v)",0.20670563145952658,0.9039692701664532,bitcoin-alpha,walk_full,marginal3,out_out,inout,False,,0.0009251857971469919
b_2hop,2343,-0.23468368050393013,-0.050805524040588926,0.4081624784138524,0.4710703537718657,-0.4981924220550396,0.6183484231296255,0.7908209621571466,"cluster_2way(u,v)",0.20670563145952658,0.9039692701664532,bitcoin-alpha,walk_full,marginal3,out_out,inout,False,,0.6539204866389184
const,2334,4.099882594402461,,0.2011864318635994,0.23031011747241228,17.801573979456485,0.0,60.33320372569214,"cluster_2way(u,v)",0.22954861244468316,0.903598971722365,bitcoin-alpha,walk_full,marginal3,in_in,out,False,,
b_src,2334,-1.2073133240296694,-0.2920358000360573,0.27644771753500247,0.38873575180105796,-3.1057429589021495,0.001898016250465595,0.2989995160873642,"cluster_2way(u,v)",0.22954861244468316,0.903598971722365,bitcoin-alpha,walk_full,marginal3,in_in,out,False,,0.0027377062444111423
b_tgt,2334,-3.54122424011333,-0.9448745692792083,0.23192744613799637,0.33995062688229877,-10.416878099593589,0.0,0.028977829536555057,"cluster_2way(u,v)",0.22954861244468316,0.903598971722365,bitcoin-alpha,walk_full,marginal3,in_in,out,False,,0.0
b_2hop,2334,-1.232101053430396,-0.296878033830669,0.32114319561421206,0.4218273124707505,-2.920865996593878,0.0034905993010609926,0.29167910005815484,"cluster_2way(u,v)",0.22954861244468316,0.903598971722365,bitcoin-alpha,walk_full,marginal3,in_in,out,False,,0.004968497192943489
const,2415,3.585647708510152,,0.16734155214005336,0.24714477053330408,14.508288808914802,0.0,36.0767173497725,"cluster_2way(u,v)",0.22538395610532058,0.9010351966873706,bitcoin-alpha,walk_full,marginal3,in_in,in,False,,
b_src,2415,-1.340738907890589,-0.32421825754108574,0.38706895000241975,0.5284371077016182,-2.537177818041568,0.011175017639766027,0.2616522602139793,"cluster_2way(u,v)",0.22538395610532058,0.9010351966873706,bitcoin-alpha,walk_full,marginal3,in_in,in,False,,0.015181156038927434
b_tgt,2415,-3.645783163965462,-0.9921599980738313,0.21850672142424776,0.3018771711161862,-12.077041634136275,0.0,0.026100960515631225,"cluster_2way(u,v)",0.22538395610532058,0.9010351966873706,bitcoin-alpha,walk_full,marginal3,in_in,in,False,,0.0
b_2hop,2415,-0.11068600987663979,-0.0271458106587504,0.4321950545962331,0.5309025033134833,-0.20848650964315146,0.8348491149618427,0.8952197949777397,"cluster_2way(u,v)",0.22538395610532058,0.9010351966873706,bitcoin-alpha,walk_full,marginal3,in_in,in,False,,0.8506009850554623
const,2415,3.6304945939755675,,0.19978344176442936,0.30139572255491637,12.045607559390849,0.0,37.73147376255781,"cluster_2way(u,v)",0.2254882485123385,0.9010351966873706,bitcoin-alpha,walk_full,marginal3,in_in,inout,False,,
b_src,2415,-1.32715289828456,-0.3209328808465783,0.3191780894601937,0.4436154987020459,-2.9916738756143895,0.0027745248641026787,0.26523132790695975,"cluster_2way(u,v)",0.2254882485123385,0.9010351966873706,bitcoin-alpha,walk_full,marginal3,in_in,inout,False,,0.003968856759246216
b_tgt,2415,-3.6433148799381936,-0.9914882815823116,0.2179194616712803,0.29732700260837447,-12.253562064583154,0.0,0.026165464674111457,"cluster_2way(u,v)",0.2254882485123385,0.9010351966873706,bitcoin-alpha,walk_full,marginal3,in_in,inout,False,,0.0
b_2hop,2415,-0.19124382722660252,-0.04143258933909585,0.3998959646396399,0.5441862946388413,-0.3514308043232232,0.7252651758162394,0.8259311790889233,"cluster_2way(u,v)",0.2254882485123385,0.9010351966873706,bitcoin-alpha,walk_full,marginal3,in_in,inout,False,,0.7531599902707101
const,2338,4.757878660061204,,0.2378330452402542,0.27051516027627764,17.58821448380924,0.0,116.49853060122649,"cluster_2way(u,v)",0.3399738421162849,0.9037639007698888,bitcoin-alpha,walk_full,marginal3,out_in,out,False,,
b_src,2338,-3.4780603697452865,-0.979192277550513,0.2747072399297888,0.3600492145445795,-9.659958220280052,0.0,0.030867224008035644,"cluster_2way(u,v)",0.3399738421162849,0.9037639007698888,bitcoin-alpha,walk_full,marginal3,out_in,out,False,,0.0
b_tgt,2338,-3.5414189891012353,-0.9455589288976103,0.2551620112703867,0.39183052420741477,-9.03813963004728,0.0,0.028972186683068953,"cluster_2way(u,v)",0.3399738421162849,0.9037639007698888,bitcoin-alpha,walk_full,marginal3,out_in,out,False,,0.0
b_2hop,2338,-0.47471806631073143,-0.11453067435628088,0.3575293381342448,0.4473598201321804,-1.0611549024909468,0.2886195104259148,0.6220604115313791,"cluster_2way(u,v)",0.3399738421162849,0.9037639007698888,bitcoin-alpha,walk_full,marginal3,out_in,out,False,,0.3242747165253451
const,2415,4.72079372196475,,0.21937792038251577,0.24712133580411486,19.103140999961134,0.0,112.25731841574355,"cluster_2way(u,v)",0.3369409001098558,0.9010351966873706,bitcoin-alpha,walk_full,marginal3,out_in,in,False,,
