term,n,beta,beta_std,se_naive,se_robust,z,p,odds_ratio,cov_method,pseudo_r2,base_rate,dataset,model,spec,node_variant,twohop_variant,pooled,pooled_spec,p_fdr
const,4009,6.091132235752517,,0.3950184147752423,0.43472776036574534,14.011371693006039,0.0,441.9214872982229,"cluster_2way(u,v)",0.24672357002266465,0.846595160888002,wiki-elec,walk_full,atomic,,,False,,
src_out,4009,-2.1780704325797453,-0.6435645035495129,0.19875135578015884,0.24478032483298792,-8.898061697016821,0.0,0.11325986247036066,"cluster_2way(u,v)",0.24672357002266465,0.846595160888002,wiki-elec,walk_full,atomic,,,False,,0.0
src_in,4009,-0.166972022410138,-0.05641545300225215,0.24409800907649815,0.26231873965839847,-0.6365234242417274,0.5244353183556152,0.8462232862940382,"cluster_2way(u,v)",0.24672357002266465,0.846595160888002,wiki-elec,walk_full,atomic,,,False,,0.6624446126597244
tgt_out,4009,-0.24689010601300002,-0.08722178260582963,0.15642126341022478,0.18831759536460932,-1.3110304724048014,0.1898474686996292,0.7812265409135657,"cluster_2way(u,v)",0.24672357002266465,0.846595160888002,wiki-elec,walk_full,atomic,,,False,,0.3645071399032881
tgt_in,4009,-3.65970802885165,-1.3014504140716316,0.17712569993027769,0.21540523610763138,-16.98987496767723,0.0,0.025740026974569046,"cluster_2way(u,v)",0.24672357002266465,0.846595160888002,wiki-elec,walk_full,atomic,,,False,,0.0
twohop_in,4009,-0.11267506022803175,-0.021708583236377862,0.4396439959475956,0.4958952768336443,-0.22721543336221436,0.8202562274321377,0.8934409274449927,"cluster_2way(u,v)",0.24672357002266465,0.846595160888002,wiki-elec,walk_full,atomic,,,False,,0.8377084875902683
twohop_out,4009,-0.608771037015793,-0.10560843398064008,0.329533258782241,0.3659217215463146,-1.6636646615107846,0.09617946205972205,0.5440190376731692,"cluster_2way(u,v)",0.24672357002266465,0.846595160888002,wiki-elec,walk_full,atomic,,,False,,0.24108810255387408
const,4009,5.978683554003293,,0.3940433020326842,0.4394068829322965,13.60625831371987,0.0,394.9201347704397,"cluster_2way(u,v)",0.23854051401970922,0.8488401097530556,wiki-elec,walk_localattn4,atomic,,,False,,
src_out,4009,-2.237452997923141,-0.6611105436651461,0.20038140275912575,0.24034067517345106,-9.309506167894373,0.0,0.10673000001420818,"cluster_2way(u,v)",0.23854051401970922,0.8488401097530556,wiki-elec,walk_localattn4,atomic,,,False,,0.0
src_in,4009,-0.30567809929785006,-0.1032805867464211,0.24488880896976126,0.26999640202815206,-1.1321561954221062,0.2575687726917435,0.7366237009822645,"cluster_2way(u,v)",0.23854051401970922,0.8488401097530556,wiki-elec,walk_localattn4,atomic,,,False,,0.4315491797889209
tgt_out,4009,-0.2292576333204577,-0.0809925508037615,0.1565830594100889,0.18842586533572675,-1.216699378888239,0.2237186154806592,0.7951236567668227,"cluster_2way(u,v)",0.23854051401970922,0.8488401097530556,wiki-elec,walk_localattn4,atomic,,,False,,0.39772198307672746
tgt_in,4009,-3.5194302083331546,-1.2515653887746416,0.17438390923517033,0.1974866561213686,-17.821103853063534,0.0,0.029616305485220682,"cluster_2way(u,v)",0.23854051401970922,0.8488401097530556,wiki-elec,walk_localattn4,atomic,,,False,,0.0
twohop_in,4009,0.22035353648964962,0.0424544977267801,0.4379120314878071,0.48879910595975484,0.4508059319318648,0.6521294256205832,1.2465173420620745,"cluster_2way(u,v)",0.23854051401970922,0.8488401097530556,wiki-elec,walk_localattn4,atomic,,,False,,0.7452907721378094
twohop_out,4009,-0.744141845300108,-0.12909230262800656,0.3335995792871773,0.4205429509535516,-1.7694788216347905,0.07681400199287336,0.4751418702647885,"cluster_2way(u,v)",0.23854051401970922,0.8488401097530556,wiki-elec,walk_localattn4,atomic,,,False,,0.2048373386476623
const,4009,5.211353728471771,,0.38595811776390604,0.37708795322362215,13.819995266147666,0.0,183.34208567636205,"cluster_2way(u,v)",0.263681193176197,0.8553255175854327,wiki-elec,GINEConv,atomic,,,False,,
src_out,4009,-0.6501538858086422,-0.19210396344054206,0.18134614866539234,0.22340408247450422,-2.9102148833060846,0.003611803385354273,0.5219654475054357,"cluster_2way(u,v)",0.263681193176197,0.8553255175854327,wiki-elec,GINEConv,atomic,,,False,,0.010835410156062819
src_in,4009,0.11651804876836759,0.039368382854341265,0.24400593805148552,0.2981669484098539,0.39078123645081,0.6959589454963018,1.1235777894794632,"cluster_2way(u,v)",0.263681193176197,0.8553255175854327,wiki-elec,GINEConv,atomic,,,False,,0.7624155712116767
tgt_out,4009,0.2367960259693785,0.08365572777524763,0.15768318788012928,0.1606104535914871,1.4743500231415168,0.14038737310073657,1.2671826190663236,"cluster_2way(u,v)",0.263681193176197,0.8553255175854327,wiki-elec,GINEConv,atomic,,,False,,0.30629972312887976
tgt_in,4009,-4.628283233044766,-1.645891170169919,0.21210906453249798,0.24745769004614157,-18.703331596531775,0.0,0.009771520133701823,"cluster_2way(u,v)",0.263681193176197,0.8553255175854327,wiki-elec,GINEConv,atomic,,,False,,0.0
twohop_in,4009,-0.06548023832127446,-0.012615774964383845,0.4391471197235415,0.5448236464482766,-0.12018611664185705,0.904335715368219,0.9366175557119679,"cluster_2way(u,v)",0.263681193176197,0.8553255175854327,wiki-elec,GINEConv,atomic,,,False,,0.904335715368219
twohop_out,4009,-0.3464438868211296,-0.06010042220257005,0.3223811949758521,0.31388985035269446,-1.1037116569135847,0.26971823736807554,0.7071985013299201,"cluster_2way(u,v)",0.263681193176197,0.8553255175854327,wiki-elec,GINEConv,atomic,,,False,,0.4315491797889209
const,4009,6.321886672531045,,0.421954396515734,0.4298661960748624,14.706638322009557,0.0,556.6221661676528,"cluster_2way(u,v)",0.22913646495441942,0.8720379146919431,wiki-elec,SiGAT,atomic,,,False,,
src_out,4009,-2.3689561670758215,-0.6999663907970933,0.2179829807173404,0.25259888478430975,-9.378331852488724,0.0,0.09357835548334842,"cluster_2way(u,v)",0.22913646495441942,0.8720379146919431,wiki-elec,SiGAT,atomic,,,False,,0.0
