term,n,beta,beta_std,se_naive,se_robust,z,p,odds_ratio,cov_method,pseudo_r2,base_rate,dataset,model,spec,pooled,pooled_spec,p_fdr
const,2339,4.658894028259875,,0.19684139955884794,0.23087023591950961,20.179708353068726,0.0,105.51931621687365,"cluster_2way(u,v)",0.33850290055652943,0.903805044890979,bitcoin-alpha,walk_full,node4,False,,
src_out,2339,-3.429276782809431,-0.9668024974622698,0.278307762666061,0.36892861073878763,-9.295231334707896,0.0,0.03241037203714921,"cluster_2way(u,v)",0.33850290055652943,0.903805044890979,bitcoin-alpha,walk_full,node4,False,,0.0
src_in,2339,-0.18836026975647313,-0.04555428630731319,0.3170408006968657,0.43631639778661674,-0.43170568585550134,0.6659553344091749,0.8283162361821705,"cluster_2way(u,v)",0.33850290055652943,0.903805044890979,bitcoin-alpha,walk_full,node4,False,,0.6949865955372757
tgt_out,2339,-0.5110447698469545,-0.14246793053292392,0.26838329078202733,0.35269095454344235,-1.4489874584634606,0.14734108502972676,0.5998685267578708,"cluster_2way(u,v)",0.33850290055652943,0.903805044890979,bitcoin-alpha,walk_full,node4,False,,0.18859658883805025
tgt_in,2339,-3.4580617516879,-0.9237967714174263,0.2556199263880757,0.4040981064131128,-8.557480712747255,0.0,0.03149073977747871,"cluster_2way(u,v)",0.33850290055652943,0.903805044890979,bitcoin-alpha,walk_full,node4,False,,0.0
const,2339,5.2080383360773475,,0.24356415906469553,0.22953006175392257,22.6900053800397,0.0,182.73524123950884,"cluster_2way(u,v)",0.35249129615237085,0.9358700299273194,bitcoin-alpha,walk_localattn4,node4,False,,
src_out,2339,-3.547555049526209,-1.0001482233688286,0.3299698838840941,0.4279902067454187,-8.288869683498156,2.220446049250313e-16,0.028794955900413303,"cluster_2way(u,v)",0.35249129615237085,0.9358700299273194,bitcoin-alpha,walk_localattn4,node4,False,,4.736951571734001e-16
src_in,2339,0.365763668200666,0.08845869080336481,0.3812764891967196,0.5757062210609176,0.6353304078018001,0.5252129456031616,1.441614503042849,"cluster_2way(u,v)",0.35249129615237085,0.9358700299273194,bitcoin-alpha,walk_localattn4,node4,False,,0.5931816797400413
tgt_out,2339,-0.09297382227789404,-0.025919036521270367,0.30980336078936016,0.4531511010195582,-0.20517178942897735,0.8374379093514792,0.911217353578587,"cluster_2way(u,v)",0.35249129615237085,0.9358700299273194,bitcoin-alpha,walk_localattn4,node4,False,,0.8552557372100213
tgt_in,2339,-3.7182241513566026,-0.9932973188674097,0.2948178038554827,0.3975688352099872,-9.352403463397017,0.0,0.024277041939829838,"cluster_2way(u,v)",0.35249129615237085,0.9358700299273194,bitcoin-alpha,walk_localattn4,node4,False,,0.0
