dataset,model,const,src_out,src_in,tgt_out,tgt_in
bitcoin-alpha,GINEConv,6.235667953749853,-3.4264377123204097,-0.6743407362097366,0.2176021311516267,-4.549258723347456
bitcoin-alpha,SiGAT,6.246009551024572,-3.6807843934439255,-1.2724221511299219,0.2271368355365543,-4.327318613192892
bitcoin-alpha,walk_full,4.658894028259875,-3.429276782809431,-0.18836026975647313,-0.5110447698469545,-3.4580617516879
bitcoin-alpha,walk_localattn4,5.2080383360773475,-3.547555049526209,0.365763668200666,-0.09297382227789404,-3.7182241513566026
bitcoin-otc,GINEConv,5.4714806100166316,-1.6721089974593752,-1.0885444555837327,0.21672335759342223,-4.090278740906668
bitcoin-otc,SiGAT,5.5960737216167065,-2.1563319878326332,-1.8657299224946526,0.34694030283593735,-4.239024314834738
bitcoin-otc,walk_full,4.2387392982657515,-2.0167117278475835,-1.2023711986522037,-0.589133260039795,-2.473170961696487
bitcoin-otc,walk_localattn4,4.576940845970919,-1.9666012957271626,-0.39538943160163537,0.5062717492716342,-3.1850174267529874
epinions,GINEConv,5.12005931204514,-1.8077992606560265,-1.391391911760811,0.22874230809141402,-3.317846741843157
epinions,SiGAT,5.20229353322867,-2.6770633325647872,-0.8609369066630188,0.06313670761259838,-2.3541369491497037
epinions,walk_full,5.196160318866433,-2.6022854277984515,-0.7570419933925918,-0.35585983336701077,-2.2403556528434065
epinions,walk_localattn4,5.3260430405323085,-2.6249995086381404,-0.6533036848233191,-0.21854714918026977,-2.3193444325016817
slashdot090221,GINEConv,4.51231758286261,-0.8386569628822754,-1.025093704488042,0.019040637678293004,-3.297104522956509
slashdot090221,SiGAT,4.700780304326629,-2.884514764970617,-0.22381866517379367,-0.08123066379943639,-1.9558040136359653
slashdot090221,walk_full,4.172666130909283,-3.0765621297314665,-0.08717476277959745,-0.16632669344336073,-1.25686285811878
slashdot090221,walk_localattn4,4.354396800237191,-3.0396234939279863,0.023614264276482024,-0.09418626247079195,-1.5458134933123346
wiki-elec,GINEConv,4.951304612639769,-0.6720633055497651,0.09530494437941471,0.13692095088754408,-4.611699829040716
wiki-elec,SiGAT,5.547513780936391,-2.368688685933647,0.11872756212256237,-0.0018796967933659343,-3.4912735339036645
wiki-elec,walk_full,5.600083891446079,-2.1714544382085665,-0.23707774827234032,-0.36925098290786923,-3.635996005818257
wiki-elec,walk_localattn4,5.587546118493006,-2.2265373054022626,-0.22197461646084185,-0.397335474540234,-3.5074494308370943
wiki-rfa,GINEConv,6.346961933608359,-1.994445267066863,0.07037422051308818,0.02074352827280754,-4.774609738934314
wiki-rfa,SiGAT,5.952817538937916,-2.154116762131916,0.04799609696295713,-0.08768186589333832,-4.062272264173618
wiki-rfa,walk_full,5.5673177085661605,-1.8658048818392434,-0.15460617802493135,-0.25915002132227016,-3.952866058069733
wiki-rfa,walk_localattn4,5.739600879819228,-2.1917461244102796,0.010036240320749156,-0.20627913409672044,-3.991217617940722
