dataset,model,const,src_out,src_in,tgt_out,tgt_in
bitcoin-alpha,GINEConv,4.6393198989832465,-0.9660020895007324,-0.1630869981535849,0.06066264079761593,-1.215302334875772
bitcoin-alpha,SiGAT,4.542330820882899,-1.037709047587101,-0.3077309405602389,0.0633207045957657,-1.156012602091589
bitcoin-alpha,walk_full,3.1623473054353304,-0.9668024974622696,-0.04555428630731318,-0.1424679305329241,-0.9237967714174261
bitcoin-alpha,walk_localattn4,3.812994475667447,-1.0001482233688295,0.08845869080336462,-0.025919036521270557,-0.9932973188674104
bitcoin-otc,GINEConv,4.010833456512192,-0.5326010684633397,-0.31139014293707573,0.06719941179590473,-1.255233320811816
bitcoin-otc,SiGAT,3.8596682950938743,-0.686836039053876,-0.5337126143700239,0.10757578019165746,-1.300880674585166
bitcoin-otc,walk_full,2.8133185433024868,-0.6423641178094138,-0.34395153775410703,-0.18267255077483827,-0.7589718930738426
bitcoin-otc,walk_localattn4,3.4384338046441587,-0.6264029156814142,-0.11310550615612532,0.15697968201361104,-0.9774248296194228
epinions,GINEConv,3.2461840270800146,-0.6437636593677144,-0.4046198134786587,0.08811095679880572,-0.8823599814129667
epinions,SiGAT,3.4801944364595094,-0.9533116451802216,-0.25036233691339965,0.02432009960592686,-0.6260675662015253
epinions,walk_full,3.4068777628014413,-0.9266829709352933,-0.2201494687247028,-0.13707630506072402,-0.595808162948266
epinions,walk_localattn4,3.5892409681083364,-0.934771534814467,-0.18998214152587803,-0.0841838074495178,-0.6168147203856914
slashdot090221,GINEConv,1.7618264017092664,-0.32295041470475966,-0.3947234332666064,0.007310806829238466,-1.1333215390822058
slashdot090221,SiGAT,2.182261187223338,-1.110770292024559,-0.08618380110983481,-0.03118917032518851,-0.6722731413105107
slashdot090221,walk_full,2.00832675069385,-1.1847239808835992,-0.033567586561022426,-0.06386247912781866,-0.4320244441329234
slashdot090221,walk_localattn4,2.11963020308726,-1.170499633767512,0.00909292821570122,-0.03616357721448021,-0.5313461296652651
wiki-elec,GINEConv,2.670473266998598,-0.19824081055571696,0.03224163657897239,0.04903345243688066,-1.6388723047901346
wiki-elec,SiGAT,2.66502906945438,-0.6987001985914447,0.04016550174588623,-0.0006731477010335331,-1.2407033664963634
wiki-elec,walk_full,2.4388652114457527,-0.6405213383330614,-0.08020333730354509,-0.132234332221043,-1.292133784757332
wiki-elec,walk_localattn4,2.439548750866425,-0.6567693199592547,-0.07509395194855173,-0.14229181119517442,-1.2464518389625032
wiki-rfa,GINEConv,2.988649474809073,-0.5667697658558608,0.024663519815272275,0.007299277243603629,-1.7179249064562905
wiki-rfa,SiGAT,2.7542859238171133,-0.6121442754331339,0.016820828420846985,-0.03085368313311036,-1.4616228510831184
wiki-rfa,walk_full,2.4151185832596784,-0.53021349518803,-0.05418365571199346,-0.09119026563078227,-1.4222580324563479
wiki-rfa,walk_localattn4,2.469523919130943,-0.6228375670465839,0.003517325097413594,-0.07258594437457284,-1.4360570869354121
