dataset,scale,term,mean_beta,std_beta,min_beta,max_beta,n_seeds,n_seeds_significant,frac_seeds_significant,mean_n_edges
bitcoin-alpha,raw,const,5.905787527668368,0.29840990485643976,5.308331343348374,6.314910544705436,10,0,0.0,2342.5
bitcoin-alpha,raw,src_in,-0.8250390897565749,0.5343794670222225,-1.6190401158655559,0.20446026712272988,10,5,0.5,2342.5
bitcoin-alpha,raw,src_out,-3.479351923417198,0.3185432635801028,-3.9330021499436927,-2.9929202737792258,10,10,1.0,2342.5
bitcoin-alpha,raw,tgt_in,-4.236068869221443,0.4064322154914113,-5.047642944133612,-3.3927498000758183,10,10,1.0,2342.5
bitcoin-alpha,raw,tgt_out,0.15518712926353118,0.28291899544164406,-0.19549961010618472,0.6566168502276808,10,0,0.0,2342.5
bitcoin-alpha,zscored,const,4.3260213881303855,0.19172411625485056,3.9652842230420706,4.55444830329063,10,0,0.0,2342.5
bitcoin-alpha,zscored,src_in,-0.2032080580379046,0.13241104529026693,-0.4065228752943667,0.05034607059086742,10,5,0.5,2342.5
bitcoin-alpha,zscored,src_out,-0.9823011529859933,0.08835384560310629,-1.090732246956691,-0.856733597354038,10,10,1.0,2342.5
bitcoin-alpha,zscored,tgt_in,-1.1143740097083448,0.10614853988323986,-1.3269361015250165,-0.9064957910437862,10,10,1.0,2342.5
bitcoin-alpha,zscored,tgt_out,0.04309613069850699,0.07773874099729013,-0.0527162496688473,0.18093413049063714,10,0,0.0,2342.5
bitcoin-otc,raw,const,5.533529964936437,0.14686530922875538,5.228177975757619,5.765451479504281,10,0,0.0,3366.9
bitcoin-otc,raw,src_in,-1.622631370932553,0.21038109716996675,-2.008422582548041,-1.369861047207788,10,10,1.0,3366.9
bitcoin-otc,raw,src_out,-2.309783524802955,0.2420232341512752,-2.7572622366536637,-2.031791965678338,10,10,1.0,3366.9
bitcoin-otc,raw,tgt_in,-3.8999051660706128,0.22671369360116256,-4.24212532910657,-3.5163118880470736,10,10,1.0,3366.9
bitcoin-otc,raw,tgt_out,0.23304816190788613,0.23611371293286804,-0.1552632289600998,0.6673174390672846,10,1,0.1,3366.9
bitcoin-otc,zscored,const,3.8556701493216905,0.07496886504095393,3.695192979616742,3.934151327933341,10,0,0.0,3366.9
bitcoin-otc,zscored,src_in,-0.45733074267355367,0.06076863620738046,-0.5691318079297208,-0.39103707252005054,10,10,1.0,3366.9
bitcoin-otc,zscored,src_out,-0.7335436983703107,0.07526045998143198,-0.8764132453035289,-0.6470546121226523,10,10,1.0,3366.9
bitcoin-otc,zscored,tgt_in,-1.185773907630042,0.0728932335635141,-1.2975680492197004,-1.0695650026541526,10,10,1.0,3366.9
bitcoin-otc,zscored,tgt_out,0.0719348888328055,0.07220121815327961,-0.047652056585438834,0.20161164526913805,10,1,0.1,3366.9
epinions,raw,const,5.142940019073768,0.10570524922541079,4.978843603130399,5.288179971965875,10,0,0.0,70721.8
epinions,raw,src_in,-0.8111400886604608,0.07576079814337898,-0.9420614723073056,-0.6957390353143543,10,10,1.0,70721.8
epinions,raw,src_out,-2.6445948929350953,0.09587843007451066,-2.8119045445569397,-2.5052458528916914,10,10,1.0,70721.8
epinions,raw,tgt_in,-2.45473673348703,0.11788369912165443,-2.6387017914854924,-2.2887293477997157,10,10,1.0,70721.8
epinions,raw,tgt_out,0.12941661697003237,0.0683753807486333,0.027432712598448913,0.27369327273195126,10,6,0.6,70721.8
epinions,zscored,const,3.433483772659737,0.06251783288862472,3.3273598762830887,3.516798410960963,10,0,0.0,70721.8
epinions,zscored,src_in,-0.23550231541177985,0.02200476483105742,-0.2736955872260523,-0.2019869522398121,10,10,1.0,70721.8
epinions,zscored,src_out,-0.943414773513077,0.03440737489158145,-1.002604572853253,-0.8927624727449303,10,10,1.0,70721.8
epinions,zscored,tgt_in,-0.6536401694060148,0.03090561983349503,-0.7038716250327133,-0.6121409441886331,10,10,1.0,70721.8
epinions,zscored,tgt_out,0.04993413703953374,0.02638158871193948,0.01058262477238328,0.10549685073369798,10,6,0.6,70721.8
slashdot090221,raw,const,4.664203122990349,0.10408280843820049,4.494702773709614,4.861392021554226,10,0,0.0,36720.0
slashdot090221,raw,src_in,-0.24962585551584276,0.04960226050423556,-0.31963863235386414,-0.1612066022408055,10,10,1.0,36720.0
slashdot090221,raw,src_out,-2.857985031421858,0.09430961888312225,-3.0473042422814913,-2.738129665147605,10,10,1.0,36720.0
slashdot090221,raw,tgt_in,-1.8667849547900999,0.08071951078851047,-1.9521595202955022,-1.6740436700612242,10,10,1.0,36720.0
slashdot090221,raw,tgt_out,-0.1097632789788564,0.03943897204757859,-0.1919927822371352,-0.06027631450347895,10,7,0.7,36720.0
slashdot090221,zscored,const,2.1809728029486433,0.05657880110653218,2.0981882758053194,2.297885788926408,10,0,0.0,36720.0
slashdot090221,zscored,src_in,-0.09599252616348135,0.01896597001666617,-0.12284759880256971,-0.062108436298984424,10,10,1.0,36720.0
slashdot090221,zscored,src_out,-1.0996614045132485,0.0365729416177864,-1.1726951598934647,-1.0540968412824598,10,10,1.0,36720.0
slashdot090221,zscored,tgt_in,-0.64043442040547,0.027194824790908585,-0.671020410991216,-0.5762853578860658,10,10,1.0,36720.0
slashdot090221,zscored,tgt_out,-0.04215092581897258,0.015156322957067633,-0.07383956091660286,-0.023173988681932538,10,7,0.7,36720.0
wiki-elec,raw,const,5.676839161296131,0.19047609584169717,5.450562975290634,5.937711122347269,10,0,0.0,4040.8
wiki-elec,raw,src_in,-0.0843407193874835,0.13255219876889907,-0.29287702090368917,0.10574308577766732,10,0,0.0,4040.8
wiki-elec,raw,src_out,-2.384239067852106,0.18211895548004584,-2.7210938149784063,-2.0542386980740543,10,10,1.0,4040.8
wiki-elec,raw,tgt_in,-3.4528028834218305,0.22249425120368077,-3.820381910414442,-3.131353418647554,10,10,1.0,4040.8
wiki-elec,raw,tgt_out,-0.09768666000734273,0.13189488752963743,-0.3163751062090077,0.12593734714535434,10,0,0.0,4040.8
wiki-elec,zscored,const,2.653542104042987,0.07518878206788106,2.562961432971168,2.815735766712696,10,0,0.0,4040.8
wiki-elec,zscored,src_in,-0.02851160206905489,0.044777632286914,-0.0982851326257861,0.03577285695493266,10,0,0.0,4040.8
wiki-elec,zscored,src_out,-0.6972321586704034,0.05415667414394245,-0.7992425048211891,-0.5988990838609594,10,10,1.0,4040.8
wiki-elec,zscored,tgt_in,-1.2309111562666657,0.08144651039667426,-1.3666719566792653,-1.1079581850382196,10,10,1.0,4040.8
wiki-elec,zscored,tgt_out,-0.0348888088493175,0.046998474801280964,-0.11244419934872874,0.0449078592138374,10,0,0.0,4040.8
wiki-rfa,raw,const,5.929248608485186,0.14946733281679356,5.756817655158092,6.209610212670074,10,0,0.0,9839.2
wiki-rfa,raw,src_in,-0.0052916483214159715,0.10091098933142205,-0.16000546709824098,0.167907058917792,10,0,0.0,9839.2
wiki-rfa,raw,src_out,-2.400074509265399,0.12600487117736048,-2.6300300286523526,-2.154116762131916,10,10,1.0,9839.2
wiki-rfa,raw,tgt_in,-3.853814553197123,0.16001692090898428,-4.178694966147505,-3.63347576782112,10,10,1.0,9839.2
wiki-rfa,raw,tgt_out,0.017608320780932673,0.07015799353884532,-0.08768186589333832,0.10749625077389441,10,0,0.0,9839.2
wiki-rfa,zscored,const,2.700040984885848,0.045224548060261924,2.6319089423669806,2.780790867247129,10,0,0.0,9839.2
