term,n,beta,beta_std,se_naive,se_robust,z,p,odds_ratio,cov_method,pseudo_r2,base_rate,dataset,seed,scale,p_fdr
const,2339,6.246009551024572,,0.3301025434517415,0.3588602241869509,17.405131942877755,0.0,515.9498397783815,"cluster_2way(u,v)",0.43090511388358876,0.9486960239418555,bitcoin-alpha,42,raw,
src_out,2339,-3.6807843934439255,-1.0377090475871011,0.38611390381701133,0.48360851277857153,-7.611082717084503,2.708944180085382e-14,0.02520319785661037,"cluster_2way(u,v)",0.43090511388358876,0.9486960239418555,bitcoin-alpha,42,raw,5.417888360170764e-14
src_in,2339,-1.2724221511299219,-0.30773094056023886,0.38943928611466355,0.45747695913442077,-2.7813906814835785,0.00541265565117266,0.2801522282773959,"cluster_2way(u,v)",0.43090511388358876,0.9486960239418555,bitcoin-alpha,42,raw,0.007216874201563546
tgt_out,2339,0.2271368355365543,0.06332070459576551,0.3513970485191481,0.3328501759791357,0.6823996258027879,0.49498629231335345,1.2550015850067737,"cluster_2way(u,v)",0.43090511388358876,0.9486960239418555,bitcoin-alpha,42,raw,0.49498629231335345
tgt_in,2339,-4.327318613192892,-1.156012602091589,0.34977854557187926,0.38095446413254747,-11.359149243851007,0.0,0.013202902156787209,"cluster_2way(u,v)",0.43090511388358876,0.9486960239418555,bitcoin-alpha,42,raw,0.0
const,2339,4.542330820882899,,0.22054262234536093,0.242762273504074,18.711024391550158,0.0,93.9094312889955,"cluster_2way(u,v)",0.43090511388358865,0.9486960239418555,bitcoin-alpha,42,zscored,
src_out,2339,-1.037709047587101,-1.037709047587093,0.10885557222633414,0.13634184335663765,-7.611082717084162,2.708944180085382e-14,0.3542653580708947,"cluster_2way(u,v)",0.43090511388358865,0.9486960239418555,bitcoin-alpha,42,zscored,5.417888360170764e-14
src_in,2339,-0.3077309405602389,-0.30773094056024136,0.0941845579320924,0.11063923619536188,-2.781390681483567,0.00541265565117266,0.7351130805165458,"cluster_2way(u,v)",0.43090511388358865,0.9486960239418555,bitcoin-alpha,42,zscored,0.007216874201563546
tgt_out,2339,0.0633207045957657,0.06332070459576511,0.09796169191378873,0.09279123581182183,0.6823996258027905,0.4949862923133517,1.065368453008887,"cluster_2way(u,v)",0.43090511388358865,0.9486960239418555,bitcoin-alpha,42,zscored,0.4949862923133517
tgt_in,2339,-1.156012602091589,-1.1560126020915857,0.09344086783663534,0.10176929427328586,-11.35914924385045,0.0,0.3147386704522379,"cluster_2way(u,v)",0.43090511388358865,0.9486960239418555,bitcoin-alpha,42,zscored,0.0
const,2345,6.314910544705436,,0.3361555042234841,0.3037598433200819,20.78915526056288,0.0,552.7526117321659,"cluster_2way(u,v)",0.47144656812597563,0.9424307036247335,bitcoin-alpha,43,raw,
src_out,2345,-3.5890252728205634,-1.0316000939542345,0.37108431836246514,0.38294239836582816,-9.372232712116501,0.0,0.027625244380771952,"cluster_2way(u,v)",0.47144656812597563,0.9424307036247335,bitcoin-alpha,43,raw,0.0
