term,n,beta,beta_std,se_naive,se_robust,z,p,odds_ratio,cov_method,pseudo_r2,base_rate,dataset,model,spec,pooled,pooled_spec,p_fdr
const,2339,6.246009551024572,,0.3301025434517415,0.3588602241869509,17.405131942877755,0.0,515.9498397783815,"cluster_2way(u,v)",0.43090511388358876,0.9486960239418555,bitcoin-alpha,SiGAT,node4,False,,
src_out,2339,-3.6807843934439255,-1.0377090475871011,0.38611390381701133,0.48360851277857153,-7.611082717084503,2.708944180085382e-14,0.02520319785661037,"cluster_2way(u,v)",0.43090511388358876,0.9486960239418555,bitcoin-alpha,SiGAT,node4,False,,5.417888360170764e-14
src_in,2339,-1.2724221511299219,-0.30773094056023886,0.38943928611466355,0.45747695913442077,-2.7813906814835785,0.00541265565117266,0.2801522282773959,"cluster_2way(u,v)",0.43090511388358876,0.9486960239418555,bitcoin-alpha,SiGAT,node4,False,,0.00811898347675899
tgt_out,2339,0.2271368355365543,0.06332070459576551,0.3513970485191481,0.3328501759791357,0.6823996258027879,0.49498629231335345,1.2550015850067737,"cluster_2way(u,v)",0.43090511388358876,0.9486960239418555,bitcoin-alpha,SiGAT,node4,False,,0.539985046160022
tgt_in,2339,-4.327318613192892,-1.156012602091589,0.34977854557187926,0.38095446413254747,-11.359149243851007,0.0,0.013202902156787209,"cluster_2way(u,v)",0.43090511388358876,0.9486960239418555,bitcoin-alpha,SiGAT,node4,False,,0.0
const,3371,5.5960737216167065,,0.2178780513541258,0.246481671134774,22.703812806254557,0.0,269.3667197441383,"cluster_2way(u,v)",0.43283588914766025,0.9207950163156333,bitcoin-otc,SiGAT,node4,False,,
src_out,3371,-2.1563319878326332,-0.6868360390538755,0.23227029011481706,0.308663285478718,-6.986033290251198,2.8277380437202737e-12,0.11574891174481661,"cluster_2way(u,v)",0.43283588914766025,0.9207950163156333,bitcoin-otc,SiGAT,node4,False,,5.220439465329736e-12
src_in,3371,-1.8657299224946526,-0.5337126143700237,0.25262548823613634,0.30419176465375664,-6.133400503522184,8.602023537918058e-10,0.15478318891026951,"cluster_2way(u,v)",0.43283588914766025,0.9207950163156333,bitcoin-otc,SiGAT,node4,False,,1.4746326065002385e-09
tgt_out,3371,0.34694030283593735,0.10757578019165752,0.22496246541239062,0.2824624114186996,1.2282706965977888,0.21934536741658994,1.414732267345233,"cluster_2way(u,v)",0.43283588914766025,0.9207950163156333,bitcoin-otc,SiGAT,node4,False,,0.2924604898887866
tgt_in,3371,-4.239024314834738,-1.3008806745851647,0.2447451771879014,0.27420578385744077,-15.459281183647832,0.0,0.014421655976708369,"cluster_2way(u,v)",0.43283588914766025,0.9207950163156333,bitcoin-otc,SiGAT,node4,False,,0.0
const,70792,5.20229353322867,,0.05156246228989634,0.07127035359618038,72.99379434406902,0.0,181.68847292273844,"cluster_2way(u,v)",0.21539378721770064,0.9372810487060684,epinions,SiGAT,node4,False,,
src_out,70792,-2.6770633325647872,-0.9533116451802205,0.047046008994082844,0.06861895782785463,-39.01346533534908,0.0,0.06876479727081077,"cluster_2way(u,v)",0.21539378721770064,0.9372810487060684,epinions,SiGAT,node4,False,,0.0
src_in,70792,-0.8609369066630188,-0.2503623369133987,0.05827192633888367,0.0964950487408496,-8.922083753490611,0.0,0.4227658046098884,"cluster_2way(u,v)",0.21539378721770064,0.9372810487060684,epinions,SiGAT,node4,False,,0.0
tgt_out,70792,0.06313670761259838,0.024320099605927008,0.04381917928623269,0.0531929371999012,1.1869377954319027,0.23525215768704144,1.0651724464604315,"cluster_2way(u,v)",0.21539378721770064,0.9372810487060684,epinions,SiGAT,node4,False,,0.2971606202362629
tgt_in,70792,-2.3541369491497037,-0.626067566201529,0.05615124435518631,0.09361269336316813,-25.14762544024759,0.0,0.09497543980733003,"cluster_2way(u,v)",0.21539378721770064,0.9372810487060684,epinions,SiGAT,node4,False,,0.0
const,4117,5.547513780936391,,0.23043795887922758,0.25925319518016704,21.39805365592955,0.0,256.5988013612952,"cluster_2way(u,v)",0.2281067904237566,0.8724799611367501,wiki-elec,SiGAT,node4,False,,
