term,n,beta,beta_std,se_naive,se_robust,z,p,odds_ratio,cov_method,pseudo_r2,base_rate,dataset,model,spec,pooled,pooled_spec,p_fdr
const,2339,4.542330820882899,,0.22054262234536093,0.242762273504074,18.711024391550158,0.0,93.9094312889955,"cluster_2way(u,v)",0.43090511388358865,0.9486960239418555,bitcoin-alpha,SiGAT,node4_zscored,False,,
src_out,2339,-1.037709047587101,-1.037709047587093,0.10885557222633414,0.13634184335663765,-7.611082717084162,2.708944180085382e-14,0.3542653580708947,"cluster_2way(u,v)",0.43090511388358865,0.9486960239418555,bitcoin-alpha,SiGAT,node4_zscored,False,,5.417888360170764e-14
src_in,2339,-0.3077309405602389,-0.30773094056024136,0.0941845579320924,0.11063923619536188,-2.781390681483567,0.00541265565117266,0.7351130805165458,"cluster_2way(u,v)",0.43090511388358865,0.9486960239418555,bitcoin-alpha,SiGAT,node4_zscored,False,,0.00811898347675899
tgt_out,2339,0.0633207045957657,0.06332070459576511,0.09796169191378873,0.09279123581182183,0.6823996258027905,0.4949862923133517,1.065368453008887,"cluster_2way(u,v)",0.43090511388358865,0.9486960239418555,bitcoin-alpha,SiGAT,node4_zscored,False,,0.53998504616002
tgt_in,2339,-1.156012602091589,-1.1560126020915857,0.09344086783663534,0.10176929427328586,-11.35914924385045,0.0,0.3147386704522379,"cluster_2way(u,v)",0.43090511388358865,0.9486960239418555,bitcoin-alpha,SiGAT,node4_zscored,False,,0.0
const,3371,3.8596682950938743,,0.13975936906989203,0.1563029863970399,24.69350320210497,0.0,47.449609489907075,"cluster_2way(u,v)",0.43283588914766025,0.9207950163156333,bitcoin-otc,SiGAT,node4_zscored,False,,
src_out,3371,-0.686836039053876,-0.686836039053874,0.07398285929649649,0.09831559778169704,-6.986033290251133,2.8277380437202737e-12,0.5031655493609025,"cluster_2way(u,v)",0.43283588914766025,0.9207950163156333,bitcoin-otc,SiGAT,node4_zscored,False,,5.220439465329736e-12
src_in,3371,-0.5337126143700239,-0.533712614370028,0.07226630615578739,0.08701740805341701,-6.133400503522192,8.602023537918058e-10,0.5864237579141246,"cluster_2way(u,v)",0.43283588914766025,0.9207950163156333,bitcoin-otc,SiGAT,node4_zscored,False,,1.4746326065002385e-09
tgt_out,3371,0.10757578019165746,0.10757578019165662,0.06975411196900005,0.08758312030860493,1.2282706965977812,0.2193453674165926,1.1135752444946403,"cluster_2way(u,v)",0.43283588914766025,0.9207950163156333,bitcoin-otc,SiGAT,node4_zscored,False,,0.29246048988879014
tgt_in,3371,-1.300880674585166,-1.3008806745851431,0.07510791341475741,0.08414884619351823,-15.459281183648237,0.0,0.2722918868653763,"cluster_2way(u,v)",0.43283588914766025,0.9207950163156333,bitcoin-otc,SiGAT,node4_zscored,False,,0.0
