term,n,beta,beta_std,se_naive,se_robust,z,p,odds_ratio,cov_method,pseudo_r2,base_rate,dataset,model,spec,pooled,pooled_spec,p_fdr
const,2334,5.005751371818216,,0.28469571387847215,0.30980148521389994,16.157932129867085,0.0,149.26919770173996,"cluster_2way(u,v)",0.34494219618162003,0.903598971722365,bitcoin-alpha,walk_full,atomic,False,,
src_out,2334,-3.5918534842665544,-1.0115358842171993,0.29493799007851784,0.35065445675435347,-10.243284849457316,0.0,0.02754722472845796,"cluster_2way(u,v)",0.34494219618162003,0.903598971722365,bitcoin-alpha,walk_full,atomic,False,,0.0
src_in,2334,0.6275680451053045,0.15180180031284754,0.46213727890050427,0.669437950769561,0.9374551358850743,0.3485244910328267,1.8730498630017147,"cluster_2way(u,v)",0.34494219618162003,0.903598971722365,bitcoin-alpha,walk_full,atomic,False,,0.46904230568903776
tgt_out,2334,-0.49640510315464587,-0.13844737845771318,0.3682639083901695,0.48116201784082785,-1.031679735200671,0.3022221737259274,0.608714998752204,"cluster_2way(u,v)",0.34494219618162003,0.903598971722365,bitcoin-alpha,walk_full,atomic,False,,0.42252420404401503
tgt_in,2334,-3.4491019896766866,-0.920294377289003,0.2584802649810475,0.3955889928252472,-8.718902831556639,0.0,0.031774157091286406,"cluster_2way(u,v)",0.34494219618162003,0.903598971722365,bitcoin-alpha,walk_full,atomic,False,,0.0
twohop_in,2334,-1.193008049003068,-0.2932836009977197,0.5025596001024863,0.6269405104670157,-1.9029047079991392,0.057052980551464794,0.3033075265691857,"cluster_2way(u,v)",0.34494219618162003,0.903598971722365,bitcoin-alpha,walk_full,atomic,False,,0.1095417226588124
twohop_out,2334,0.03459575226246955,0.008335938746241072,0.49278670997398594,0.6364942357305937,0.054353598697966445,0.9566534470440597,1.035201146482534,"cluster_2way(u,v)",0.34494219618162003,0.903598971722365,bitcoin-alpha,walk_full,atomic,False,,0.9701274392559479
const,2334,5.481984415473932,,0.34579337953537087,0.3680908026270619,14.893021983567754,0.0,240.3231354510203,"cluster_2way(u,v)",0.35940032006467726,0.9357326478149101,bitcoin-alpha,walk_localattn4,atomic,False,,
src_out,2334,-3.769469563968632,-1.0615560309240801,0.3514910596388312,0.41763527018624763,-9.025745268802629,0.0,0.023064294175755694,"cluster_2way(u,v)",0.35940032006467726,0.9357326478149101,bitcoin-alpha,walk_localattn4,atomic,False,,0.0
src_in,2334,1.1324295811252545,0.27392224713017727,0.5458410216992936,0.8014479110786472,1.4129796403126784,0.15766171053141864,3.103186792751912,"cluster_2way(u,v)",0.35940032006467726,0.9357326478149101,bitcoin-alpha,walk_localattn4,atomic,False,,0.250671774480407
tgt_out,2334,-0.23654281436333705,-0.06597178863290463,0.43529258642334084,0.6441911463990898,-0.3671935196339905,0.7134746728111896,0.7893520859714802,"cluster_2way(u,v)",0.35940032006467726,0.9357326478149101,bitcoin-alpha,walk_localattn4,atomic,False,,0.7667190513791888
tgt_in,2334,-3.736748145509081,-0.9970445402745178,0.29834814288909844,0.3904340122761333,-9.570754667926517,0.0,0.023831473749065704,"cluster_2way(u,v)",0.35940032006467726,0.9357326478149101,bitcoin-alpha,walk_localattn4,atomic,False,,0.0
twohop_in,2334,-1.1662682682785788,-0.28671001653001976,0.6026891153177482,0.6891493182366949,-1.6923302939088345,0.09058301485258013,0.3115273111734913,"cluster_2way(u,v)",0.35940032006467726,0.9357326478149101,bitcoin-alpha,walk_localattn4,atomic,False,,0.16304942673464423
twohop_out,2334,0.3468500183083123,0.08357443667693482,0.5868142922340723,0.8140487091642297,0.42608017727147734,0.6700494239444688,1.414604544676537,"cluster_2way(u,v)",0.35940032006467726,0.9357326478149101,bitcoin-alpha,walk_localattn4,atomic,False,,0.7371196273321592
const,2334,5.625213275511023,,0.40936507714131226,0.37330819442106417,15.068550220909957,0.0,277.3314262178217,"cluster_2way(u,v)",0.43876909739168035,0.9537275064267352,bitcoin-alpha,GINEConv,atomic,False,,
src_out,2334,-3.7921983227496523,-1.0679568919868727,0.42654276668948854,0.6849466916140452,-5.536486808650046,3.085990707418773e-08,0.022545983983556023,"cluster_2way(u,v)",0.43876909739168035,0.9537275064267352,bitcoin-alpha,GINEConv,atomic,False,,8.384578525817044e-08
src_in,2334,-1.1017325193329173,-0.2664969658706612,0.6091680746893043,0.7843955053002073,-1.4045625094591248,0.16015141147359335,0.3322948773986098,"cluster_2way(u,v)",0.43876909739168035,0.9537275064267352,bitcoin-alpha,GINEConv,atomic,False,,0.250671774480407
tgt_out,2334,-0.8997323000999299,-0.2509353297759256,0.5216843518623513,0.5699704555440053,-1.5785595399698134,0.11443712121269645,0.4066785129672321,"cluster_2way(u,v)",0.43876909739168035,0.9537275064267352,bitcoin-alpha,GINEConv,atomic,False,,0.1938699465250387
tgt_in,2334,-4.706217438809133,-1.2557197381227574,0.37462405530165677,0.38240960046748623,-12.306745000794695,0.0,0.009038903205091759,"cluster_2way(u,v)",0.43876909739168035,0.9537275064267352,bitcoin-alpha,GINEConv,atomic,False,,0.0
twohop_in,2334,0.5212040980413907,0.1281304135844555,0.7325297677079087,0.8505703096721632,0.6127701521139144,0.5400283293543671,1.6840541957326594,"cluster_2way(u,v)",0.43876909739168035,0.9537275064267352,bitcoin-alpha,GINEConv,atomic,False,,0.6426783423721394
twohop_out,2334,2.168723485451897,0.5225597060328524,0.7100140253516004,0.700205746659008,3.0972660475864955,0.0019531449692866687,8.74711109647654,"cluster_2way(u,v)",0.43876909739168035,0.9537275064267352,bitcoin-alpha,GINEConv,atomic,False,,0.004394576180895005
const,2334,5.793232380159481,,0.4038568401728735,0.42081345934387687,13.76674688398076,0.0,328.07176499210186,"cluster_2way(u,v)",0.43890953861451354,0.9485861182519281,bitcoin-alpha,SiGAT,atomic,False,,
src_out,2334,-3.7452355334270573,-1.0547312560218196,0.4049094899381163,0.5966080098318994,-6.277548191956586,3.4395375436702125e-10,0.023630062722521744,"cluster_2way(u,v)",0.43890953861451354,0.9485861182519281,bitcoin-alpha,SiGAT,atomic,False,,1.0318612631010637e-09
src_in,2334,-2.0466821415815413,-0.4950698751847685,0.5849000637903392,0.7319810386729361,-2.7960862829071726,0.005172558899893653,0.12916273712450074,"cluster_2way(u,v)",0.43890953861451354,0.9485861182519281,bitcoin-alpha,SiGAT,atomic,False,,0.011285583054313425
tgt_out,2334,0.002374467721877857,0.0006622390246138044,0.5015936681262703,0.4851207112491432,0.004894591524991401,0.9960946965840218,1.0023772890029305,"cluster_2way(u,v)",0.43890953861451354,0.9485861182519281,bitcoin-alpha,SiGAT,atomic,False,,0.9981215960807004
tgt_in,2334,-4.421376005457597,-1.179717935242778,0.35219017209001713,0.36729141641814095,-12.037787456552223,0.0,0.012017684502951976,"cluster_2way(u,v)",0.43890953861451354,0.9485861182519281,bitcoin-alpha,SiGAT,atomic,False,,0.0
twohop_in,2334,1.265111706213504,0.3110092318092244,0.7129848851769776,0.7435041706446511,1.7015529383198966,0.08883920604042794,3.5434885436892976,"cluster_2way(u,v)",0.43890953861451354,0.9485861182519281,bitcoin-alpha,SiGAT,atomic,False,,0.16193475531419776
twohop_out,2334,0.5193037962224959,0.12512763425865084,0.6744746919625724,0.7198872182050841,0.7213682686536529,0.4706829641950707,1.6808570232398645,"cluster_2way(u,v)",0.43890953861451354,0.9485861182519281,bitcoin-alpha,SiGAT,atomic,False,,0.5793021097785486
const,3365,4.649677087218028,,0.2184310915863335,0.2517055644223755,18.472682945600752,0.0,104.55121920055969,"cluster_2way(u,v)",0.2776264794409773,0.8939078751857356,bitcoin-otc,walk_full,atomic,False,,
src_out,3365,-2.0440284726287756,-0.6504281658640868,0.19806151576539519,0.23980688221486676,-8.523643916096319,0.0,0.12950594745175104,"cluster_2way(u,v)",0.2776264794409773,0.8939078751857356,bitcoin-otc,walk_full,atomic,False,,0.0
src_in,3365,-0.8524411343901829,-0.24390831658258152,0.2584336639473504,0.2742293812814558,-3.1084967278370454,0.0018804172819122389,0.42637282713592106,"cluster_2way(u,v)",0.2776264794409773,0.8939078751857356,bitcoin-otc,walk_full,atomic,False,,0.004298096644370831
tgt_out,3365,-0.3809163811953727,-0.11815000404273315,0.22845506078824532,0.27065844369503533,-1.4073692880040742,0.15931791323146283,0.6832350185268697,"cluster_2way(u,v)",0.2776264794409773,0.8939078751857356,bitcoin-otc,walk_full,atomic,False,,0.250671774480407
tgt_in,3365,-2.5025331520661145,-0.7663015096879012,0.18395679093700507,0.36055355061118977,-6.940808509093762,3.8986591732737e-12,0.08187732798174521,"cluster_2way(u,v)",0.2776264794409773,0.8939078751857356,bitcoin-otc,walk_full,atomic,False,,1.2475709354475839e-11
twohop_in,3365,-0.8077413328092861,-0.19782551900929146,0.3343169086240651,0.36377502235295756,-2.220441985226694,0.026388779698256037,0.4458639881354044,"cluster_2way(u,v)",0.2776264794409773,0.8939078751857356,bitcoin-otc,walk_full,atomic,False,,0.052777559396512075
twohop_out,3365,-0.34584319878292835,-0.09002115985477771,0.3154500130400757,0.4169717216070192,-0.8294164348844575,0.40686880483149324,0.7076234346236989,"cluster_2way(u,v)",0.2776264794409773,0.8939078751857356,bitcoin-otc,walk_full,atomic,False,,0.5278298008624777
const,3365,4.858411579584426,,0.2555225236958965,0.268099962144653,18.121642169285636,0.0,128.81942011365427,"cluster_2way(u,v)",0.2714960071599849,0.9334323922734027,bitcoin-otc,walk_localattn4,atomic,False,,
src_out,3365,-1.934512591445794,-0.6155792316712935,0.23872528775617888,0.2861259470597563,-6.761052645958664,1.3699263945454732e-11,0.14449467960561635,"cluster_2way(u,v)",0.2714960071599849,0.9334323922734027,bitcoin-otc,walk_localattn4,atomic,False,,4.2884652350988724e-11
