dataset,direction,hop,mean_abs_shap,cluster_se,n_obs,n_clusters
bitcoin-alpha,fwd,1,0.0035712398217125265,0.00013829395372807741,84730,2343
bitcoin-alpha,fwd,2,0.002074091247056399,8.099940735371696e-05,82596,2338
bitcoin-alpha,bwd,1,0.003541835648689363,0.00014206779424867107,84500,2415
bitcoin-alpha,bwd,2,0.0020337689933636965,7.958578280321722e-05,82448,2415
bitcoin-otc,fwd,1,0.005626045568855091,0.00020450609597546181,70442,3373
bitcoin-otc,fwd,2,0.0031791556028237795,0.00010440659531296426,68374,3366
bitcoin-otc,bwd,1,0.00595693088054771,0.00020430678345573783,70741,3550
bitcoin-otc,bwd,2,0.003269090900214436,0.00010411702525205233,68810,3550
epinions,fwd,1,0.007803757319716232,0.0001793681444954516,25080,16447
epinions,fwd,2,0.003263981628941,6.597420106796182e-05,23307,15425
epinions,bwd,1,0.008306492876690436,0.00018240701047580077,25015,16233
epinions,bwd,2,0.003106766650194807,8.904834586909823e-05,23221,15127
wiki-elec,fwd,1,0.012550445470173737,0.00038402426539840785,5947,2974
wiki-elec,fwd,2,0.005074572098261516,0.00018263822533468287,4276,2372
wiki-elec,bwd,1,0.011124405898122275,0.0003784140624398431,5764,2478
wiki-elec,bwd,2,0.003708732599972186,0.00013355880198709174,4179,1976
wiki-rfa,fwd,1,0.009838970742046586,0.00020417840046841845,15854,5975
wiki-rfa,fwd,2,0.004169617491120122,8.039046967209266e-05,14067,5565
wiki-rfa,bwd,1,0.006986894870889279,0.00015694914940174098,15745,5175
wiki-rfa,bwd,2,0.0027951020136786405,5.564011261373324e-05,13954,4744
slashdot090221,fwd,1,0.012295325757772011,0.00025529245401421404,20420,11250
slashdot090221,fwd,2,0.006259684568750611,0.00012491347273421927,18713,10319
slashdot090221,bwd,1,0.009919790237544607,0.00021454081959766582,20472,11514
slashdot090221,bwd,2,0.00637305209672804,0.000142726109300125,18760,10733
