dataset,role,mean_abs_shap,cluster_se,n_obs,n_clusters
bitcoin-alpha,vertex,0.011618181582760009,0.0003838407474162836,169230,2419
bitcoin-alpha,edge,0.0027316260670975563,9.164672342892363e-05,334274,2419
bitcoin-otc,vertex,0.015467637072887168,0.0004138379350799873,141183,3552
bitcoin-otc,edge,0.004760967927552149,0.00013816387691246805,278367,3552
epinions,vertex,0.018639927672784894,0.00029345702480987676,50095,17736
epinions,edge,0.005048650115949805,7.834011279355972e-05,96623,17736
wiki-elec,vertex,0.022168588829282722,0.0005628479402152246,11711,3623
wiki-elec,edge,0.007674495499525941,0.0001962840498140314,20166,3623
wiki-rfa,vertex,0.018791386611503445,0.00039121774978845985,31599,6555
wiki-rfa,edge,0.005363548208781803,8.941883318889473e-05,59620,6555
slashdot090221,vertex,0.028406038417374813,0.0004686791542897928,40892,12555
slashdot090221,edge,0.008261498527196483,0.00013421492426298154,78365,12555
