run_name,epoch,val_auc
slashdot-edge_seeded_20260430-135021,0,0.7549
slashdot-edge_seeded_20260430-135021,1,0.768
slashdot-edge_seeded_20260430-135021,2,0.7886
slashdot-edge_seeded_20260430-135021,3,0.7993
slashdot-edge_seeded_20260430-135021,4,0.8128
slashdot-edge_seeded_20260430-135021,5,0.8349
slashdot-edge_seeded_20260430-135021,6,0.8393
slashdot-edge_seeded_20260430-135021,7,0.8448
slashdot-edge_seeded_20260430-135021,8,0.8559
slashdot-edge_seeded_20260430-135021,9,0.8594
slashdot-edge_seeded_20260430-135021,10,0.8639
slashdot-edge_seeded_20260430-135021,11,0.868
slashdot-edge_seeded_20260430-135021,12,0.8711
slashdot-edge_seeded_20260430-135021,13,0.8756
slashdot-edge_seeded_20260430-135021,14,0.8762
slashdot-edge_seeded_20260430-135021,15,0.8743
slashdot-edge_seeded_20260430-135021,16,0.8791
slashdot-edge_seeded_20260430-135021,17,0.8829
slashdot-edge_seeded_20260430-135021,18,0.8784
slashdot-edge_seeded_20260430-135021,19,0.8859
slashdot-edge_seeded_20260430-135021,20,0.8862
slashdot-edge_seeded_20260430-135021,21,0.8827
slashdot-edge_seeded_20260430-135021,22,0.8826
slashdot-edge_seeded_20260430-135021,23,0.8886
slashdot-edge_seeded_20260430-135021,24,0.8871
slashdot-edge_seeded_20260430-135021,25,0.8872
slashdot-edge_seeded_20260430-135021,26,0.8886
slashdot-edge_seeded_20260430-135021,27,0.89
slashdot-edge_seeded_20260430-135021,28,0.8883
slashdot-edge_seeded_20260430-135021,29,0.8867
slashdot-edge_seeded_20260430-135021,30,0.8889
slashdot-edge_seeded_20260430-135021,31,0.89
slashdot-edge_seeded_20260430-135021,32,0.892
slashdot-edge_seeded_20260430-135021,33,0.8911
slashdot-edge_seeded_20260430-135021,34,0.8911
slashdot-edge_seeded_20260430-135021,35,0.8928
slashdot-edge_seeded_20260430-135021,36,0.8911
slashdot-edge_seeded_20260430-135021,37,0.8907
slashdot-edge_seeded_20260430-135021,38,0.8911
slashdot-edge_seeded_20260430-135021,39,0.8907
slashdot-edge_seeded_20260430-135021,40,0.8916
slashdot-edge_seeded_20260430-135021,41,0.8911
slashdot-edge_seeded_20260430-135021,42,0.8907
slashdot-edge_seeded_20260430-135021,43,0.892
slashdot-edge_seeded_20260430-135021,44,0.8925
slashdot-edge_seeded_20260430-135021,45,0.8932
slashdot-edge_seeded_20260430-135021,46,0.8934
slashdot-edge_seeded_20260430-135021,47,0.8936
slashdot-edge_seeded_20260430-135021,48,0.8935
slashdot-edge_seeded_20260430-135021,49,0.8935
slashdot-edge_seeded_fixed_20260514-133416,0,0.7958
slashdot-edge_seeded_fixed_20260514-133416,1,0.8272
slashdot-edge_seeded_fixed_20260514-133416,2,0.8361
slashdot-edge_seeded_fixed_20260514-133416,3,0.8549
slashdot-edge_seeded_fixed_20260514-133416,4,0.867
slashdot-edge_seeded_fixed_20260514-133416,5,0.8685
slashdot-edge_seeded_fixed_20260514-133416,6,0.8785
slashdot-edge_seeded_fixed_20260514-133416,7,0.8835
slashdot-edge_seeded_fixed_20260514-133416,8,0.8881
slashdot-edge_seeded_fixed_20260514-133416,9,0.8886
slashdot-edge_seeded_fixed_20260514-133416,10,0.8865
slashdot-edge_seeded_fixed_20260514-133416,11,0.8942
slashdot-edge_seeded_fixed_20260514-133416,12,0.8962
slashdot-edge_seeded_fixed_20260514-133416,13,0.8946
slashdot-edge_seeded_fixed_20260514-133416,14,0.8955
slashdot-edge_seeded_fixed_20260514-133416,15,0.8941
slashdot-edge_seeded_fixed_20260514-133416,16,0.9003
slashdot-edge_seeded_fixed_20260514-133416,17,0.9011
slashdot-edge_seeded_fixed_20260514-133416,18,0.9069
slashdot-edge_seeded_fixed_20260514-133416,19,0.9049
slashdot-edge_seeded_fixed_20260514-133416,20,0.9045
slashdot-edge_seeded_fixed_20260514-133416,21,0.906
slashdot-edge_seeded_fixed_20260514-133416,22,0.9083
slashdot-edge_seeded_fixed_20260514-133416,23,0.9077
slashdot-edge_seeded_fixed_20260514-133416,24,0.9076
slashdot-edge_seeded_fixed_20260514-133416,25,0.9073
slashdot-edge_seeded_fixed_20260514-133416,26,0.9081
slashdot-edge_seeded_fixed_20260514-133416,27,0.9088
